,sum_sq,df,F,PR(>F),p_val_adj
A1BG,0.12257821939993893,12.0,2.7964899294669645,0.0037009530918758475,0.010364469607662045
AAAS,0.017527075112444508,12.0,0.9441605165903609,0.5095172537222823,0.5963689935521514
AACS,0.1363938036093386,12.0,2.7293934040421104,0.00450784584573976,0.012211898954860757
AADAT,0.05703119249499186,12.0,5.478880548063646,1.980027987388331e-06,1.586779609040187e-05
AAGAB,0.043359273666819444,12.0,2.127609474000929,0.02604500383038717,0.053639542668352726
AAK1,0.08011697684276205,12.0,2.2302947084992994,0.01937787853181119,0.04199553436617709
AAMDC,0.038029893494470286,12.0,1.8120297705215476,0.06339331737942963,0.11161102608600153
AAMP,0.014724189085025338,12.0,0.41373593873349584,0.9532602898673264,0.9677641399226395
AAR2,0.03406880818904945,12.0,1.933211678929797,0.04523880270342173,0.08413631494508328
AARS1,0.12838274135627675,12.0,3.7103909269524133,0.0002572231586321284,0.0010741878751324063
AARS2,0.019288410581368348,12.0,1.5688705018403046,0.12199373224605367,0.1903606653993666
AASDH,0.020320983180357556,12.0,1.3107493730931614,0.23307003338161825,0.3210815181594765
AASDHPPT,0.11103176298495131,12.0,1.8030003256764087,0.06499063776670724,0.11370583176056247
AASS,0.07724417899943713,12.0,2.1357551759058624,0.025443412119198747,0.052647851414288106
AATF,0.03259667428282163,12.0,1.7744974670822227,0.07028367050254973,0.1213586259504968
AATK,0.5732402397435232,12.0,16.50303249436516,9.957720291878833e-16,1.0539159591680493e-13
ABAT,0.20850152942351577,12.0,5.363444545708725,2.680798757771448e-06,2.067403263112185e-05
ABCA2,0.24534912087973448,12.0,7.340595874547378,1.9867454437769263e-08,2.829750106531908e-07
ABCA3,0.09099515563978947,12.0,6.245680687621966,2.7905494854987293e-07,2.883880994665802e-06
ABCA5,0.04644944815412653,12.0,2.2153789117062295,0.02023114923790989,0.043555862095551616
ABCB1,0.03675967073137611,12.0,1.117604128402725,0.36091550314052084,0.454614045631966
ABCB10,0.016186868059212545,12.0,0.8335424854935014,0.6160304733140614,0.6923481750611347
ABCB7,0.03245618420230942,12.0,1.4867638333639475,0.150839293233979,0.22606253452123673
ABCB8,0.02213772249909689,12.0,0.8091978368641358,0.6399832268661709,0.7133477246076386
ABCB9,0.02385981329848117,12.0,1.1750661034032908,0.31852999929136516,0.4109603801982472
ABCC10,0.06557656183073879,12.0,3.4996743121530063,0.0004728277958456305,0.0017957749513604839
