,0
A1BG,0
IMMP1L,0
ING4,0
IP6K2,0
IRS2,0
ISOC2,0
ITPR1,0
JPH3,0
JUP,0
KBTBD7,0
KCND2,0
KCNH2,0
KCNH5,0
KCNJ6,0
KCNK2,0
KCNV1,0
KCTD16,0
KDM2B,0
KIAA0513,0
KIAA1522,0
KIF26B,0
KIFC3,0
KIRREL3,0
KITLG,0
KLF11,0
KLF12,0
IGSF3,0
KLHL35,0
IGFBP4,0
IDH1,0
FRMD3,0
FRMD5,0
FRY,0
FRZB,0
FSCN1,0
GABRB3,0
GAP43,0
GID4,0
GLRA3,0
GMIP,0
GNAI1,0
GNB1,0
GPN3,0
GPR12,0
GRB14,0
GRINA,0
GRIP2,0
HBEGF,0
HDAC9,0
HECTD2,0
HEXIM2,0
HIVEP3,0
HS6ST1,0
HS6ST3,0
HSF4,0
IFI44,0
FOXO3,0
KREMEN1,0
KRT19,0
MEX3A,0
MEX3B,0
MGAT4C,0
MICAL3,0
MIDEAS,0
MIEN1,0
MLLT1,0
MLLT3,0
MMP17,0
MMP24,0
MN1,0
MRPL43,0
MRPS26,0
MST1,0
MYCN,0
NAALAD2,0
NAIP,0
NAV2,0
NCK2,0
NDEL1,0
NDST3,0
NDUFB11,0
NEO1,0
NEUROD2,0
NEUROG2,0
METAP1,0
KRT10,0
MEIS2,0
MDGA1,0
LACC1,0
LETMD1,0
LHX2,0
LIMCH1,0
LIMS2,0
LONRF2,0
LPAR2,0
LRCH2,0
LRP12,0
LRRC2,0
LRRC75A,0
LRRTM4,0
LRWD1,0
MAD2L1BP,0
MAFB,0
MAN1C1,0
MAP4,0
MAPK4,0
MAPK8,0
MARCKSL1,0
MAST4,0
MATK,0
MCM7,0
MCTP1,0
MCU,0
MED21,0
FNIP2,0
FLRT2,0
FJX1,0
CLMP,0
CNNM4,0
CNTN3,0
COLGALT2,0
COMMD2,0
COMMD6,0
COQ8B,0
COTL1,0
COX17,0
COX7A2L,0
CPNE2,0
CPNE8,0
CRH,0
CSMD1,0
