,sum_sq,df,F,PR(>F),p_val_adj
A1BG,16.40641614311115,12.0,2.6348140143616408,0.005951617689917218,0.024619270300430256
AAAS,11.650259910907614,12.0,1.2030828302849998,0.29920388178286694,0.4207497470153694
AACS,7.838514036849024,12.0,1.5157599705815945,0.14003019110970358,0.24569321641351954
AADAT,11.017066283993753,12.0,1.7201980401073065,0.08149630264679693,0.16663708458157792
AAGAB,13.101967624066218,12.0,1.4913863012546418,0.14906865137359976,0.2563735789779803
AAK1,13.077726291171366,12.0,1.5612925501827977,0.12443360952927265,0.22548465909345342
AAMDC,6.864837826224362,12.0,1.0623587719284735,0.40506360109903056,0.5190405843194925
AAMP,3.6055899403459932,12.0,0.3005838895378939,0.9872716209980562,0.9908798332432723
AAR2,19.734701664885204,12.0,2.110863928061269,0.027325363374227096,0.0753329179490668
AARS1,24.531132987573034,12.0,3.164414951709564,0.0012565458764690778,0.007836752257010958
AARS2,13.602114539652906,12.0,1.3757760120673999,0.19915748933022645,0.314930819466379
AASDH,10.936634461457148,12.0,1.1301269893911048,0.3513660451111014,0.47121738179187617
AASDHPPT,5.902606353349047,12.0,1.564431668548738,0.12341766282262938,0.22448489592960005
AASS,1.9266103681433402,12.0,0.3878796018981561,0.9635367485268189,0.9731900644531554
AATF,7.26179305941438,12.0,0.8373004749327019,0.6123387694217928,0.6978074471015994
AATK,30.764411754442623,12.0,8.404222786456023,1.7958747344172699e-09,2.2652622677416741e-07
ABAT,26.4145159245383,12.0,6.045320668525055,4.615215216126152e-07,1.81610691068759e-05
ABCA2,18.949037282173954,12.0,2.6714005247558643,0.005345305124821,0.02279739212105223
ABCA3,16.51328385405854,12.0,2.553947452694075,0.0075452129378276245,0.029589574417170684
ABCA5,9.252837974624734,12.0,1.0689519651471648,0.3996255700714409,0.515109962738022
ABCB1,10.576001256405617,12.0,2.9420045134662445,0.002413012106510591,0.012553116088559054
ABCB10,7.771344687150864,12.0,0.6835129447499882,0.7613600507583744,0.8177538023309356
ABCB7,14.116058792296139,12.0,1.8938524292075243,0.050511596923254576,0.1176007040377568
ABCB8,12.846547889043482,12.0,1.1981773560969111,0.3025239987166102,0.42412316994253146
ABCB9,8.528484266940737,12.0,0.8505770412664738,0.5993183497069072,0.6874094873070754
ABCC10,16.305976191031725,12.0,2.251955491728275,0.018201033384059925,0.056372389976597305
ABCC5,17.179242935629276,12.0,1.9547542291183737,0.042579276806956314,0.10358519969311857
ABCC8,17.446683411293694,12.0,2.6355647921355922,0.005938513158628203,0.02460784353528387
ABCD2,21.659926207648322,12.0,3.0397337583297173,0.0018110133366504057,0.010168596474742629
ABCD3,12.599794860066567,12.0,1.519578244958337,0.1386588435488807,0.24389123808941612
ABCD4,19.31644382581468,12.0,3.634787008699315,0.00031983634612331354,0.002788876018090408
ABCE1,10.725867225794959,12.0,1.034212167923869,0.42877370582696894,0.5414956170176228
ABCF1,16.009784125639104,12.0,1.7507622479846743,0.07499569017465865,0.1564441718764889
ABCF2,7.194195406030073,12.0,1.019229489172612,0.4417115152315178,0.55263338124421
ABCF3,8.587575109456006,12.0,0.9577910998036051,0.49686770163522154,0.6008086404014603
ABCG2,4.852306260313771,12.0,1.0663271382881891,0.4017851440384019,0.5161324785582595
ABCG4,10.967659480123581,12.0,1.4681137416277679,0.1581708194354776,0.2675798099139955
ABHD10,11.638456652119771,12.0,2.730923436819356,0.0044876205498864345,0.01998331506182399
ABHD11,22.335764149504755,12.0,2.9174169435411232,0.0025938018152780974,0.013246659520288808
ABHD12,4.183189447156397,12.0,0.4619868002573757,0.9298768660600198,0.9465295360027264
ABHD13,14.059358820311477,12.0,1.483364318343942,0.15215317490446753,0.26002717789909746
ABHD16A,12.652273733963158,12.0,2.074036980288281,0.030359143697038855,0.08095771652543694
ABHD17A,12.165944559875383,12.0,1.8100267437390711,0.06374444291653818,0.13869537579760952
ABHD17B,18.4446903930014,12.0,2.7375888172621856,0.00440056292453703,0.01974004950556492
ABHD18,16.273988378669188,12.0,1.8055800717164086,0.06453046675078788,0.13981095008029526
ABHD2,11.608075455642862,12.0,1.664280710907727,0.09475421091891177,0.18603147266308626
ABHD3,3.332639643611788,12.0,0.7813756247178457,0.667349716975363,0.7428622091282814
ABHD4,4.7932894916410955,12.0,1.0808144007835245,0.38995517056876844,0.5056621899165216
ABHD5,9.72039109977527,12.0,0.965612397066223,0.4896720544760379,0.594214585874454
ABHD6,13.866694731131842,12.0,2.9871052948253234,0.0021136006939060487,0.01142808877832466
ABHD8,10.511711104094175,12.0,2.2265133815200304,0.019590807003807217,0.059398139904859024
ABI1,10.784702278309197,12.0,1.3134902358287566,0.23155152445822538,0.35096731476729864
ABI2,15.427460098131185,12.0,4.19138083425264,6.541203589642001e-05,0.000835386999354002
ABI3BP,25.404617354867362,12.0,3.273886540057878,0.0009123069070799586,0.006164984229534427
ABITRAM,12.163569593929362,12.0,1.1324760207863098,0.3495940019669977,0.4695247330968662
