,sum_sq,df,F,PR(>F),p_val_adj
NOC2L,6.384890381175403,12.0,0.8133370276467322,0.6359081914996112,0.7161584159959692
HES4,15.058196764184974,12.0,1.8782578758519752,0.05275802136679186,0.12120340883595669
AGRN,15.58349331743936,12.0,3.1716601875111947,0.0012301709882759774,0.007732023522215154
SDF4,14.214073690537996,12.0,1.574429753971662,0.12023113354545825,0.22022842205820162
B3GALT6,12.113356216423735,12.0,1.676662010421323,0.09165845649332705,0.1816597217801454
UBE2J2,16.354161155013777,12.0,1.7463162309805487,0.07591039340954307,0.15767717178323315
SCNN1D,3.73140108593511,12.0,0.7434752976073414,0.7043587108706331,0.773954058436371
ACAP3,16.83603441687767,12.0,1.866742191782519,0.0544772704730329,0.1239480262427763
PUSL1,11.897297100409922,12.0,1.206338773832344,0.2970151251468261,0.41863083917832156
INTS11,10.765130800763789,12.0,1.0460543229484849,0.41870173711594233,0.5314868479960846
CPTP,15.826539108880548,12.0,1.6775707842889396,0.09143492579763256,0.18133379210523382
DVL1,13.236582045573805,12.0,1.8251498181779118,0.061137940833511366,0.13474345600645588
AURKAIP1,8.88613158338309,12.0,0.8782244846601978,0.5723630106997786,0.6654462185833366
MRPL20,11.508975494310917,12.0,1.1629826086244894,0.32713738663422204,0.44905799882646336
ANKRD65,17.720839488926888,12.0,4.406389911993597,3.583672449401895e-05,0.0005302800028280896
VWA1,13.87668377162228,12.0,1.801399519886757,0.06527773200675203,0.1411974057594956
TMEM240,22.618541433325277,12.0,3.1163643853368193,0.0014464821236893255,0.008688328372427468
SSU72,13.93781581678887,12.0,2.256181564887585,0.017979716724006407,0.055874867227354366
FNDC10,5.91161669945914,12.0,0.7913747950294807,0.6575236512682137,0.7344102111690577
MIB2,11.462497098042794,12.0,1.159630123661112,0.3295544481628339,0.45129942871555245
NADK,23.72638924927868,12.0,2.812134983787369,0.003534588328909142,0.01674202126162314
GNB1,34.092489584797214,12.0,6.918635730585876,5.3859203587367964e-08,3.4439968516144734e-06
TMEM52,11.403523885481407,12.0,1.39067700710644,0.19199194953915175,0.30676069258311806
GABRD,32.696072700645715,12.0,5.698974089046943,1.117664346214662e-06,3.5487769999809e-05
FAAP20,14.4821890077697,12.0,1.9243896970702954,0.04637300579457233,0.11025113280568605
SKI,8.385722975801103,12.0,0.8581134595193829,0.5919463535091778,0.6817044214725592
RER1,16.42924465303299,12.0,1.7802952538282988,0.06917540380834533,0.14724158998318165
PEX10,11.322146262769374,12.0,1.1472163706778347,0.3386138567177277,0.4590630731237981
PLCH2,8.539396190895488,12.0,1.3446893600946195,0.21482454829222586,0.3326698792080065
PANK4,9.09955037181307,12.0,1.1802865533689801,0.31486202941798425,0.43683133447051364
HES5,13.021867597341283,12.0,2.001184334550236,0.03734633399767567,0.09439611404078989
PRXL2B,13.825760298748486,12.0,2.2149703073570386,0.020255032533237228,0.06087086800458498
TPRG1L,9.494187361715577,12.0,1.8869535594472397,0.05149397159008162,0.11922466442078743
WRAP73,14.802335922029116,12.0,2.0478337003094937,0.032713293518025224,0.08538095428400688
TP73,26.639245614907466,12.0,5.657554407201729,1.2439317895341753e-06,3.895960516336968e-05
LRRC47,5.861480342729274,12.0,0.5467583181129162,0.8759692511534262,0.905673126501319
CEP104,14.950911304409521,12.0,1.4915594956284897,0.14900266367939102,0.25634637053838694
AJAP1,14.113123554835841,12.0,1.952248832293993,0.04288073185732952,0.10404368351575499
NPHP4,12.791247359029757,12.0,1.4340216536183303,0.17237269789738582,0.2842929969978737
KCNAB2,17.35335601839741,12.0,2.0823629912511366,0.02964598920737441,0.07949338049548736
CHD5,25.680758170121095,12.0,5.031641942691131,6.4805569800922085e-06,0.00014275829826002168
RPL22,2.125746553312117,12.0,0.8343722046076154,0.6152151927101381,0.6999541632992147
ICMT,14.0439800207022,12.0,1.4033122529723159,0.18608682605271826,0.3009286080599631
GPR153,11.863097841573016,12.0,2.835802007953136,0.003297023901118156,0.01587494943287119
ACOT7,7.174269849474122,12.0,2.147626571296214,0.024590752729686072,0.07009646848389073
TNFRSF25,7.451462314692607,12.0,0.8315860736599396,0.6179532495375184,0.7023097410196827
PLEKHG5,24.760934490296037,12.0,3.0943089938430783,0.0015430965746725239,0.009090744247974793
NOL9,14.746410894769049,12.0,1.5111251467073876,0.14171085617842855,0.24755711699695884
ZBTB48,11.816937215402127,12.0,1.1675841588491005,0.32384027766643886,0.4458614349211377
KLHL21,7.966047342933681,12.0,0.7613402628345485,0.686973239915017,0.7591994230841906
PHF13,8.064318580180586,12.0,0.7414764863063942,0.7062953315018589,0.7755267603707509
THAP3,9.819966587576479,12.0,1.227213164679877,0.28326518834102493,0.4049886048629141
DNAJC11,16.30233859334022,12.0,1.9342049793371008,0.04511276700887416,0.10792370969543083
CAMTA1,28.07520251373702,12.0,4.897432826720985,9.307114135940649e-06,0.0001880500289195163
VAMP3,3.095664576996261,12.0,0.4538269423056706,0.9342158577925119,0.9500000572679422
PER3,7.469640759263524,12.0,0.7028553061646904,0.7432601456133752,0.8038453630265396
PARK7,18.117562418526592,12.0,2.899989168557513,0.002730112837934534,0.013767184562815548
ERRFI1,11.067670033489142,12.0,1.358197123922749,0.20789617055293186,0.3251300179527885
SLC45A1,17.704780403351283,12.0,2.7373311634945203,0.004403896656368446,0.019742492897682887
RERE,16.19520635382946,12.0,2.525630834955091,0.008198017145539999,0.031413791875211115
ENO1,3.808515203083267,12.0,1.1230223740598555,0.35676260066580207,0.4757523572672998
TMEM201,33.20814600105644,12.0,7.985126135339516,4.546270903267256e-09,4.86768168340522e-07
PIK3CD,11.367430509923295,12.0,1.890113592101037,0.05104176602923479,0.11850544165335199
CLSTN1,20.983219376198647,12.0,8.305270729649456,2.2315889800472983e-09,2.6151651388357356e-07
LZIC,5.374354548398118,12.0,0.6031649455027656,0.8321204849750861,0.8732807642638012
NMNAT1,27.60215149325081,12.0,3.538483475455927,0.0004225243062994663,0.0034128103617591977
KIF1B,15.493318228455601,12.0,3.1736226404253007,0.0012231235257659779,0.007694518614918602
PGD,25.460154099114124,12.0,3.2476898548517092,0.000984870675811364,0.006533637739820634
DFFA,10.627791253310761,12.0,1.330334110929955,0.22239421404916257,0.3410168064887076
PEX14,10.02204187630579,12.0,0.9327911841486142,0.5201687760267252,0.6214758128524829
TARDBP,10.48414163125217,12.0,1.684708868457953,0.08969650097630251,0.17883832904058983
SRM,24.545902984514985,12.0,6.575506854223289,1.2354660760683634e-07,6.614053272347378e-06
EXOSC10,10.384140680261225,12.0,0.9446468503986817,0.5090636146325751,0.6122593735027105
MTOR,6.173307782836607,12.0,0.836385792252087,0.6132371027180135,0.6980698778374914
UBIAD1,8.125328435663034,12.0,0.9062577330881109,0.5453477110754263,0.6435424482356178
DISP3,14.082630358847263,12.0,6.421306153476202,1.804557898386284e-07,8.83849421720261e-06
FBXO2,15.370340451984749,12.0,6.653540561568616,1.0213145784470956e-07,5.805101628605466e-06
FBXO44,4.691685229583383,12.0,0.7782925628892289,0.6703758594098239,0.7455998204427658
FBXO6,22.005836930300028,12.0,2.789042897428821,0.0037828699542593117,0.017583375335093257
MAD2L2,5.288088610104872,12.0,0.6368142746813237,0.8034930615266654,0.8507030137446862
DRAXIN,11.017460636280653,12.0,1.561354577666268,0.12441346276673028,0.22548753582604025
MTHFR,20.486572021970808,12.0,2.3745109146769634,0.012749560164426308,0.04331622349715475
CLCN6,13.141310259133078,12.0,1.8840047658800698,0.05191937224894286,0.11973293296571795
NPPA,47.76530818358365,12.0,25.484066375064213,1.4906592381000813e-20,6.862995132212775e-17
KIAA2013,13.754851976577344,12.0,1.3731551781268454,0.20044061112264394,0.31657927053470075
PLOD1,7.691494733375006,12.0,1.3591922633692102,0.20739312712842778,0.3245540303532568
MFN2,10.126760071487455,12.0,0.9845656165177692,0.47243654207668795,0.5793308935200616
MIIP,22.208669360966233,12.0,2.653757945304387,0.005629589956946768,0.023713295664943203
VPS13D,12.861892670124089,12.0,1.2348924501300007,0.2783295592266568,0.4004345593441805
DHRS3,1.6373937211757144,12.0,0.6350219277007056,0.8050581485389537,0.8515767296664774
PDPN,9.80400645748554,12.0,1.7359101644523556,0.07809195985020388,0.16140757941653813
PRDM2,17.457616709749683,12.0,2.2923651162730896,0.016189565513701567,0.05185165886962227
KAZN,21.331191602003834,12.0,3.340710045598032,0.000750690981366264,0.005325394881679938
EFHD2,15.928445160775384,12.0,5.8126137679379015,8.344052756184916e-07,2.8247072712849524e-05
CASP9,12.587075669084776,12.0,1.3228974316542144,0.22640032236661714,0.345205194295713
DNAJC16,11.823459071848063,12.0,1.2767356390275055,0.25258601544918796,0.3729653672636502
PLEKHM2,9.433843526062669,12.0,0.8347787011465487,0.6148158092607217,0.6996939774654215
FBLIM1,16.700125527176564,12.0,2.3359878256930657,0.014262607644196276,0.04719011541062139
SPEN,13.197246711638616,12.0,2.0324236477814046,0.034178934705654376,0.08823090293514592
ZBTB17,18.348519581807924,12.0,1.9544860274065619,0.04261145043280375,0.10363608969499655
FAM131C,11.655822539506344,12.0,1.494710361491648,0.14780662527127808,0.25491728891139326
FBXO42,6.4204972695511815,12.0,0.5994094071566956,0.8352101174207922,0.8757990039631158
SZRD1,2.7810071992960133,12.0,0.8100233406988155,0.6391705060194518,0.7186180731901236
NECAP2,8.272149882267295,12.0,1.910883684599364,0.04816200877747252,0.11353706523885485
CROCC,17.227824121753947,12.0,2.0147918517814545,0.0359334308584984,0.09162975113404964
ATP13A2,4.579451737932013,12.0,1.0665890143642027,0.40156936604722887,0.5161330376906873
SDHB,22.839378459249218,12.0,3.6638826794024895,0.0002940905706495149,0.0026088496864554267
PADI2,8.066452675144424,12.0,2.147977034955446,0.024566007294104138,0.07009646848389073
RCC2,17.162197670758705,12.0,2.501445067678358,0.00879969805552239,0.03299170183031359
ARHGEF10L,7.331240861309026,12.0,0.689328978255345,0.7559520184086522,0.8135584602041689
IGSF21,8.841215178970229,12.0,4.1740638558872885,6.868016895886219e-05,0.0008627653421189673
ALDH4A1,9.986704153648285,12.0,1.7383946473831788,0.07756587820099521,0.1604282584175121
IFFO2,9.0469259532551,12.0,0.8806297121400469,0.5700310310578388,0.6636947514768945
UBR4,10.008615850457895,12.0,1.0163703878360595,0.4442045580102845,0.5543356137874156
EMC1,12.70400649525714,12.0,1.2926261892055537,0.24331302729506585,0.36315533507242026
MRTO4,12.398573002001989,12.0,1.2430106873407163,0.27318331523356576,0.39476961184411075
AKR7A2,10.246922400733467,12.0,1.8539632912283928,0.05644708602574489,0.12717513289088794
