,0
CGGBP1,0
RRN3,0
CYTH3,0
MYCBP2,0
ESD,0
GUCY1A1,0
TSC22D1,0
ATG16L1,0
LACC1,0
DCLK1,0
PRKCB,0
ZNF771,0
CHERP,0
RNASEH1,0
ATP8A2,0
SIAH1,0
TENT4B,0
PGAM5,0
PPP1R7,0
MRPS17,0
CCT6A,0
RYR2,0
DOCK9,0
PRKAR1B,0
PSMB1,0
MRTFB,0
NKAIN2,0
SLC8A1,0
TRIO,0
RABGGTA,0
DSC2,0
TINF2,0
FARSB,0
NHSL1,0
EPM2A,0
TTC27,0
SSBP4,0
UST,0
CLCN7,0
SLC9A3R2,0
MPV17,0
ABCA3,0
RGS17,0
SERAC1,0
MGRN1,0
SELENOI,0
TMEM181,0
ABI3BP,0
NKD2,0
MMP17,0
FKBP8,0
SNCA,0
CD46,0
NAV3,0
NPLOC4,0
CCDC136,0
LRRN2,0
EXOC4,0
ATXN7L3B,0
PSMB10,0
FAM131B,0
CUL1,0
MAFG,0
FASTK,0
ACTG1,0
ATG12,0
PTGES3,0
EID2,0
LMBR1,0
TTC9B,0
DNAJB6,0
NLGN4X,0
SLC7A6,0
SPRYD4,0
KLHL12,0
FABP7,0
MGAT4C,0
PLXNC1,0
VPS37D,0
ARMC6,0
RNF34,0
ANAPC5,0
NAP1L5,0
RAB35,0
GMIP,0
ERP29,0
FOXK2,0
POLR2C,0
CAV1,0
SCD5,0
ASNS,0
LMTK2,0
GRM7,0
TSHZ3,0
ACTL6B,0
SRGAP3,0
GOT2,0
ALKBH4,0
ARMC10,0
ANKS1B,0
DYNC1I1,0
PRKCE,0
MCFD2,0
EPCAM,0
B4GALT7,0
HNRNPAB,0
SCAMP1,0
RNF130,0
RASGEF1C,0
RAB3GAP1,0
AGGF1,0
DUSP22,0
FAM168B,0
BMPR2,0
F12,0
PTPRT,0
MAN2A2,0
WDR25,0
RAPH1,0
SMAD7,0
ATP6V1G2,0
CTIF,0
DDAH2,0
PIGT,0
EHMT2,0
ZSWIM6,0
ATXN1,0
ST6GAL2,0
RAB24,0
ST8SIA3,0
ZNF385B,0
CAMK4,0
SLC22A5,0
KLHL3,0
HSPA9,0
PSD2,0
NRG2,0
MACIR,0
ZWILCH,0
SNAPC5,0
LRRC57,0
SLC36A1,0
TLN2,0
MEX3B,0
RSL24D1,0
TMOD3,0
NR2F1,0
MACROD2,0
GCA,0
HOMER1,0
THOC3,0
TYW5,0
ADNP2,0
PDHA1,0
WFDC2,0
GON7,0
ADD2,0
ARFGAP1,0
KCNQ2,0
CNPPD1,0
PRPF6,0
TCEA2,0
SLC39A6,0
MPG,0
SYT16,0
SNAP91,0
NTSR1,0
SLC35A1,0
BACH2,0
DECR2,0
GPR63,0
WASF1,0
BRMS1L,0
TSPYL4,0
TSPYL1,0
RAB40C,0
SERINC1,0
BASP1,0
FBXO34,0
PRRT1,0
SMYD5,0
DUSP11,0
MOAP1,0
KLF7,0
PDE4D,0
PTGIS,0
CIPC,0
TGFB3,0
IFT43,0
PARP8,0
RAB22A,0
CELF4,0
OSBPL2,0
BICRAL,0
RRP36,0
SLC35B2,0
MRPS30,0
LRRTM1,0
PNMA1,0
LRRTM4,0
HMGCLL1,0
MTHFD2,0
ADGRB3,0
TET3,0
RPL7L1,0
RPS26,0
GALNT11,0
IER5,0
NLGN1,0
RIMS3,0
PCSK5,0
CRLF3,0
CDK5R1,0
UTP11,0
NFIL3,0
CBY1,0
DNAL4,0
IFT80,0
RNF26,0
GABBR2,0
MAP7D1,0
PGAP4,0
SLC33A1,0
ZNF362,0
AZIN2,0
CEP164,0
RNF19B,0
TSPO,0
VMP1,0
PPCS,0
ZNHIT3,0
SVBP,0
HINT2,0
NUDCD1,0
CACHD1,0
QRICH1,0
TRIB1,0
