,0
PJA2,0
HINT3,0
TANC2,0
TAOK1,0
MICU3,0
RPS6KA2,0
HIRA,0
GAS7,0
CTNND2,0
HMGB1,0
NR4A3,0
METRNL,0
GALNT16,0
HNRNPA2B1,0
BCAT1,0
MESP1,0
GALNT11,0
GABRG3,0
CSNK1D,0
MMD,0
GBE1,0
GCA,0
RSPH9,0
CRACDL,0
CREG2,0
SUZ12,0
CRHBP,0
NPPA,0
MPG,0
HENMT1,0
RNF130,0
NPPC,0
BTG3,0
BTBD8,0
MORN4,0
BSN,0
BRINP2,0
RPS6KA6,0
SYT13,0
CSGALNACT1,0
MOSMO,0
STYX,0
CYRIA,0
THRA,0
HYPK,0
OPRK1,0
TMEM181,0
DGKI,0
MAPK1,0
TMEM271,0
ASTN1,0
TMEM43,0
IDH2,0
RAP1GAP2,0
MAP6D1,0
ASB13,0
TMEM63C,0
TMEM74,0
TMEM9,0
FNDC3A,0
TMEM91,0
HYI,0
DERL1,0
TMEM128,0
DENND11,0
NRXN2,0
MCUB,0
HSD11B1L,0
GABRA3,0
DACT3,0
ATXN10,0
RGS8,0
TLK1,0
BACE2,0
RGS17,0
RGMA,0
MARCHF6,0
NUDC,0
RBM26,0
DDN,0
HTR5A,0
TMEM108,0
TMEM121B,0
MASP1,0
CABIN1,0
MRAS,0
CACNA1B,0
SMARCA2,0
CDH6,0
SMARCAL1,0
CDH3,0
SLC1A6,0
CDH2,0
CDH13,0
SMIM13,0
SLC12A5,0
GNAQ,0
GRIK3,0
GRIK5,0
NGEF,0
GRIN2B,0
NIM1K,0
SHOC2,0
SHISA9,0
CDH9,0
GRIA3,0
GRIA2,0
GNPTAB,0
SLC30A4,0
GPM6A,0
CHL1,0
NELFA,0
GPR107,0
CGGBP1,0
SLC29A4,0
SLC26A11,0
GRIP1,0
CHPT1,0
CEP70,0
CEP68,0
SLC6A7,0
GPR162,0
GPR22,0
GPR26,0
GPR37,0
SLIT1,0
SLC6A17,0
PKIB,0
NIN,0
CNFN,0
CAND2,0
RUBCN,0
MRPS18B,0
CAMK4,0
NPAS2,0
CAMK2N1,0
HAGHL,0
CALY,0
CAPRIN1,0
HCN4,0
CPNE2,0
CADM2,0
CADM1,0
CACNG8,0
STUM,0
GET1,0
CACNA2D2,0
CPVL,0
STK24,0
TMEM94,0
CARD10,0
SSBP2,0
CCNA1,0
SESN3,0
SERTM1,0
GRM5,0
SNX7,0
SOCS7,0
SORCS1,0
SEC24D,0
CARHSP1,0
SDHC,0
SPIN4,0
SCUBE1,0
NOL4L,0
CAV1,0
GJC1,0
SCG2,0
SCD5,0
CARTPT,0
MYADM,0
TMOD2,0
NUCB2,0
IVNS1ABP,0
MAP2K6,0
PROM1,0
AKAP6,0
USP2,0
USP46,0
EFNA5,0
EFTUD2,0
ITSN1,0
VIT,0
VLDLR,0
FAM171B,0
PGAP4,0
VPS41,0
LMO3,0
LINGO2,0
LIMK1,0
PRKAR2A,0
LRATD2,0
PFKL,0
AKTIP,0
PCSK5,0
PDCD4,0
TTC14,0
INKA1,0
PTGS2,0
FAM81A,0
FAM76A,0
TULP4,0
PSAP,0
AMN1,0
TXNRD1,0
TXNRD2,0
PRSS55,0
ISOC1,0
FAM234B,0
LRP1B,0
PEX5L,0
LHX6,0
ADRB1,0
ADRA2A,0
FAM163B,0
KLHL14,0
ZEB2,0
PNCK,0
PLXDC2,0
ZFPM2,0
KDM2B,0
KLF13,0
ABHD6,0
ZNF184,0
KIT,0
PLPPR1,0
PITPNC1,0
PLEKHA6,0
PKP4,0
ERC1,0
ZNF770,0
KIFC3,0
KCNQ5,0
DSCAM,0
ZDHHC18,0
PIK3C2B,0
ELAVL1,0
WFDC1,0
PHACTR3,0
KCNIP2,0
KCNIP3,0
WWP1,0
ADCY1,0
ADAMTSL2,0
XKR4,0
ADAMTS3,0
ADAM23,0
ADAM19,0
PPM1E,0
ACTR3B,0
L2HGDH,0
PIANP,0
PNMA5,0
KCNQ2,0
FGD3,0
SLC30A10,0
PTPRU,0
PAK5,0
ARFGEF3,0
DNAJC19,0
TSHZ1,0
PAM,0
APBA1,0
TOMM20,0
RAB28,0
PCDH10,0
ARID4A,0
RAB11FIP2,0
FIG4,0
RAB11FIP4,0
DNM3,0
PCBD1,0
TP53BP1,0
TPPP,0
MAN2A1,0
DOC2A,0
TRIL,0
IGFBP2,0
DPP10,0
MANEAL,0
DLGAP3,0
DLGAP1,0
FH,0
LSAMP,0
GLRX2,1
CLSTN1,1
RARS1,1
NMT2,1
PPFIA4,1
PPP1R7,1
FOXP2,1
ELOVL4,1
PPFIA3,1
NUP50,1
SHB,1
GLRB,1
SEMA3A,1
SEMA3E,1
DNAJC2,1
SF3B2,1
CNIH3,1
GMFB,1
SENP2,1
SERAC1,1
PANK1,1
PPP1R1A,1
OLFM3,1
GLS,1
OCIAD1,1
SERPINI1,1
SH3GL2,1
NKD2,1
PIGS,1
PHTF2,1
PAK3,1
OXR1,1
SLC25A36,1
PAK1,1
RABGAP1L,1
DIRAS1,1
NELL1,1
DIRAS2,1
ERBB3,1
CHN2,1
FLYWCH1,1
RALB,1
ERO1A,1
DKK3,1
CHGA,1
GOT2,1
ERGIC2,1
RAP1GAP,1
ETV5,1
SLC25A23,1
CHRNB2,1
PHYHIPL,1
PNMA8A,1
SLC17A7,1
PGRMC1,1
ENO2,1
DGKZ,1
GNB2,1
RAB3GAP2,1
FAF1,1
EXOC4,1
RAPGEF4,1
PALM2AKAP2,1
NEUROD6,1
OTUD7A,1
SLC24A2,1
SLC25A11,1
SLC25A22,1
CHST15,1
PINK1,1
COMMD4,1
FAM162A,1
SCN8A,1
NPTX1,1
PSIP1,1
CYTH2,1
FAM3C,1
CRYM,1
PRUNE2,1
RPS6KL1,1
CRTAC1,1
RNF112,1
GCC2,1
DPH3,1
NSF,1
RAB11A,1
PEG3,1
GDA,1
RIT2,1
PRPS1,1
RIPOR1,1
CRLF3,1
CREM,1
PYGB,1
PSMC3,1
RNF38,1
RPH3A,1
PTPRK,1
CXXC5,1
PCP4,1
GALNT17,1
CYB5B,1
RPRM,1
RPS6KA3,1
NR4A2,1
CYC1,1
NPTX2,1
PDE1A,1
PWWP2A,1
NRSN1,1
CSRNP1,1
PDYN,1
PSMD1,1
FBXO9,1
FUT9,1
GABRA1,1
RHEB,1
EID2,1
EID2B,1
PRKACA,1
RUSC2,1
RWDD2A,1
RXFP1,1
RYR2,1
GHITM,1
RCAN2,1
NOVA1,1
PRDX2,1
RASL11B,1
DDX1,1
RASGRP1,1
EIF4E3,1
EIF4G3,1
DNAJC7,1
NOL10,1
EIF2S1,1
DCAF8,1
DNM1,1
RTCB,1
RHBDD2,1
PRMT2,1
DOCK3,1
PARVB,1
NTNG2,1
PRKCG,1
RAB26,1
RSPO3,1
NPAS3,1
EGR1,1
DNM1L,1
NUAK1,1
CPLX3,1
SLC2A3,1
KIF1A,1
CPLX1,1
CPEB3,1
EHD3,1
CPNE5,1
RALYL,1
RELL2,1
ATP2B4,1
TMEM143,1
TMEM155,1
TMEM178A,1
ATG16L1,1
ATF4,1
TMEM30A,1
TMEM50B,1
IDH3A,1
ASAP1,1
ARRDC4,1
TMUB2,1
MAP2K4,1
MAP1LC3A,1
MAP1B,1
MAOA,1
TNIK,1
ARL2,1
TNNT1,1
TOGARAM1,1
ARL1,1
IFT57,1
TOR2A,1
ARHGEF2,1
ARHGAP44,1
TRAF3IP1,1
TMEM130,1
TMEM126B,1
NEGR1,1
ATP5F1B,1
BCAS2,1
MDH1,1
BAIAP2,1
HRH2,1
HS3ST4,1
THY1,1
B4GAT1,1
B4GALT6,1
MCHR2,1
B3GALT2,1
HSP90AA1,1
HSP90AB1,1
TRIP13,1
HSPA12A,1
HSPA9,1
MARS1,1
TM6SF1,1
ATP6V1B2,1
ATP6V1A,1
ATP6V0D1,1
ATP6V0A1,1
ATP6AP1,1
MAPK9,1
HTR2A,1
ATP5MC3,1
TMED5,1
TLK2,1
TRMT9B,1
APP,1
APLP2,1
AFF2,1
AEBP2,1
WASL,1
ADORA1,1
KAZN,1
WDR7,1
LDHA,1
WNT7A,1
WNT7B,1
ADAM11,1
YARS1,1
ACTR1A,1
AGPAT1,1
YPEL2,1
ACTG1,1
ZADH2,1
KCNK3,1
KLHL2,1
KCNMA1,1
KCNMB4,1
ZC3H15,1
ZDHHC22,1
ABHD10,1
ZNF385B,1
ABCA3,1
KIAA1671,1
KCNK1,1
BCL11A,1
AHI1,1
LNPK,1
