"","logFC","logCPM","F","PValue","FDR"
"FGFR3",6.1127330178473,5.9350867782611,3538.95922086222,6.07081480263485e-206,1.03932349421109e-201
"GPR98",5.30771230913538,8.4539644587827,4706.32922901758,4.93430867101106e-194,4.22376822238547e-190
"AGT",5.58453315004317,4.96474098517463,2249.80728284484,2.52478290724365e-188,1.44080944573371e-184
"PRODH",5.47669733597046,5.16394608061945,2756.79532845112,5.31986559604827e-187,2.27690247510866e-183
"GFAP",5.81264497551981,5.52994874377334,2926.72649790317,8.56515119016044e-185,2.93270776751094e-181
"SLCO1C1",5.29990381881637,5.42371192633424,2321.75236452659,6.93903838012605e-183,1.9799389511293e-179
"AQP4",5.48853391975524,5.75747831681154,2568.66812554763,2.82411563307248e-181,6.9069799483144e-178
"GJA1",5.88368142301544,5.49580133561396,2240.95536274736,4.12880830411548e-180,8.83564977080713e-177
"ACSS1",4.95788515311674,5.57010902819497,2456.47881596082,4.56008565815897e-176,8.67429627418684e-173
"SLC25A18",4.9382693265049,5.40863119724489,2319.12480435764,1.4162259085111e-173,2.34470946277286e-170
"EMX2",6.22521501993976,4.20727127447017,1814.57584630804,1.50653061276293e-173,2.34470946277286e-170
"SLC1A2",4.56626079227954,10.0853625483258,3891.50148193998,1.6817664429387e-173,2.39932012525921e-170
"MLC1",5.29626623236496,4.7306657463399,2111.59939951837,1.10582303098852e-171,1.4562838685018e-168
"COL5A3",5.01384059759731,7.28030776268762,3213.1805849455,2.03977619753432e-169,2.49435489298483e-166
"ALDH1L1",5.21793627567163,4.59610677654256,1697.21629302521,1.73243166563864e-165,1.97728200771557e-162
"ATP1A2",4.83110590138328,7.17774891935368,2318.96197734666,1.67791692741058e-159,1.79537111232932e-156
"ETNPPL",5.8567037332186,4.41044295464418,1628.29027717723,4.30092491902717e-159,4.33128438904384e-156
"PRDM16",4.9273309140144,4.7099958670956,1599.029895663,2.4661183248331e-157,2.34555254006348e-154
"GRIN2C",5.10496061614586,4.34712963618281,1525.52744324499,3.27304634701467e-154,2.94918702425743e-151
"F3",5.18510379348863,5.18557680495566,1665.78197506559,1.08903009224094e-152,9.32209758958249e-150
"NDRG2",4.68157204367405,7.03448805439002,2589.73592196953,1.96800645853847e-151,1.60439383667517e-148
"SFXN5",3.12643802927708,7.39437405114058,1873.98463239494,2.7828769878629e-151,2.16558427419149e-148
"MSI2",3.01449805281679,8.27625062331505,1914.13450022847,3.64939809508295e-150,2.71642153860088e-147
"OAF",4.98310253172016,4.34733965349897,1412.99086100243,6.8168620232021e-149,4.86269490988417e-146
"SLC1A3",5.17906528869386,8.92540240370569,2621.87772711458,1.19454895389948e-148,8.18027123630366e-146
"FAM189A2",5.39910185449384,4.98026545117523,1641.09947089289,2.80929479003264e-148,1.84981256943688e-145
"STON2",4.42749708965649,5.23479516778734,1556.5004994535,8.57534504416018e-147,5.43740396874156e-144
"MMD2",4.3258437939494,7.18451102262397,2059.78909270906,2.81015070500006e-146,1.71820643105718e-143
