"","logFC","logCPM","F","PValue","FDR"
"SLCO1C1",5.94602477159915,5.42371192633424,4488.7680446649,5.68931092105818e-241,9.7401002968516e-237
"GJA1",6.63689728679593,5.49580133561396,4228.47519858239,8.07662703532035e-236,6.91359274223422e-232
"AGT",5.98743766916217,4.96474098517463,3595.69036641188,5.08316845765427e-232,2.9007947998347e-228
"AQP4",5.95863721549548,5.75747831681154,4244.31089567319,5.8966724562854e-222,2.52377581129015e-218
"FGFR3",5.97044757479825,5.9350867782611,3580.07832950363,7.01349352624634e-207,2.40142018338675e-203
"ETNPPL",6.19633964202325,4.41044295464418,2792.0406433334,2.5204115884059e-206,7.19157439891815e-203
"EDNRB",5.67924385896485,4.46930667892637,2465.58277399611,1.63828682923099e-204,3.68897225113543e-201
"GPR98",5.54529674374459,8.4539644587827,5518.55305786362,1.72381880894179e-204,3.68897225113543e-201
"F3",5.7696168902062,5.18557680495566,3154.57678170153,2.19966958790276e-204,4.18426037165502e-201
"SLC1A2",5.31817748308047,10.0853625483258,5941.16844619565,2.28559129331574e-199,3.91293229415654e-196
"EMX2",6.12599241601493,4.20727127447017,2385.36329849845,1.04846513520186e-198,1.63179301042325e-195
"PRDM16",5.19260118627108,4.7099958670956,2560.65591977485,4.63420301808106e-198,6.61146297246231e-195
"STON2",4.90203682199582,5.23479516778734,2847.56449963898,1.39516031514173e-194,1.83731881501742e-191
"ACSS1",4.98280638411344,5.57010902819497,3057.99041540332,3.68375854816507e-193,4.50471045318472e-190
"GLI3",5.22685603846064,5.12524753909425,2969.27338082016,1.34957201671831e-189,1.5403115284145e-186
"OAF",5.16907517160224,4.34733965349897,2265.96834161693,1.78601539379954e-189,1.91103647136551e-186
"PON2",4.85684800597293,6.06273172350282,2877.93075943413,2.02980545145629e-189,2.04413348993715e-186
"ATP1A2",5.26465218961391,7.17774891935368,3532.59561365105,7.1025404114173e-189,6.75530510241467e-186
"SLC25A18",4.90753628875307,5.40863119724489,2770.45668710462,1.50219496433977e-187,1.35355672576299e-184
"RANBP3L",5.2678591347289,5.56059443590585,3120.86254436173,2.01168965507451e-187,1.72200634474378e-184
"ALDH1L1",5.11378033762838,4.59610677654256,2156.42214633397,1.1396339186419e-186,9.2907298510235e-184
"ZNF98",5.39739999013752,6.77949540636275,3558.39003087179,1.06479806966173e-183,8.28606497845858e-181
"SFXN5",3.46867610665514,7.39437405114058,2894.07236063938,6.95148242487189e-183,5.17432083103508e-180
"PRODH",5.03652781697281,5.16394608061945,2445.69320093479,1.43408606175832e-177,1.02298139072094e-174
"GPR37L1",4.83511058603308,5.66327942808129,2323.67205632718,5.28395946602717e-177,3.61845544233541e-174
"COL5A3",5.02385048454906,7.28030776268762,3519.61062964486,3.19286503785264e-175,2.10237882492451e-172
"SDC4",5.46250208230237,3.85061026957556,1802.50858652776,4.39713748160923e-175,2.78811087722778e-172
"GJB6",5.61421499086768,3.60834505140946,1794.54397792264,1.69094909357309e-173,1.03389458864183e-170
"RGS20",4.52372258943434,5.68502714054247,2520.441690095,3.90853564669427e-173,2.30738380246227e-170
"PAPLN",5.66899083097631,3.70417499281329,1855.71492562544,4.57460671357267e-173,2.61057556454547e-170
"MSI2",3.29778465200271,8.27625062331505,2620.23031524633,2.98329240498394e-172,1.6475472894621e-169
"GRIN2C",4.9923548764473,4.34712963618281,1888.14983144326,3.82794672237894e-172,2.04795149647273e-169
"CACHD1",3.77197189363982,6.16787295322831,2289.36240187949,1.07065560564791e-171,5.55443150566429e-169
"NHSL1",4.7243444489864,6.41491742847837,3023.59554097886,1.1387798804907e-171,5.73409163352964e-169
"MLC1",5.03278878474293,4.7306657463399,2096.62893820018,4.11869940393521e-171,2.01463239415345e-168
"PAMR1",4.98420870501861,5.93297483481741,2598.52874077643,1.41938570164128e-170,6.74996755891631e-168
"SLC1A3",5.79460219013054,8.92540240370569,3800.78645570035,2.30432272511769e-170,1.06621635281121e-167
"ZNRF3",4.1227663567776,5.46753443351851,2106.51013362392,1.01720913574144e-168,4.58279484312983e-166
"PPP1R3C",5.54765280210549,4.23655745794137,1968.38619841651,3.36645957004254e-168,1.47778943177252e-165
"ACSBG1",5.08179757740974,5.481581067249,2371.71938101877,1.03139224594342e-166,4.41435881263784e-164
"SLC39A12",5.24740042995093,4.42415518814802,2020.81472558833,1.09034618430365e-166,4.55286016470208e-164
"ATP13A4",4.40365537995988,5.74989686235217,2230.87758731962,2.9689313977635e-166,1.21019298880265e-163
"CLDN10",4.59286746233666,4.38336318853622,1741.80555565022,1.98939487494293e-165,7.92056750209836e-163
"BMPR1B",5.1275615388309,6.10125971660223,2622.50685061501,6.36880234854009e-165,2.47804309561378e-162
"EZR",4.62548813875026,4.48696229498098,1825.32512064454,2.53181513130591e-164,9.63215001065717e-162
"HEPACAM",4.33976323996411,5.76508678836738,2003.75291277888,1.05586606753333e-163,3.92965806003711e-161
"PSD2",4.02462915050653,5.09033662865616,1877.93921093308,4.57891152231076e-163,1.66789287791405e-160
"GRAMD3",4.18110471845901,6.52804086956566,2340.55256063248,1.07395423522802e-162,3.83043677231326e-160
"SLC14A1",5.7079685561254,3.58989489079555,1643.58483705761,1.56604336558908e-162,5.47156375895612e-160
"HEPN1",5.26349978007318,4.85031400489428,1873.8073149745,5.65714903077441e-162,1.93700782813716e-159
"FAM189A2",5.26162391003316,4.98026545117523,1959.84948958832,1.45675111483166e-161,4.89011354625843e-159
"KCNJ10",4.6451458044663,5.00210955765005,1633.17768941552,3.87237835241333e-161,1.27490610371762e-158
"EFEMP1",5.0789301255623,4.14281138411837,1715.96152190948,7.23276892284079e-161,2.33632082941574e-158
"STK33",4.01008523317213,5.3940649769335,1853.57654916438,1.7588475894471e-160,5.57619828358045e-158
"NCAN",3.37021153832756,6.89648484459609,2034.84392942095,2.64899023601943e-159,8.24558415284594e-157
"PDGFRB",4.81997374310201,5.00007261706328,1764.30942558346,2.87160555354309e-159,8.77890840654603e-157
"MRVI1",5.34992668687929,3.79277808374046,1550.50555051295,3.63675905292245e-157,1.09230377168478e-154
"PREX2",4.27433136519923,7.71266479839648,2561.42842531464,9.15322475533866e-155,2.7017794450241e-152
"GLUL",4.61967133475789,7.49815320206194,2735.45682187487,1.24727105109639e-154,3.61920006691021e-152
"LRIG1",3.91514235233962,6.02451742329455,2089.03218814447,9.7687146512385e-154,2.78733991382005e-151
"LRRC16A",3.11244586068373,7.89088408226187,1911.85677280555,4.55969510011251e-153,1.27970459203158e-150
"LRRC3B",4.05027630362209,6.42885505461612,2089.00493793082,1.56718688059096e-152,4.32745796705116e-150
"GPR125",3.74898211341089,5.26149225616074,1635.84556656949,2.60600054613237e-152,7.08170307139462e-150
"SLC4A4",4.32292174417002,7.7648990768689,2607.52204151393,2.70567379278483e-152,7.23767739569941e-150
"RHOJ",4.3089511051564,5.34195287078251,1745.74565200574,4.18663641848756e-152,1.10269562283857e-149
"MT1G",5.43383728214159,3.51526040925662,1505.23806379846,1.67854367944433e-151,4.35404057455862e-149
"NKAIN3",4.14994208123508,8.59013498387746,2492.46317785463,5.92473116355153e-151,1.51390145552242e-148
"HIF3A",4.74122073058596,5.54457145714098,1859.47967706962,2.73501345097384e-148,6.88579857068708e-146
"ZFHX4",4.2309807133976,6.27861195081809,1870.11895829367,3.05413663739627e-148,7.57779988872814e-146
"ARHGEF26",4.55978685533109,5.16006847194899,1767.23332551478,3.59524448520483e-148,8.79294079810097e-146
"PHF21B",3.84134428299221,5.27714168523279,1555.11182370315,5.27918448460727e-148,1.27295265318981e-145
"ACACB",3.95727825435228,5.19623162207215,1600.71252633525,2.84166547035764e-147,6.75684900729483e-145
"HPSE2",4.52122699125899,7.5806996686816,2069.37191236269,4.26719729525138e-146,1.00074544787265e-143
"S100A1",4.47276901938956,4.71473297974382,1482.41311773627,6.46987341346333e-146,1.49681395727692e-143
"SLC7A11",5.0396426811059,5.72704537125332,1860.57498288686,7.0466738893205e-146,1.60852075980223e-143
"ANKDD1A",3.27792742233188,5.73352690475702,1549.20096426718,7.53752089674744e-145,1.6979257598989e-142
"CD38",4.87347650263525,3.58560636445576,1328.79007457115,1.31644872845422e-144,2.92696132871899e-142
"ALDH1A1",4.46384378070684,5.73232809654941,1914.61853110217,1.85565861795016e-144,4.07293276144959e-142
"CST3",4.21522404794819,7.63511590719854,2242.35758166915,2.13217711742379e-144,4.6206167405437e-142
"NDRG2",4.40172592824557,7.03448805439002,2287.45238902969,4.23385842298033e-144,9.06045702517792e-142
"MT2A",4.74886740766508,7.3209080161594,1953.81169608715,1.45446588572243e-143,3.07413036587259e-141
"GLUD1",2.91111844324645,6.84520757805217,1722.98374068524,4.27888765520613e-143,8.93348251916206e-141
"PLXNB1",4.22879350990035,5.14059515097789,1459.97573088272,1.27438728392488e-142,2.62861569889084e-140
"MMD2",4.08544251728676,7.18451102262397,1917.89414229089,8.87256501423562e-142,1.8083132505204e-139
"TPD52L1",4.09855493970087,5.82233635273904,1732.59373601097,8.51456413500617e-141,1.71493338813301e-138
"APOE",4.83066215426038,7.56998240508126,1957.57678294332,1.49952398359922e-140,2.98509890688588e-138
"PPAP2B",4.12015841734503,6.36655345810061,1908.62452317652,3.77031713930118e-140,7.41929073848692e-138
"AHCYL2",2.72875950595667,7.90810650333722,1611.3836076727,1.22360236390109e-139,2.38046278068031e-137
"PBXIP1",4.14949655642385,4.07094808072771,1285.92607276251,1.58507309486741e-139,3.04903948136293e-137
"GPRC5B",3.30058906950844,6.78034907841013,1522.53512183742,4.95889625568289e-139,9.43292265525457e-137
