"","logFC","logCPM","F","PValue","FDR"
"EBF1",7.25105087236817,5.67707788369884,7296.13297912851,2.17136414854287e-274,3.7173754223054e-270
"LEF1",7.42035197973104,4.33609352375637,4906.50674474094,3.38840805738316e-267,2.90047729711998e-263
"IFI27",6.9149091395084,5.17972744468555,5310.44351265072,1.59770973704069e-264,9.11759689937885e-261
"ITIH5",6.31787806824758,4.76461439105738,4379.83866764174,1.38274749340759e-244,5.9181592717845e-241
"EPAS1",6.58031381724407,6.16549870736903,6122.03804480844,5.35863301289906e-239,1.83479594361664e-235
"CLDN5",7.69275440733866,5.82389520298958,5464.58281669689,1.46378415074368e-238,4.17666411012198e-235
"FLT1",6.94556960319435,6.61881049671898,5969.25483751222,1.15201867145439e-226,2.81750852218559e-223
"COBLL1",6.4312776569515,6.18126036739495,4751.69656771231,2.89052174588741e-226,5.70377760173717e-223
"MECOM",6.06258223605166,5.67185685385322,4921.11826587317,2.9984812158665e-226,5.70377760173717e-223
"PODXL",5.73101328818663,4.78282607005989,3667.29033480256,4.21265325479682e-222,7.21206237221216e-219
"ELTD1",7.12878403530191,3.64191105918528,3132.41725696562,1.9938516731215e-218,3.10315824034909e-215
"HLA-E",6.56037506110841,4.87274079948739,3621.55730435034,7.92733557119259e-218,1.13096654149014e-214
"NOTCH3",5.93572768261296,4.19418715277786,3213.03696685034,1.17946330131095e-217,1.55326243988026e-214
"NDUFA4L2",6.14797352218405,3.93341157201797,2862.35292810353,1.12455189249153e-216,1.37516631424678e-213
"GNG11",6.53236406283114,3.72318899792082,2965.68236905643,1.98164784029563e-215,2.26172073505741e-212
"SLC38A5",7.11364247371492,3.44896367755452,2867.76345518618,2.26401418948454e-215,2.42249518274845e-212
"ID3",6.35462653303438,4.12739706590101,3019.79589455997,9.78722186425181e-215,9.85630813623476e-212
"ATP10A",6.39328640014458,5.96752671186482,4438.55008758712,3.29187185978748e-214,3.13093590219787e-211
"MFSD2A",5.62399061164677,4.00058616270795,2749.94818450922,5.97620088266446e-214,5.38487153216924e-211
"CGNL1",5.91830743441373,4.88748782932509,3474.67041941837,1.86406172690895e-210,1.59563683823406e-207
"SLC2A1",5.28537805288051,4.53853206340126,3031.98394502735,1.48400976722371e-209,1.20982129594618e-206
"ID1",6.39097190987174,4.43496881826987,3258.41242452672,1.71946368065078e-206,1.33805537330642e-203
"ENG",5.2718865155357,4.49112261967564,2928.24924755313,5.07271937174318e-206,3.77586763670623e-203
"ABCG2",6.08755793639552,4.9624070912577,3491.12215634231,1.8796809404077e-203,1.30785416296806e-200
"SLC6A12",6.50109937896023,3.43085021339731,2461.85452768896,1.90983376601644e-203,1.30785416296806e-200
"FLI1",5.98597945604904,5.06966594481371,3241.59135157739,3.39604682292776e-201,2.23616621571243e-198
"TGM2",7.12884112104608,3.18028058545736,2631.24022694886,9.45300044800968e-197,5.99390250629355e-194
"GPR116",4.91187444266254,5.19180359409615,2734.77432278879,2.44008514013968e-196,1.49193777139969e-193
"IFITM3",5.86019440289315,5.10030586600606,3132.31957716838,3.85189366453243e-196,2.2739455012688e-193
"GGT5",6.17308959810001,3.0704060770681,2136.86028670527,2.77599880925548e-193,1.58416998714846e-190
