"","logFC","logCPM","F","PValue","FDR"
"ZNF385D",4.07397596567567,9.38738882745867,4493.06102777291,1.20915571259184e-213,2.07007457995722e-209
"BTBD11",4.42609962459759,6.65296229158883,3925.97974540778,7.84567450432007e-208,6.71589737569798e-204
"ANK1",3.98303741577988,6.11494784302852,2953.989909804,2.2399181910446e-204,1.27824664768945e-200
"KCNC2",3.90326152995165,9.1616776617429,3835.78845743088,5.18129818543343e-199,2.21759562336551e-195
"MYO5B",4.57482972816578,5.03145323916179,2646.70055329922,1.88685905320173e-197,6.46060539816273e-194
"NXPH1",4.82668483544064,9.22831993343101,4428.51978800754,5.0236509100548e-196,1.43341505966897e-192
"GAD2",3.93638709608562,7.29258849020511,2973.47911278481,4.42317948959042e-195,1.08178332659697e-191
"SNRPN",3.13075724255443,7.82997807474414,2785.20313220276,9.36049509744896e-190,2.00314595085408e-186
"ZNF804A",4.50989991559889,8.31228925385188,3837.14082588646,3.20416979169883e-189,6.09504298154267e-186
"LHX6",4.20206191994994,4.76856111152028,2052.02031680482,3.66884570471763e-185,6.28106384647658e-182
"GRIP2",4.10827941353056,5.4986614371131,2178.42482351386,7.09539567402206e-185,1.10430158126598e-181
"KIAA1217",3.44191869449057,9.46289623612466,2951.09809103573,4.00037127609175e-182,5.70719635389089e-179
"GRIP1",3.05542405938355,8.8109510070656,2695.97423983743,5.70745302875794e-179,7.51627660402584e-176
"PTCHD4",3.74807087543738,7.61253547099415,2276.56904553568,1.0961329696174e-170,1.34041403141785e-167
"VWC2",4.16045826611459,7.38207562085629,2591.99479247287,1.60800973637834e-170,1.83527511245315e-167
"CNTNAP3B",3.71902933159242,6.65618961765007,2519.03635295482,4.07772906220371e-167,4.36317009655797e-164
"PVALB",4.71106158397799,4.59364127895386,2091.36260138227,1.36150078335048e-164,1.37111137711531e-161
"CNTN5",3.37156527196591,10.1098256618564,2526.48063875009,4.88133204449781e-163,4.64268914454458e-160
"LYPD6",3.71775996925836,4.9966386903701,1765.87507851175,6.78973321812712e-162,6.11790698391244e-159
"CNTNAP3",3.83515829284427,6.68879516319061,2491.65985854526,2.91937338381696e-161,2.49898361654731e-158
"CNTNAP2",2.98538725323712,11.9484534416002,2176.02537796792,1.50574408796629e-158,1.22753994218966e-155
"FAM19A4",4.43173985479305,4.90128232226327,1870.72512383761,1.66882909889331e-157,1.29865246241152e-154
"GAD1",3.72360908303048,7.61399078862343,2323.27693978597,1.80148272579449e-157,1.34092975067834e-154
"FGF12",2.618094388246,10.2599066990408,2141.42570494175,1.96935930421332e-157,1.4048096370055e-154
"ERBB4",4.29848305695389,11.3475484109375,3077.99426975677,5.39356367890282e-157,3.69351240731265e-154
"TENM1",2.83506441120346,7.65746650343268,1891.24110964542,2.58366165292744e-155,1.70124182685069e-152
"SLC26A4",3.3099050588244,5.68441023065514,1586.04965271623,3.21487107632988e-155,2.03846640099139e-152
"ALK",3.23686225030181,7.45545569369755,1940.83232279437,1.29801803216008e-152,7.93645311092161e-150
"GABRG3",2.83208454075359,8.95047731180006,1840.7731907668,6.45860883467956e-152,3.81280631895566e-149
"ARX",3.73978573719163,5.23504988780285,1526.3127923794,4.4678730368026e-148,2.54966621300202e-145
"TAC1",4.38756299586171,6.60714173375019,1880.77649042266,5.89262639386769e-146,3.25425044719403e-143
"LYPD6B",3.85875616274778,5.29269190440634,1547.67657491115,7.0740521537142e-146,3.7846179022371e-143
"SLC35F4",3.62754936455317,6.11382641579767,1625.98460055268,3.59384344668232e-144,1.86444241840004e-141
"ZMAT4",3.131040466441,7.91213358459746,1722.60905477915,6.13248739406457e-143,3.08788777018781e-140
"NDST3",3.00889469513276,7.52823278485272,1717.01905197893,1.69471920237107e-141,8.2895979270265e-139
"TENM3",2.67297667379793,8.78850010094181,1656.49006672239,1.83685752898339e-141,8.73527802672102e-139
"HCN1",2.55790843290321,8.8504626864119,1627.07821172112,3.00372431592199e-141,1.38983135915093e-138
"DLGAP1",2.49781771289139,11.3379833315265,1679.08161464911,8.08695944707295e-141,3.64338804562866e-138
"SRRM4",2.46961866201884,8.05565470419925,1517.7813995586,2.43611940414372e-140,1.06939395381899e-137
"ZNF536",3.37541566805672,8.14314457396163,1873.45570393099,4.73492167168904e-140,2.02654647548291e-137
"GPR149",4.50848931301205,4.64528114465777,1466.77406041316,8.83171730591053e-140,3.68778049456557e-137
"SHISA9",2.52322820063957,8.8911468896441,1553.20494855129,9.50306665171756e-139,3.87363097803344e-136
"KCNC1",2.80557171396728,5.97502139182189,1331.67919833519,2.17623232309593e-136,8.66444124916332e-134
"DPP10",3.40002678880663,11.8175967978959,1975.46742598534,2.47564882673581e-135,9.63252452584477e-133
"FAM19A2",2.86945278285189,9.14837012895414,1718.78908054516,1.29022780334289e-134,4.90859999849561e-132
"C15orf26",2.73554380617007,5.67970462881733,1240.81807725753,9.25638004504384e-134,3.44498318198153e-131
"KIF26B",2.56716157421157,7.71445965373758,1412.85750472936,7.52035936436729e-133,2.7393309003823e-130
