"","logFC","logCPM","F","PValue","FDR"
"NMU",5.28405099705513,3.99403479005166,2668.11597893995,1.17137899650619e-208,2.00540084201859e-204
"GRIK1",5.69222698470458,9.99901006480967,6342.07492007588,8.03159572260716e-202,6.87504593855173e-198
"KIAA1217",3.81035225575034,9.46289623612466,3827.49983180992,1.4994397646603e-201,8.55680292366147e-198
"ELFN1",4.3159798343001,4.64901808912423,2438.41062298338,1.52053519544942e-198,6.5078906365235e-195
"NXPH1",4.77712175136398,9.22831993343101,4275.02855539234,1.25618683801509e-193,4.30118373336367e-190
"LHX6",4.37045258062157,4.76856111152028,2220.89117182775,1.65663738270587e-192,4.72693866532074e-189
"COL25A1",4.04799845965725,6.62177826657836,3110.40830711397,1.09916772455865e-186,2.68825020634916e-183
"SST",5.75774134545661,8.55997738694903,3834.50850072358,3.61270244284563e-181,7.73118322768964e-178
"PNOC",3.87446565368464,5.1767713658975,2079.28678065629,1.82799375924671e-176,3.47725035092263e-173
"CDH9",3.7291913360505,8.47935198241676,2838.308946765,6.94894316464308e-173,1.1896590697869e-169
"SNRPN",2.89656228210865,7.82997807474414,2245.84366725672,1.24533838779237e-172,1.93819938172776e-169
"ARX",4.200600620378,5.23504988780285,2075.2480791798,2.00244855499046e-172,2.85682660511973e-169
"KIF26B",3.19430388070286,7.71445965373758,2452.79791902867,5.23005519020851e-172,6.88758037356689e-169
"GRIK2",3.01355516358755,10.2508640262379,2498.41746300035,9.73066122174854e-169,1.18992085797382e-165
"GRIP1",2.88738074156608,8.8109510070656,2326.51947160053,5.21695410254054e-168,5.9542836156996e-165
"SYNPR",4.00648747027597,8.40898929946363,2897.74806028585,1.02882733593323e-160,1.10084524944856e-157
"XKR4",2.77129613954686,9.46887661857288,2154.88645429864,5.98710275539555e-160,6.02936465719834e-157
"ZNF385D",3.04235366592699,9.38738882745867,2110.21457264783,7.46218555620251e-158,7.09736759567705e-155
"ANKRD55",3.34437657407172,5.98247916293384,1670.2285004376,1.62761040565267e-156,1.46656263919861e-153
"GRIP2",3.70451328135442,5.4986614371131,1514.13412133561,8.90553736471301e-154,7.62313998419434e-151
"SHISA6",3.40573404223432,7.19454835541325,2138.50545903257,1.81771937623824e-152,1.48187408196184e-149
"PAWR",3.48536052018526,5.35333195387899,1699.59437002575,2.46135610622559e-152,1.91538256993555e-149
"GAD1",3.62321413467371,7.61399078862343,2115.90735653094,2.80592763902885e-151,2.08858613826843e-148
"GRIN3A",3.8719318331939,7.1731266569534,2073.66827893729,8.18016561632211e-150,5.83518480630977e-147
"MAFB",4.0287431988558,4.55989618625054,1486.73473500405,8.54544070509733e-148,5.85191779485065e-145
"TENM1",2.72150259067601,7.65746650343268,1676.67284494267,1.25864246231383e-146,8.28767652108183e-144
"RAB3B",3.66353526140395,5.99608113649898,1771.06247729995,2.06602093213044e-146,1.31001030955826e-143
"GRIK3",3.36258280342067,6.8408697183731,1785.28840545634,4.00997284487565e-145,2.45181196800968e-142
"TRHDE",3.79753361898632,7.88174191183512,2087.79579926933,2.33560608143732e-144,1.37881296945541e-141
"GAD2",3.12917006973404,7.29258849020511,1539.183518262,4.85171244284511e-144,2.76871056738361e-141
"TAC3",3.9351951498655,5.67863123007222,1407.20199234244,6.11364003175947e-144,3.37630701108781e-141
"TENM3",2.72033661874844,8.78850010094181,1714.54595599769,8.32463877426236e-144,4.45368174423036e-141
"NETO1",2.7593084682416,7.95203510929879,1552.12150527356,3.85982235904654e-143,2.00242905414778e-140
"FLT3",3.30866823668011,4.9941555010287,1375.08865421316,1.12992060718798e-142,5.68948258678184e-140
"ANK1",3.03373939837748,6.11494784302852,1335.45187332358,3.20414364030046e-139,1.56728397491268e-136
"ROBO1",3.33750211931156,9.51007403623627,2016.90477682464,8.75824817715294e-135,4.1650335775794e-132
"DCN",3.78847725877866,4.78513916275985,1272.9865909028,1.67458027684443e-134,7.74832819988558e-132
"DLX1",4.05717542282636,4.64409756696388,1239.76077946211,4.63303471375559e-134,2.08730406051305e-131
"PTCHD4",3.12877710363798,7.61253547099415,1370.58425899974,1.19527216848624e-133,5.24693833961139e-131
"CNTNAP2",2.57525401107314,11.9484534416002,1503.93383282137,1.49154558670392e-133,6.38381511109279e-131
"ROBO2",3.17674090084938,11.6421280149381,1788.32988239616,9.26917002175309e-133,3.87044367737592e-130
"TAC1",4.12691504151795,6.60714173375019,1530.53354743853,1.58446950563709e-132,6.45859950869213e-130
"NETO2",2.59396026836298,7.56392293224449,1403.34121625048,1.93254767011056e-132,7.69423630518436e-130
"MARCH11",2.79829429308271,6.00919501196996,1204.30131775794,6.58706278729015e-132,2.56296624814562e-129
"IGF1",3.28667593801474,6.19334166503702,1300.83149904928,1.46520036225986e-130,5.57427337819751e-128
"ELAVL2",2.85322742892058,7.79741707025663,1539.35600401885,2.12904558953615e-130,7.92375228105629e-128
"TRIM67",3.69822234772269,3.96580141217516,1163.8570664469,5.41671480121121e-130,1.97306717865396e-127
"MYO5B",3.542467452792,5.03145323916179,1137.29232224219,1.0630078564572e-128,3.79139468803069e-126
"NPY",5.09094017543044,6.97814598346384,1424.61585794273,4.66773781559821e-128,1.63085043679676e-125
"NRXN3",2.3518266200437,11.7653790014634,1373.057706059,1.15869391644317e-127,3.96736796990142e-125
"SLC24A3",2.87771255477062,7.67190186198577,1491.66138243808,1.23753677725507e-127,4.15424110325622e-125
"TENM2",2.40510632064425,10.1331239424336,1361.14324386912,3.25739534538029e-127,1.07243477524828e-124
"CRHBP",3.61706884756082,5.27371553713375,1267.95906055038,1.48837861093329e-125,4.80774373946753e-123
"TIAM1",2.2903251488729,8.26421612553595,1316.40719889119,2.55329636532148e-125,8.09489514338957e-123
"STXBP6",2.95760099906133,7.07157284500137,1503.87936195765,1.47597840131928e-123,4.59431822374292e-121
"RUNX1T1",2.34761303402241,8.46033383707097,1249.99739728136,1.20348828750059e-122,3.67923562178751e-120
"MARCH4",2.29651584910967,6.63398571604508,1084.00863269577,5.96511101549842e-122,1.79162632605847e-119
"NXPH2",3.9751510097508,5.89028741387389,1221.20350337263,1.02776183422711e-121,3.03366941413242e-119
"CCDC109B",2.7883176216711,5.05905552638637,1072.95878472568,1.67403275469549e-121,4.85753233226896e-119
"NRIP3",2.64848436482728,6.12482900390555,1087.9423069909,1.72709676823974e-121,4.92798277871071e-119
"SOX6",3.43074543270784,8.78335843137305,1599.95037932932,1.94989763831376e-121,5.47249960130025e-119
"PTPRT",2.39582850549846,9.20062842813699,1220.37654477521,2.34297712031946e-121,6.469640048366e-119
"RBFOX1",2.31712849888685,11.3490691105742,1212.96774083992,8.89025986105408e-120,2.41589283843247e-117
"LRP8",2.39034307499588,6.22753278903678,1127.21773026254,2.42168839381628e-119,6.47801645345855e-117
"FBN2",3.62467720427025,5.30509263906931,1147.78761908603,5.2025733678894e-119,1.37027778551179e-116
"LPHN2",2.35111166876094,9.05337002030825,1180.84087929112,1.52016648121254e-118,3.94321972096344e-116
"PCDH11X",2.98517938566871,8.23963752309246,1404.74909190921,1.67443402923503e-118,4.27855381798563e-116
"GRM1",2.91248949365378,7.33483481926238,1264.09037352292,4.98558183726324e-118,1.25519354491098e-115
"PTPRM",2.44169612816275,8.46136641321257,1251.11558730777,1.92323048585988e-117,4.77184143737987e-115
"SPOCK3",3.53423907608059,9.25234806026917,1512.47532848312,2.02341487373528e-117,4.94869466262113e-115
"BCL11A",2.42678453369222,7.77609875221892,1090.3114228713,1.27365161682277e-115,3.07111488450786e-113
"KLF5",3.91225877490135,3.27426851168234,866.881685458618,1.24415525822273e-114,2.95832472510738e-112
"MTUS2",2.12294708007699,8.80105590117616,1073.13540014785,2.49524702162292e-114,5.8518669876965e-112
"KCNC2",2.39437370390317,9.1616776617429,1101.17288910442,1.26632261360204e-113,2.92965447903607e-111
"PLCH1",3.16410612819699,6.93809277769495,1270.69740736242,3.25363951222106e-113,7.42697445989661e-111
"NPAS1",2.80413828140453,5.1639674750553,888.668298699919,1.34506233197509e-111,3.02992988465967e-109
"FAM89A",3.69384847479552,3.27668914408815,827.535593107251,1.72515599262332e-111,3.83567150567679e-109
"KIAA1211",2.37374913185671,7.1658018790461,969.957328973311,6.62137012210658e-111,1.45330585244185e-108
"CDH12",2.92429028920919,9.20830156705446,1306.62812022971,7.98281640000781e-111,1.72890157631448e-108
"GRIA3",1.93986015428913,8.83279265625155,1023.1006960764,8.07897932857233e-111,1.72890157631448e-108
"CACNA2D2",2.89337784553573,4.8694483471892,883.841454839299,1.28635707115967e-110,2.71881889608069e-108
"BACH1",2.63034062058121,6.93053227343262,1154.43749820595,2.5764259020874e-110,5.3790745663093e-108
"ST6GALNAC5",2.60844467232685,8.5215232544065,1171.70963983363,3.39242268672284e-110,6.99738269839699e-108
"TRPC6",3.17911387677395,5.62521918988254,1021.32613759489,2.09724839107076e-109,4.27439195894421e-107
"SLC27A6",3.57184589585738,5.07251043577039,978.928031995091,2.95541156070845e-109,5.95254657874455e-107
"DLGAP1",2.035842431055,11.3379833315265,1020.25572053358,3.27537759067609e-109,6.52028655260171e-107
"WLS",2.65131598549361,7.10131567953048,1208.72847807875,3.68998229509734e-109,7.26120653931797e-107
"ASTN2",2.04323867856469,9.29477434179462,1006.15213705957,4.5686997799473e-109,8.88819775371565e-107
"SLC44A5",2.06284538463635,8.57288612779128,970.151129884478,6.02944567590088e-109,1.15982146035307e-106
"MAF",3.19779766147282,5.80950380381723,1067.89347007512,3.56215533383012e-108,6.77601103501908e-106
"CACNA2D3",2.47895896341408,8.90357783694722,1144.98305653522,3.84132370104757e-108,7.22675403977302e-106
"RASGRF2",2.41290753760802,8.26788890049231,1086.13853218596,2.01505558657561e-107,3.74975561327983e-105
"SLC32A1",3.29710773757237,4.69069630303494,816.122144143169,1.19810277713007e-106,2.20553973596417e-104
"FRMD3",2.20614141144359,6.33190077360822,883.004760558827,9.59654615706585e-106,1.74779649158476e-103
"CHRM3",2.33943230333495,9.47281134459265,1015.67933579426,2.91921046946774e-104,5.26072455129344e-102
"SAMD5",2.94003535123135,6.71518701486612,964.462139441279,8.16439758753168e-104,1.45598423644315e-101
"CNTN5",2.2908912270261,10.1098256618564,962.959165277713,6.20028526104538e-103,1.09431838834121e-100
"RIMS2",1.9669650733593,10.0369174648614,893.81003334245,1.45663496778709e-101,2.54465210699132e-99
"PCLO",1.97396737035251,9.31029994605972,884.296216718101,2.04756178660239e-101,3.54083411986191e-99
"GRIA1",2.03772166841278,9.14908084871441,868.664876216244,6.6010445703258e-101,1.13009883043978e-98
"CADPS",1.93526253257866,9.50023134545804,876.327387691225,8.28703905331756e-101,1.40469414448314e-98
"PAM",2.27708594607903,8.26056378258163,973.360577596479,2.87857771204826e-100,4.83149514022218e-98
"TOX3",2.91014291428979,6.16443689833163,838.741811316063,5.28448587918255e-100,8.78353381083547e-98
"CYP26A1",4.55856069572479,3.00901353436887,795.185645742616,7.52250357004929e-100,1.23831981845427e-97
"PCDH15",2.91763115824711,9.18859042694831,1024.99131177169,6.12189542355369e-99,9.98160472868944e-97
"OXR1",1.77667855745751,10.1433342357675,844.147416852133,3.51786313261519e-98,5.68168083305396e-96
"EPHB6",2.42085651762291,6.94576429692926,882.588985841004,7.13075052452868e-98,1.14092008392459e-95
"DAPK1",1.92975497378864,7.1648857866166,822.590408464337,1.10217240408377e-97,1.74714736647353e-95
"MPPED1",2.09714101498964,6.94780189988056,776.641209120009,1.16393483782929e-97,1.82812517648051e-95
"SIAH3",3.10700245928588,4.64275464361832,729.491098072159,1.79866790560742e-97,2.79938132218172e-95
"TMTC1",2.37001621242795,7.35931489890276,950.501413088292,4.86646716129207e-97,7.5057583604793e-95
"GALNT14",2.59881066243991,6.37483570360587,804.886353335183,6.06906162370481e-97,9.2769941962345e-95
"RAB3C",1.95603247979085,8.40110691318372,801.72131576836,1.31856675248271e-96,1.99768697367291e-94
"CDH7",2.81077415217821,6.12662078278233,805.66122785588,3.60272220196517e-96,5.41040386821436e-94
"ANKRD36",1.69924651070623,8.19090079356216,787.891437028292,1.20100991709786e-95,1.78793824180134e-93
"NDST4",3.43869924392378,4.70184957259433,763.201640346668,2.21687722763612e-95,3.27180501182159e-93
"TSHZ3",2.35947558155571,6.35722265470365,778.173897689229,6.54409585991543e-95,9.57563428391044e-93
"KCNB2",2.08250536978194,8.22222657992207,750.707863061224,1.41334833312198e-94,2.05055283585156e-92
"DKK2",2.50925000907767,5.400718971401,719.235796891047,5.52200812280292e-94,7.94426714809966e-92
"NAALAD2",2.22829237266591,6.42270412768524,680.860083074708,4.21960560716476e-93,6.01997066622172e-91
"RSPO2",2.36557165719667,6.04670415272207,730.108644824288,5.56154513006097e-93,7.86889691129288e-91
"NOS1",2.42120633178618,6.07468341409028,762.212187397572,1.11611502265696e-92,1.56622042523665e-90
"HCN1",1.86529705914616,8.8504626864119,746.298561902314,1.34189385851685e-92,1.86774169575679e-90
"SLC9A2",2.92759891644753,4.12916267869248,671.545820570508,1.66014008421987e-92,2.29206437434227e-90
"RALYL",1.96581503884329,10.2732385117952,759.467287100538,1.94059291892196e-92,2.65783606175552e-90
"ADCY8",2.59730061727833,6.97103648470496,797.646536914912,3.26995485350431e-92,4.44298627714236e-90
"ALK",2.24058390301888,7.45545569369755,743.630915593024,5.13450799589854e-92,6.9214784952585e-90
"ANKRD36B",1.867832439425,6.88754928460255,688.370010624736,1.88894579456093e-90,2.52646500022524e-88
"MYT1L",1.72528443078368,9.24782496435969,725.589779694233,2.56103876628054e-90,3.39883594408705e-88
"PENK",3.98048167897776,4.45743900207497,689.84145638676,1.09743873291682e-89,1.44524239288738e-87
"DOCK11",2.28615674111718,5.87227301838609,683.401496428109,2.76017328618245e-89,3.60718829461401e-87
"ABCA5",1.61399426622252,7.39964213092037,689.044317908483,4.05118354174103e-89,5.25426229050048e-87
"EDNRA",3.1907443148122,4.23601770298455,649.647042558675,5.26427553306778e-89,6.77627046061055e-87
"PRKG2",2.510693768012,5.83217320615751,657.563071916086,8.39737568577286e-89,1.07285874433158e-86
"PRDM1",3.66423944543525,3.41349912287406,619.26613550271,2.36465213371667e-88,2.99872922438736e-86
"PTPRN2",1.54548486883999,8.93042518210067,693.129664683064,1.21255012236911e-87,1.52638662462935e-85
"UNC13C",2.47908459035483,7.42267313443941,716.105055881703,3.05880486348129e-86,3.79806275708229e-84
"ZNF124",2.3163322191954,5.38121150538162,636.653278228269,3.06152254951727e-86,3.79806275708229e-84
"EML5",1.83595433444291,6.82456605640698,637.177379332055,7.59297045101655e-86,9.35191756269088e-84
"CALB1",2.96784546566751,4.69602173849684,633.135541849975,9.77206929631511e-86,1.19498447394939e-83
"COL19A1",1.79537054547353,7.56089925235957,646.704729550943,1.34767545153344e-84,1.63632650569166e-82
"ARL4C",2.20183708584619,6.79059844631505,680.197225472463,1.9315938860332e-84,2.32879488231608e-82
"SLC24A4",2.42843771912221,5.22096576240202,625.049314575931,3.39122494741748e-84,4.05998399299212e-82
"VWC2",2.5048743984987,7.38207562085629,651.24376857038,5.38652816751391e-84,6.40398348804432e-82
"NFIB",-3.18843777373793,8.8115537353312,665.419818732201,6.32632163000892e-84,7.46942250384501e-82
"ADCY2",1.61968948504159,8.92581271275601,643.473809559528,7.85430224763082e-84,9.20997633420819e-82
"HUNK",2.26000492093636,6.39085861018462,659.987737364175,8.80035682684789e-84,1.02491230527643e-81
"CCDC136",1.91657146217191,6.03119034992514,612.55196434085,1.77675969153473e-83,2.05527877831586e-81
"CACNG2",1.88045459031934,6.75180600247803,586.098935432322,2.8311033257979e-83,3.25291872064833e-81
"FGF14",1.6872495371047,10.7350004818467,638.240832724001,4.1986625000409e-83,4.79207346671335e-81
"SIDT1",1.98060952410523,6.57082164952445,592.844400656891,5.47718293561018e-83,6.20989217600307e-81
"KCNK2",2.54416993557098,5.65592132492288,594.072775477299,7.66861799265693e-83,8.63728552857149e-81
"NTN4",2.34062445898716,6.21233262547923,639.952542875923,1.49626322177275e-82,1.67425008867644e-80
"PTPRR",1.78383350375791,7.84124632090527,595.917054962598,2.66254619759419e-82,2.95992148719562e-80
"RBMS3",2.23823270683898,8.56272414401775,722.577695702361,2.91972045049345e-82,3.22487832983535e-80
"AHI1",1.53464179322817,9.05175266255631,625.104809413654,4.04369300698525e-82,4.43769386407612e-80
"ABCA10",1.98222383639087,6.09003056024188,555.006294416847,1.41962815760108e-81,1.54802764701468e-79
"CDH8",2.02207256435765,8.09626540763513,661.314926717472,1.96029658714303e-81,2.12406820075244e-79
"ANKRD36C",1.5948289669348,8.31350841572624,601.42846998073,1.17013201468432e-80,1.25991572901859e-78
"SLC8A3",1.85149217879456,6.75562870097372,554.611023879453,1.73063330704851e-80,1.85177763854191e-78
"TMEFF2",1.76667250788296,8.9477430839338,595.874350230512,2.04167558340645e-80,2.17102397440487e-78
"RANBP17",1.86165347818023,7.35572989087185,608.390189049391,2.13139265071499e-80,2.25243470248398e-78
"OSBPL10",1.74167059620647,6.83448496455997,569.475567559816,2.77055635743795e-80,2.89669545361193e-78
"CYGB",2.57457169050568,4.19456886251997,522.194352520975,2.77487181303946e-80,2.89669545361193e-78
"TOX2",2.42768986328434,5.72601756630582,591.576198999104,3.62751171308882e-80,3.76381821382307e-78
"FAM135B",1.74095427741054,7.54764551643389,573.254136527395,4.58824283982079e-80,4.73197092877904e-78
"PACRG",1.63206372651542,7.56363284481846,575.384452334585,1.26090822650797e-79,1.29261969088721e-77
"SRRM3",1.59901692112004,7.57656474368851,562.527411953858,1.61618295096914e-79,1.64696738813046e-77
"KCNT1",1.9010671189767,6.37493833152572,538.011056699017,6.35421384296338e-79,6.43693141961734e-77
"MGAT4C",2.14205085888404,9.56251615757919,667.832666658982,7.00944860549706e-79,7.05892706624174e-77
"EPHA6",2.38585204226421,9.02951418602197,681.960701312904,7.87252099711021e-79,7.88172862400742e-77
"DAB1",1.96598245364343,9.85651797218448,643.671017097036,8.61101783874113e-79,8.57096659297955e-77
"NOS1AP",1.68166041299114,7.04224026506716,555.369611078653,1.09415286675193e-78,1.08276861727127e-76
"FARP1",1.49558748516972,7.84267424929222,582.315551497733,1.3288217025368e-78,1.30743836479482e-76
"RPH3A",1.67864956528422,7.8414968421163,563.606845759211,4.67147395926909e-78,4.57003623901067e-76
"NFIX",-2.83818221831625,7.42732718175314,570.09808165432,6.10881527625042e-78,5.94221122326177e-76
"ZMAT4",2.02910895678303,7.91213358459746,572.674621913874,9.71877242739773e-78,9.40030417836435e-76
"RCAN3",2.53158505747892,4.08845662489793,496.402374456814,6.79618576786208e-77,6.53655619920218e-75
"KCNIP1",2.18595911745896,7.30729232152731,621.997165965656,8.34094819513822e-77,7.97748788272438e-75
"CACNA1D",1.50980865569802,8.03342852572095,534.932242041087,5.6286483529024e-76,5.35346998898272e-74
"ITGA1",2.50536885227909,4.82377697292046,502.494543688209,6.88628494548396e-76,6.51343636832516e-74
"PIP5K1B",1.9188186599412,7.29389068284416,601.325885165909,1.64615222017721e-75,1.5484684620568e-73
"NPAS3",2.1345321580112,10.50511635134,630.124694457442,2.32642610524745e-75,2.17641611594734e-73
"KLHL5",1.75931335098475,7.18820549742951,559.898514239774,4.74597923813431e-75,4.41582416069888e-73
"CACNG8",1.58478928184161,7.50422104103408,520.249126637542,5.90200054826519e-75,5.46174321007027e-73
"CMTM8",2.33309457475162,5.73851196214053,520.992133360593,2.4693540503075e-74,2.27286781404647e-72
"PTPRO",1.63487009569777,8.11189520199351,527.766156635506,2.86560429235412e-74,2.62348371578089e-72
"EPHA7",2.17215376466647,6.9290422982342,548.784366330397,4.33056516892212e-74,3.94357849425248e-72
"CDH13",2.24079103284689,8.94096740434486,618.014998985365,4.78241168953744e-74,4.33200466269212e-72
"PIEZO2",2.34305788878799,5.90396159907158,531.768716299023,9.18355113723885e-74,8.2748629194489e-72
"CLVS2",1.825001751471,6.96057990224072,516.240541117009,9.91044516048407e-74,8.8830796412297e-72
"KCNJ5",4.01777506385138,2.50262608887689,481.070208875556,1.08080264205729e-73,9.6371568916775e-72
"SGCZ",2.63383027047972,10.1829152859415,610.573858634705,1.52602254245141e-73,1.35365315682737e-71
"SNTG1",1.66666451972221,10.2155256045016,523.503456596441,2.36695850789421e-73,2.08877987913138e-71
"GALNTL6",2.30913309932845,9.62266381363616,604.209351677836,2.83160800226884e-73,2.48600661532526e-71
"SOX1",3.54067433185986,3.22802529620609,466.887113571038,2.86615907355598e-73,2.50350221118767e-71
"QRFPR",3.89224721863824,3.41404059208226,513.586193755834,2.94793932383832e-73,2.56186402152853e-71
"GRM5",1.43449026681806,9.79539122899816,520.957590301782,3.34260926239525e-73,2.89017528142458e-71
"HPGD",3.54282447325898,2.81604368283771,455.147211647297,3.54996139193416e-73,3.05403713718155e-71
"CHRM2",2.49177166269916,6.25504336450589,514.035147954151,4.91143053287401e-73,4.20418453614016e-71
"FSTL5",1.94864227144001,8.68979004960844,574.568260648161,7.73179296246409e-73,6.58548733917339e-71
"OTOF",3.26960621518463,3.54691901177051,474.196524203822,7.89231219371951e-73,6.6889299384395e-71
"CCDC64",1.59639705735226,6.98022155170248,475.990737053095,1.24010427919713e-72,1.0458416384165e-70
"GLRA2",2.1364561881561,5.85734432868787,474.453594293922,3.23162106329058e-72,2.71202708840857e-70
"AHR",2.12047631297633,5.11391171004951,464.917864261484,3.26711356140901e-72,2.72843825225962e-70
"SH3PXD2A",1.52415971506345,6.94039477854392,497.18291864235,4.94986024742164e-72,4.11367026387662e-70
"GABRG3",1.64512642119391,8.95047731180006,489.967114985516,1.66241874617675e-71,1.37490864418096e-69
"CDH3",1.93251363127821,5.21723800020186,453.931286549691,6.28565990612349e-71,5.17358161504011e-69
