"","logFC","logCPM","F","PValue","FDR"
"FGF13",4.84631314173318,7.91108222914105,7086.0777162196,2.92875494703742e-258,5.01402846932806e-254
"GAD2",5.15339649751919,7.29258849020511,5672.92181411413,1.5599034232965e-249,1.3352773303418e-245
"KIT",6.57820920703553,5.85565919157703,5858.3257556116,1.41842227567011e-248,8.09446311982409e-245
"PTCHD4",5.07739898761922,7.61253547099415,4833.68013112087,5.95543309914687e-231,2.54892536643486e-227
"EYA4",5.52614101816773,6.00950287830235,4467.68381789685,7.21380567395502e-223,2.4700070627622e-219
"GRIP1",3.63237451854726,8.8109510070656,3952.31037270809,2.44042761236995e-208,6.96335345396226e-205
"SV2C",4.96857181436581,5.62201690398958,3611.35159795736,9.15488944597859e-205,2.23902439021648e-201
"ADARB2",5.72619286363162,9.73349393189985,6227.56016604902,3.33513859994925e-204,7.13719660389139e-201
"NYAP2",3.80267493473355,7.02128863401863,2793.82208715457,3.44555239574862e-200,6.55420633502404e-197
"PRELID2",5.10871655419136,7.00340188536222,4622.75221458863,5.53238242097854e-197,9.47143870471526e-194
"PDGFD",5.28807285039548,5.42921133003783,3275.1986358457,1.97191796015941e-194,3.06902140708447e-191
"SLC6A1",3.65720415121556,7.84979247300331,3213.00297958743,1.51724717867635e-191,2.1646059749116e-188
"PKP2",4.64212119064163,5.093071137175,2393.09966743651,1.05522444009905e-184,1.38964941649967e-181
"FREM1",4.36433105299588,6.00077163759,2803.21609872743,4.68228669587975e-183,5.72576773096152e-180
"HAPLN1",4.64782927734588,4.51582554995638,2186.98568473404,2.66994513658506e-182,3.04729738255575e-179
"LAMP5",5.04219101497616,4.97642045294642,2575.03329277932,1.0442809076322e-181,1.11738057116646e-178
"TRPC3",5.48088518340582,5.53670824761108,2896.76754942769,1.62618205732438e-179,1.63766098949373e-176
"ALK",3.88477056324124,7.45545569369755,2807.53781467924,3.75295150950891e-179,3.56947388015515e-176
"MTUS2",3.17035719715729,8.80105590117616,2736.27696240926,5.515374286165e-179,4.96964251469183e-176
"ANKRD55",3.92369131396761,5.98247916293384,2145.39600982967,6.37628563256297e-177,5.4581005014739e-174
"EGFR",4.25015326727558,6.27954012622897,2528.54149623578,2.28099647779295e-175,1.85955522380073e-172
"NXPH1",4.39042784329444,9.22831993343101,3214.95625455235,1.69682428898256e-174,1.32043781033552e-171
"GRIP2",4.33462989979657,5.4986614371131,1917.41467908958,1.09103336371512e-173,8.12108312469688e-171
"PTPRT",3.24393962044747,9.20062842813699,2500.8455318062,2.32038888168314e-170,1.65521073560064e-167
"FGF14",2.99602445136405,10.7350004818467,2517.80026612249,6.20577863524213e-169,4.24971720941381e-166
"KIAA1211",3.37726325685547,7.1658018790461,2126.81316131887,6.83235230580997e-166,4.49884121059488e-163
"ZNF536",3.97326702505207,8.14314457396163,2603.34116793406,5.01476298940003e-161,3.17973119920476e-158
"KCNC2",3.24395883226672,9.1616776617429,2235.91153852826,4.3917062717921e-160,2.68521469189574e-157
"ATP8A2",2.65432357156289,8.90115484390554,2131.2940985416,4.77069132340124e-160,2.81635294678032e-157
"NXPH2",5.01158238387618,5.89028741387389,2097.24310796956,2.96473961097068e-158,1.69187807132727e-155
"CXCL14",5.01587059958574,6.86594173428599,2165.59990611032,5.56499194233289e-156,3.07331167912062e-153
"RELN",5.3442339849229,7.86729338014618,2279.83996073735,4.02910210631144e-155,2.15556962687662e-152
"NRIP3",3.30400149024808,6.12482900390555,1622.84028230671,2.17351821671104e-150,1.12759490515434e-147
"ZNF385D",2.98694091690568,9.38738882745867,1882.46408504566,6.94804023427924e-150,3.49854261208414e-147
"UNC13C",3.81831014481147,7.42267313443941,2007.3835688944,5.09880248450804e-146,2.49404281527936e-143
"TMEM132D",2.6696175139643,9.22958183506453,1771.31111375191,9.11853645065536e-146,4.33637066764499e-143
"TACR1",4.40526157191972,4.8850643847751,1544.1014218566,7.27698422784254e-141,3.36708026974768e-138
"GRIK2",2.60249571834224,10.2508640262379,1667.78595538971,9.80788224897777e-141,4.41870905532893e-138
"FBXL7",3.75492929133845,8.59758989984263,2098.02989662976,7.32135994901305e-138,3.21388929043855e-135
"FSTL5",3.27794174739709,8.68979004960844,1978.95825729511,2.05881433559605e-137,8.81172535635111e-135
"BCL11B",3.66197372405158,6.41392638995016,1556.8146483024,2.79274182641615e-136,1.1661400016645e-133
"CNTNAP4",3.08409168068387,8.04669863405653,1612.14528050912,1.02903492343557e-135,4.19454235457545e-133
"GRIK1",3.7471826154156,9.99901006480967,2050.21804950753,5.12300276951834e-135,2.03966993986405e-132
"SLC35F4",3.78353085952413,6.11382641579767,1424.0826078447,6.30053165894975e-135,2.45147959093681e-132
"MYO16",3.56822557466955,8.04309181485862,1840.97554391753,1.01873558916445e-133,3.87572295255453e-131
"LINC01314",3.9104650594164,5.23509704486817,1354.48208133196,9.25854481740815e-133,3.44578885378321e-130
"GRIA4",2.7391425593603,9.59276240182916,1573.89225314123,1.3263402452731e-132,4.83126489342032e-130
"CNTN5",2.85921401571104,10.1098256618564,1582.92488792574,1.44257450977092e-132,5.14518241818295e-130
"RAB3C",2.55148910923341,8.40110691318372,1420.76457675185,4.73191245427325e-132,1.65327226973792e-129
"GAD1",3.41897028464203,7.61399078862343,1557.85537954131,1.32581677380831e-131,4.53959663351964e-129
"GRIN2A",2.86415868559369,9.68378736310144,1610.6868157978,9.74383682772628e-130,3.27087228413086e-127
"DNER",3.03629188583126,8.21201546844603,1705.2989358567,2.18558609111383e-129,7.19562189997476e-127
"CA3",3.7590106040953,4.67024413401633,1163.871466694,2.22321288808415e-127,7.18139710264162e-125
"GRIN3A",3.55474214074724,7.1731266569534,1429.90340495137,3.55799517129049e-126,1.12801624689802e-123
"CA1",4.22728502578265,4.51039991170884,1225.89914942015,4.0301984300236e-126,1.25449085676371e-123
"IGF1",3.49940351411342,6.19334166503702,1218.07162178909,4.53743985534921e-126,1.38716018434961e-123
"CACNA2D1",2.38257084170603,9.15449785793442,1322.31155479895,1.98264095592099e-125,5.95487950269603e-123
"TOX2",3.46797564231727,5.72601756630582,1267.07945005685,1.49574019411126e-124,4.41501243503186e-122
"UNC5D",3.1766097040879,9.17932153955519,1600.29319764848,8.60625716683643e-123,2.49727326603796e-120
"GRM5",2.1234441808212,9.79539122899816,1254.59430500759,2.24057468064493e-122,6.39310642210685e-120
"PTPRM",2.61645106563576,8.46136641321257,1356.07750484986,2.92122370148016e-122,8.19858192940006e-120
"DGKD",2.67662504766943,6.47655422477012,1194.04174079867,3.00967351338736e-122,8.31058234664381e-120
"IGSF11",2.44500235895082,7.22780320389836,1142.29975258457,2.32104757890628e-120,6.30735469061515e-118
"ZMAT4",2.8703281596457,7.91213358459746,1204.03267340825,1.25317457259581e-119,3.35224198169378e-117
"SFRP1",4.30561772138528,3.70459989307135,999.250896340803,1.44898664191084e-117,3.81640789377131e-115
"NRG1",2.73646980486031,9.44170195346634,1309.52112942404,3.14539387382394e-117,8.15896107876755e-115
"AP1S2",3.01965038125495,6.32711187466873,1278.12119768653,4.67463348602448e-117,1.19447351165282e-114
"SNRPN",2.23970050935919,7.82997807474414,1023.79737231511,1.02841657496677e-115,2.58918996521046e-113
"MGAT4C",2.92630812733298,9.56251615757919,1388.57475466288,1.05774612878132e-115,2.62443677170091e-113
"CHST9",3.72703763533434,5.655851803904,1171.41288805131,1.79586804212288e-115,4.39218012587768e-113
"VWC2",3.26837494689729,7.38207562085629,1132.58693365772,2.36842099064075e-115,5.71089681123516e-113
"MACROD2",2.11978105955056,9.96943068211993,1121.63108442571,6.40291529677128e-115,1.52247097056561e-112
"ENTPD3",2.79879091606305,5.86342199919867,951.320293431413,1.93074752431221e-114,4.52799967345549e-112
"TOX3",3.38181057536365,6.16443689833163,1027.42003823913,2.78002001088491e-112,6.43161386302022e-110
"NTNG1",3.08658265000598,7.62757855354945,1278.16141739598,3.11582632540604e-112,7.11239289212685e-110
"PCP4L1",2.89956000105403,5.40611669208576,927.281824101198,1.57821343862091e-111,3.55513343015658e-109
"RPH3A",2.23805789929868,7.8414968421163,1008.89168062733,7.93978103336115e-111,1.76531235443043e-108
"CCSER1",2.15451811138552,10.3378216452882,1045.25619912368,1.23412629921119e-110,2.70874900544814e-108
"KCNAB1",2.73323574088105,8.43681123033805,1236.96171528552,3.20556199556006e-110,6.9467368815175e-108
"KIRREL",4.08860209557372,4.06342870472272,946.224581362322,1.10751317233557e-109,2.37007818879812e-107
"FRAS1",2.56500339606654,7.90156105721351,1063.16423540288,2.59219027077603e-109,5.47880215255378e-107
"ATP11C",3.17551333828862,4.82679998983204,922.006558709558,3.3821642460298e-108,7.06129901122318e-106
"RIMBP2",2.27211872528954,7.22854969462997,920.563843857067,6.32827059819953e-108,1.30530111615875e-105
