"","logFC","logCPM","F","PValue","FDR"
"VIP",6.94455832840058,5.97161253575928,6704.55780469612,1.61275894786888e-272,2.76104331875152e-268
"TAC3",6.03719776723904,5.67863123007222,5496.83736052912,8.44842942368178e-263,7.2318555866716e-259
"ADARB2",5.77900539227869,9.73349393189985,6584.66522496943,1.03928166990677e-207,5.93083406293466e-204
"PROX1",5.01504910155791,5.63463777029338,3147.01694020367,3.51771165116852e-206,1.50558058670012e-202
"CHRNA2",6.76969851710949,3.71723356034647,3020.08439648127,3.35319351720121e-202,1.14813346028969e-198
"CXCL14",5.48964037883677,6.86594173428599,3516.50138024631,4.73986347987227e-190,1.35244104625689e-186
"KMO",4.85462782284187,4.60561140304211,2355.9716053224,5.0663239924766e-181,1.2390780964457e-177
"GPR149",5.29939741389845,4.64528114465777,2491.51057767097,1.06734114384021e-179,2.28411004781806e-176
"CHRNA7",3.74874318654783,5.47479231539545,2158.11365637221,3.9790613764329e-178,7.56905897383681e-175
"CALB2",5.12646452240494,4.99143917827259,2282.73872620352,1.9414441902454e-173,3.32375245370012e-170
"PTHLH",4.4587113549853,4.15372032782784,1762.36829050986,1.68142387957414e-170,2.61690698348266e-167
"IGF1",3.8752421968414,6.19334166503702,2099.92898261594,2.64461882084544e-165,3.7729895177395e-162
"SHISA8",5.38306191527558,3.33518767363376,1809.78602285554,5.48007111239627e-164,7.21683211109416e-161
"NR2F2",4.8917227016466,4.41468152195436,1846.09772466028,4.11022392615902e-163,5.02621668684589e-160
"CNR1",4.39628496103002,7.24614636381464,2678.75748921029,6.02977691342584e-162,6.88198538385669e-159
"RGS8",4.85685778396492,3.96786874772363,1786.03635645224,2.65802604602988e-159,2.84408786925197e-156
"VWC2L",3.90404284463235,6.4396820762201,2074.31759234282,5.76603281851622e-158,5.80673422664692e-155
"ENTPD3",3.11518559794464,5.86342199919867,1694.05476776193,5.57649042657248e-157,5.30386200571783e-154
"ZNF385D",3.0204853380001,9.38738882745867,2064.72693869062,2.53864877055433e-156,2.17559901315035e-153
"LRRC39",3.33917288219083,5.25661464388095,1646.21376876648,2.54158763218499e-156,2.17559901315035e-153
"SYNPR",3.86290401915843,8.40898929946363,2643.88396269162,4.3160717802926e-155,3.51862613707664e-152
"EGFR",3.58310455794918,6.27954012622897,1901.39846274583,2.31118231603456e-154,1.79852005684144e-151
"DLX1",4.33848989397337,4.64409756696388,1597.89923305037,1.58192022857732e-153,1.17749888318451e-150
"ASIC4",4.933562240849,4.3105807310676,1689.3058939218,5.70413637897142e-153,4.06895061699961e-150
"CRH",4.67020591958789,5.9492864505464,1914.78172031635,2.40484290570671e-152,1.64683642182796e-149
"SLC24A3",3.28221373970588,7.67190186198577,2123.79635838334,6.7791715205059e-150,4.46382370888696e-147
"RGS12",3.49549022490353,7.42783501049623,2466.56793559609,1.88685292495434e-149,1.19640452130438e-146
"SNRPN",2.55552175144142,7.82997807474414,1646.92983986907,5.34721328019308e-149,3.26943897703234e-146
"SLC35F4",3.72426072983613,6.11382641579767,1727.45133966668,1.78484022826704e-148,1.05367119682523e-145
"GRIP1",2.54395992796517,8.8109510070656,1697.71494945754,2.18568418834226e-145,1.24729711014732e-142
"GRIK2",2.62738493601491,10.2508640262379,1768.41679842743,1.10986165380197e-144,6.12930048809348e-142
"BTBD11",3.26496542742652,6.65296229158883,1669.81624463397,3.06264882991877e-144,1.63851712400654e-141
"NPR3",4.40530073462923,3.41708880258747,1331.46715527713,4.46399153750496e-144,2.31586470066924e-141
"CNTN5",2.99709752132365,10.1098256618564,1877.20193929035,1.98702680098751e-143,1.00052643626194e-140
"GLRA2",3.22707874323249,5.85734432868787,1465.6406788034,3.56092197052545e-143,1.74179954672559e-140
"SORCS3",2.65967976912559,7.96165504766498,1563.3841447346,1.76522300159319e-142,8.39461605202093e-140
"KCNT2",2.99703966429744,8.11632756718723,1787.59607757432,1.7013157604307e-140,7.87203400501988e-138
"ZNF536",3.35080097138647,8.14314457396163,1833.20225069536,1.06249287124107e-138,4.78680998832821e-136
"CNTNAP2",2.65106561134399,11.9484534416002,1614.82853047251,3.06368153517519e-138,1.34487763800511e-135
"KIAA1211",2.75511415283722,7.1658018790461,1442.85281080689,1.66419078014573e-137,7.12273653902374e-135
"GALNTL6",3.78053691064644,9.62266381363616,2142.65800578892,4.78363725735808e-137,1.99746024014562e-134
"GABRG3",2.59197615394659,8.95047731180006,1474.46309348048,2.23879130233395e-136,9.12573978475171e-134
"THSD7B",3.95048269013686,6.4960768072404,1628.08188776008,7.29682660555174e-135,2.90515515086153e-132
"CACNA1D",2.2718479027518,8.03342852572095,1426.66187740232,1.3517768719549e-134,5.25964091996998e-132
"SLC22A3",4.25279417477839,4.31543220724373,1384.99259830655,4.45399792499832e-134,1.69449876613269e-131
"CNTNAP4",2.90638394888064,8.04669863405653,1563.87139720725,9.26761628505743e-134,3.44916501739529e-131
"PLD5",3.27637129415434,7.75517982939458,1767.27046047782,1.18210887933124e-132,4.30589447109594e-130
"MTUS2",2.36573828727909,8.80105590117616,1408.48431167882,6.70040325055222e-132,2.38981049269696e-129
"ADAMTS6",3.35585654675177,5.89300222925496,1439.61170971413,7.12477221648192e-132,2.48930817033001e-129
"LYPD6B",3.63573367493885,5.29269190440634,1274.66510005606,8.53741969988812e-132,2.92321250524169e-129
"GAD2",2.89676347648723,7.29258849020511,1294.64499404519,1.14492901869454e-131,3.84336956863737e-129
"ANKRD55",2.94015214833308,5.98247916293384,1199.66860513594,3.10220810742031e-131,1.02134236151992e-128
"PKP2",3.39634797440541,5.093071137175,1199.78355097616,1.96965445663654e-130,6.30319260156464e-128
"GRIP2",3.31102080573568,5.4986614371131,1126.05448698471,1.98815654488604e-130,6.30319260156464e-128
"GAD1",3.19135193657659,7.61399078862343,1527.52049853412,2.24551162526383e-130,6.98966527718487e-128
"ERBB4",3.58215322711483,11.3475484109375,1918.1425158793,2.87846666770952e-130,8.79988381271196e-128
"SNTG1",2.51487920083852,10.2155256045016,1399.85735352494,3.51279110810437e-129,1.05506989071486e-126
"GRM7",2.40715759049631,9.50511238202071,1336.36220121603,1.54664440997491e-126,4.56526763771904e-124
"PPP1R1C",4.44670001239654,3.94915861642743,1190.67566766623,3.28325626637456e-126,9.52700801361567e-124
"ZNF804A",3.12054538519821,8.31228925385188,1429.56099824305,7.32029089943028e-125,2.08872300330411e-122
"THSD7A",3.37460947644666,8.17876200897504,1645.91800199349,2.54317610886296e-124,7.13756966946457e-122
"RELN",4.32246971956585,7.86729338014618,1386.80570316422,1.22404880993638e-123,3.37995413324367e-121
"ANK1",2.77858265372834,6.11494784302852,1074.99320718941,2.37999481806002e-123,6.4675414738393e-121
"SRRM4",2.2164442167277,8.05565470419925,1147.6558587126,2.9929151203162e-121,8.00604794684583e-119
"ARL4C",2.82690634587772,6.79059844631505,1312.41195407227,3.62588716121904e-121,9.55002895385692e-119
"VWC2",3.17338873842705,7.38207562085629,1233.65593709739,1.21828466901236e-120,3.16015659598358e-118
"SLC44A5",2.20357766645862,8.57288612779128,1143.47789862675,2.70292101235111e-119,6.90656831812703e-117
"ZMAT4",2.70822925554956,7.91213358459746,1170.01745510484,7.67817340385236e-118,1.93309306873459e-115
"FGF14",2.17738889841189,10.7350004818467,1169.76710052238,1.32119877115166e-117,3.27810477711831e-115
"PDE3A",3.40264473795422,6.37930873207544,1270.24186427508,4.47154270594973e-117,1.09361158751228e-114
"GRIN2D",2.67530545662633,5.54482881577498,959.401284082928,2.4056759171213e-116,5.80072840860798e-114
"NYAP2",2.39519655415047,7.02128863401863,961.715549907686,7.14514246152197e-116,1.69895609640633e-113
"ADAM33",4.17127387797258,3.75123558665614,998.731530569425,1.24979338282696e-115,2.9310222895887e-113
"ANO4",2.32663822869374,8.37129138272206,1084.21327970869,8.32242886144925e-115,1.92540516362177e-112
"HTR2C",3.59841120623686,6.24592650945843,1071.39767430189,1.17915046739767e-114,2.69160746691308e-112
"INPP4B",2.70871800276648,8.51506342467784,1304.99781843395,4.4125099880719e-114,9.93975934155143e-112
"CNTN4",2.20606639732873,9.51929059325091,1099.06769860328,7.0945732900994e-114,1.57739084060392e-111
"ROBO1",2.84474682875692,9.51007403623627,1339.3610841642,2.43996614337437e-112,5.35541286853452e-110
"PTGFR",4.62443599600905,3.05444159721772,959.966359787152,3.49819005546105e-112,7.58088781639154e-110
"IQGAP2",3.32597690613219,4.7601512702023,968.864279580865,3.79110663214902e-112,8.1129681927989e-110
"NPAS1",2.7877594744849,5.1639674750553,894.90221598305,4.48992562740116e-112,9.48981811618616e-110
"ROBO2",2.75288853395902,11.6421280149381,1241.98615390075,5.67878135014125e-112,1.18561874041973e-109
"ASIC2",2.24435558764114,9.86532853390727,1053.23328607256,2.3611506686663e-111,4.87022884910447e-109
"SLCO5A1",2.74756704261232,4.85126966006083,883.871073566723,2.54690543404091e-111,5.19083583699766e-109
"CIT",2.02433396645719,7.28285811243225,987.331824515663,6.02197218978843e-111,1.21289604575503e-108
"HGFAC",4.93020267991763,2.69157917856452,938.83859677242,1.44279752091532e-110,2.87217366954306e-108
"NHS",2.59185597877525,6.9012543607352,1088.76538732294,4.56342502421037e-110,8.97998119706685e-108
"SHISA6",2.61682056939634,7.19454835541325,1074.14176495831,1.7794820924431e-109,3.4619015252984e-107
"WBSCR17",1.92915200460325,8.85780117239667,1010.68971945928,4.48964414618773e-109,8.63625930143078e-107
"C8orf34",2.67428698818813,8.13934940577929,1176.2676450769,9.265268803012e-109,1.76246002119517e-106
"PRR16",2.93356399823548,7.32565621741739,1049.23504953356,1.76394332478775e-108,3.31853952971057e-106
"FRMPD4",1.97595746057325,9.45129052277243,988.321227175173,4.17974364666818e-108,7.77795774249556e-106
"ABI3BP",3.84821545147358,4.51180435017993,984.135518370104,8.62228621896042e-107,1.58724236632906e-104
"LGI2",3.44693003081409,4.40089306524546,849.898995909055,1.661715462286e-106,3.02644348024854e-104
"ARHGAP28",2.81277153697628,4.85087571498711,805.944335601776,3.66126068031303e-106,6.59797714178516e-104
"NR2E1",4.09906369458765,3.01339506603965,841.324393936361,9.847664721559e-106,1.75616687534469e-103
"L3MBTL4",2.50901102321679,7.40449776986586,1094.33679456856,1.65948359769236e-105,2.92890300953537e-103
"AP1S2",2.58493432505253,6.32711187466873,1040.79699319018,2.31054470855554e-105,4.0363801439256e-103
"MYT1L",1.92311593342162,9.24782496435969,942.681943197602,3.51778910949153e-105,6.08328783378738e-103
"CLVS1",1.96045177414492,7.07194502982503,873.391228579551,2.61045652226753e-104,4.46910156612202e-102
"CHRM3",2.31013667178407,9.47281134459265,984.651360214671,1.51208734223708e-102,2.56306290090087e-100
