"","logFC","logCPM","F","PValue","FDR"
"MLIP",3.53046680968971,7.30686849699436,2837.69384070335,4.28550535313441e-190,7.33678516456612e-186
"CUX2",3.57328513358026,7.12803328947125,2475.46220174222,9.19630061503542e-159,7.87203332647032e-155
"ZBBX",3.12669189498327,5.66255064760926,1551.43122033945,1.41793173567716e-153,8.09166377159763e-150
"FAM153C",2.79204933198262,6.88444576939946,1601.57805255609,6.8062978017482e-152,2.91309545914823e-148
"CBLN2",3.76206788184451,7.39746878483624,2287.56609491202,1.66238495625121e-151,5.69200609020414e-148
"TTC6",3.29180747144375,5.11295987558619,1541.3267587473,2.53879808418364e-149,7.24403720020398e-146
"R3HDM1",2.40656764588181,9.63287640478686,1881.17237950256,2.03775182491507e-148,4.38745637328123e-145
"FSTL4",2.88864258214078,7.63670668505183,1786.23550494491,2.05021325854263e-148,4.38745637328123e-145
"FAM19A1",3.50495903587386,9.23146514815032,2454.75518574541,1.43324674636636e-147,2.72635381086578e-144
"SATB2",2.66042627790492,7.70075064651694,1748.77186308587,2.74381392112687e-146,4.69740943296919e-143
"STXBP5L",2.46996536893702,9.98596450562309,1800.56540828251,6.4104611624891e-146,9.9770086456194e-143
"MCHR2",2.89082377548467,5.77595326574666,1427.30762809621,6.54579962244176e-145,9.33867412801691e-142
"ADAMTS3",3.17382367467842,5.49662692223628,1514.03201113001,4.32106850894051e-141,5.69051483638935e-138
"LDB2",2.63135455007061,9.29046751827544,1668.3993205079,1.93016354422377e-140,2.3603142769365e-137
"DLGAP2",2.32350277778923,7.50102098697402,1510.24452371073,4.03014340835104e-140,4.59973701006466e-137
"KCNH1",2.45880789347875,8.51393310733252,1551.95699821424,1.92363336687841e-138,2.0582877025599e-135
"LINGO2",2.96426081249939,9.57567394907669,1835.66551153001,5.19492971741558e-138,5.23159980953851e-135
"CDH22",2.82507107388777,5.78668168823625,1444.08219625911,3.74340743494733e-137,3.56039640479435e-134
"GRM7",2.48522025414776,9.50511238202071,1509.84984211222,1.70666871007295e-134,1.53779833244468e-131
"FAM153A",2.48815288839146,6.81751731080237,1304.40879634043,7.93268838178851e-134,6.79038125481096e-131
"KCNQ5",2.45017232856028,9.91187538678926,1498.31027253899,1.93189099588316e-133,1.57495113569141e-130
