"","logFC","logCPM","F","PValue","FDR"
"SLC22A10",3.84274666127531,6.64571446457186,2798.22548464587,2.98516875998828e-189,5.11060891709993e-185
"FSTL4",3.57980650481059,7.63670668505183,2873.48327112968,4.96607410795105e-183,4.2509594364061e-179
"CPNE4",3.23521618089045,7.90383690553045,2640.92895362477,1.23630055615344e-171,7.0551551737823e-168
"RALYL",3.01630809098817,10.2732385117952,2200.95876087668,1.16245175623131e-159,4.97529351667001e-156
"NYAP2",2.89048263429796,7.02128863401863,1634.76528650001,2.65348682351046e-155,9.08553888369982e-152
"IL1RAPL2",4.19933663060374,8.12463852598734,2529.04835510807,9.04212805180726e-154,2.580020537449e-150
"HECW1",2.5650482299776,8.31042285286791,1831.75313954846,3.27599836173223e-151,8.0121559932651e-148
"OTOGL",3.34687947580034,5.27691586888673,1491.83066805426,8.48354675724485e-151,1.8154790060504e-147
"KCNQ5",2.74734644208396,9.91187538678926,1933.13201105438,1.56986342678802e-150,2.98622909629011e-147
"DNAH6",2.80977251690414,6.5333460861405,1600.87167652861,1.32857238278714e-149,2.27451591933159e-146
"MLIP",2.93999737467408,7.30686849699436,1624.719593395,3.26042464996933e-147,5.07440636431591e-144
"PHACTR1",2.59131424449411,10.5211654314511,1827.08981843531,1.61141052412083e-146,2.15940569217476e-143
"NRG1",3.21877824972878,9.44170195346634,2131.88236497632,1.63973563074018e-146,2.15940569217476e-143
"SATB2",2.70645569891397,7.70075064651694,1656.15313146295,1.5602972328931e-142,1.78952896514775e-139
"RORB",3.96458074289249,7.56098621824923,2153.85906442285,1.56792841572524e-142,1.78952896514775e-139
"AGBL4",2.48878150361449,9.63306460306542,1641.10135134626,1.1122305748781e-139,1.19008671511956e-136
"TDO2",3.93134541133194,4.17108012607762,1194.36832522671,4.22784800041391e-139,4.25769163335801e-136
"PTPRD",2.608599240151,11.7931887457759,1584.89861089169,4.99290033450143e-137,4.56279598128661e-134
"LRRK1",2.96313774175409,6.02905555970995,1454.92760953795,5.06385068016621e-137,4.56279598128661e-134
"RYR2",2.56232882483279,9.767440355593,1578.34865055344,8.68175148403166e-137,7.4315792703311e-134
"KCNB2",2.66821832211959,8.22222657992207,1430.92137246295,1.37175552409918e-135,1.11830736059895e-132
"GRM7",2.53531612240678,9.50511238202071,1532.42756051168,1.78144434487265e-135,1.38628759928272e-132
"ZBBX",3.01944816266837,5.66255064760926,1192.47396104894,4.61699580253177e-133,3.43665078866713e-130
"DNAJC5G",3.87072110546513,4.48820046884212,1252.99578220378,2.90712243463435e-132,2.07374733670584e-129
"HS3ST2",3.37983108500126,6.39153103277162,1543.43377207007,2.35619514210386e-131,1.61352243331272e-128
"CCSER1",2.41408688045567,10.3378216452882,1436.93498646392,1.56643604328524e-130,1.03143788696321e-127
"RXFP1",3.26248830155282,7.06417040023423,1558.06364137839,4.12419172977463e-130,2.6150430523608e-127
"MKX",3.2271719836111,5.38205945555258,1250.16041677862,6.77275304740391e-129,4.14105472041268e-126
"STXBP5L",2.23960628746512,9.98596450562309,1378.25472207522,3.31177769548311e-128,1.95509083264382e-125
"TLL1",3.54719290414066,5.79372971117483,1299.89940378867,6.21137281470119e-128,3.54462341958948e-125
"GABRG3",2.42524743367783,8.95047731180006,1265.51862553618,4.362262856058e-126,2.40909484179719e-123
"ARPP21",2.89831134822264,9.38239964857642,1561.31895228038,1.65272839557368e-125,8.84209691631917e-123
"FOXP2",3.44413683780014,7.41579482404373,1653.50038827123,3.87128738663471e-125,2.00837697149049e-122
"KCNH1",2.30241663539033,8.51393310733252,1257.42720772466,1.95295754584257e-124,9.8337156425955e-122
"CNTN3",2.51712078872054,7.75845806535904,1269.26833529367,8.57145972790203e-124,4.19266830119094e-121
"PHLDB2",3.4094274140061,5.66358329444064,1221.73822781828,6.98644920405447e-123,3.32244473259479e-120
"TRABD2A",3.0793133512406,4.39881662201375,991.663792924606,5.51315205814403e-122,2.55095035771421e-119
"NWD2",2.88580098016784,7.18108800438772,1306.69026688632,9.93948326178283e-121,4.47799877478216e-118
"FMN1",2.24270235501161,8.02765212264401,1158.62826951847,6.75375309812443e-120,2.96472443692026e-117
"ARSJ",3.27138663060479,4.70545151914604,957.954700525233,3.96212320485309e-119,1.69578873167712e-116
"ANKRD33B",2.50099252752311,6.3406535668344,1069.87153489172,7.69530707440822e-119,3.21325992960655e-116
"SV2B",2.52284646813273,8.16190055939166,1250.07209954876,7.91965275469022e-119,3.22820131334039e-116
"FRMPD4",2.10702283531987,9.45129052277243,1162.99906856331,4.40225529989951e-118,1.75271187754138e-115
"SNTG1",2.308228563869,10.2155256045016,1153.19731615087,6.60767341214506e-117,2.57098565490735e-114
"R3HDM1",1.98803289391936,9.63287640478686,1147.65592483382,2.63914860141598e-116,1.00404942347204e-113
"NKAIN2",2.36960969873717,10.6232736412524,1141.61253250585,2.6440398795641e-115,9.8404266822038e-113
"FAM19A1",2.86194443938,9.23146514815032,1385.52373446018,3.32778794472559e-115,1.212164459866e-112
"CCDC64",2.0890632597233,6.98022155170248,974.681902873057,6.19532200697868e-115,2.20966484915573e-112
"LDB2",2.27392308828174,9.29046751827544,1119.32389618334,7.48531449512617e-115,2.6152772276849e-112
"PTPRR",2.19937139888583,7.84124632090527,1031.93976975334,1.07633014734693e-114,3.68535442451588e-112
"CDH10",2.16032633110502,8.63718068178955,1078.25478444581,4.51355514436228e-114,1.51513851120553e-111
"MICAL2",2.11741246034789,7.42111431423944,1031.15379415606,1.5269505035171e-113,5.02719088850245e-111
"TRIM54",3.13487834882845,4.36651028148123,888.294895783995,2.36660596756522e-113,7.64458380466349e-111
"OLFM3",2.3354438426971,8.34992414099305,1072.25393035838,3.86823305494313e-113,1.2263731463079e-110
"CHSY3",2.17077988676545,8.77208201993522,1067.83966027165,9.61789624118458e-113,2.99378879361964e-110
"SLC44A5",2.08847931792452,8.57288612779128,1031.11268729546,9.95924986479054e-113,3.04468495866454e-110
"KHDRBS2",2.26529047419105,9.68237637013645,1076.39774057246,1.19808766001197e-112,3.59846679638682e-110
"POU6F2",3.15724025218211,7.83376110831635,1275.77678264747,4.87680072537485e-112,1.43949704169685e-109
"KHDRBS3",2.11569653353001,8.78355080640838,1059.74310947284,8.97333428591527e-112,2.60378784703168e-109
"MCHR2",2.60422615597222,5.77595326574666,894.18358577858,4.51691638676617e-111,1.28882680902395e-108
