"","logFC","logCPM","F","PValue","FDR"
"RALYL",2.93357694193759,10.2732385117952,2072.19657505325,1.86170229252833e-155,3.1872343248085e-151
"NRG1",3.31412821273152,9.44170195346634,2359.40297910029,7.03499433475883e-153,6.02195515055356e-149
"THEMIS",3.78577145698973,4.99470609834838,1708.35955929291,3.10423302813618e-151,1.77148231472304e-147
"SLC35F3",2.76382529786554,8.2381436505922,1803.94408435314,4.61927169167656e-151,1.96199026141296e-147
"SATB2",2.79560303355743,7.70075064651694,1870.10941623619,5.73011174478086e-151,1.96199026141296e-147
"FSTL4",2.92581306369056,7.63670668505183,1779.81388144476,3.66611262485368e-148,1.04606413562492e-144
"MLIP",2.8714172497444,7.30686849699436,1599.3526874243,4.59471219547486e-146,1.12373532552185e-142
"MCHR2",2.8592562552122,5.77595326574666,1240.18856491457,2.93514841518139e-134,6.28121760848817e-131
"KCNQ5",2.47323662243753,9.91187538678926,1514.83922753429,3.6876720503752e-134,7.01477172249149e-131
"CPNE4",2.52593435809576,7.90383690553045,1457.25605526548,4.18945788436422e-131,7.17235189803154e-128
"STXBP5L",2.26257226478988,9.98596450562309,1439.59547752514,4.98690329017983e-131,7.76143493889806e-128
"FAM153C",2.52994091917723,6.88444576939946,1175.2304561668,9.61608705172282e-129,1.37189508604579e-125
"TMEM132D",2.31298153852372,9.22958183506453,1370.11655974807,1.31261014735044e-128,1.72860659404919e-125
"CBLN2",3.31014063762876,7.39746878483624,1556.5141743441,8.86000919417407e-128,1.08345255288757e-124
"RYR2",2.3663468289921,9.767440355593,1320.72150062886,3.22059361190334e-125,3.67577084238568e-122
"HECW1",2.15057334241755,8.31042285286791,1231.10232561087,5.18047986745175e-124,5.54311345817337e-121
"PCSK2",2.15717969097498,7.96138355423228,1218.59048577706,3.49403360112602e-123,3.5186973677222e-120
"NWD2",2.86469089429607,7.18108800438772,1351.71697092013,8.77322867436951e-123,8.34431527251145e-120
"PHACTR1",2.21288514229465,10.5211654314511,1259.64712312614,3.65655748542132e-122,3.29475074475858e-119
"RIT2",2.72343721044135,7.31074036157035,1346.35703973615,5.26459549897856e-122,4.50649374712564e-119
"BDNF",2.95958587497867,5.20550373961785,1025.38483755943,7.8980435580597e-122,6.4387859863801e-119
"MYO1D",2.17997321497961,7.82508393443832,1199.56351037772,2.07117653542943e-121,1.61175192211599e-118
"DNAH6",2.35148491654376,6.5333460861405,1078.15012248066,4.82928536203932e-121,3.59466806078753e-118
"RXFP1",3.03578014127362,7.06417040023423,1340.70912854749,5.26524912809258e-121,3.75587771137271e-118
"PTPRR",2.23708649665204,7.84124632090527,1129.35998013676,1.4035183227885e-120,9.61129347445564e-118
"SV2B",2.50795754450725,8.16190055939166,1273.34077326672,6.04040196203213e-120,3.97737236884577e-117
"LDB2",2.31923710857608,9.29046751827544,1206.02843035788,1.8295406448292e-119,1.16006429035096e-116
"C4orf22",2.43160440707355,5.66081969171863,1009.71182443922,2.86586898075837e-118,1.75227417680655e-115
"KCNIP4",2.9055991556996,12.1320769807371,1365.12875511142,1.58103526268464e-116,9.33355989557275e-114
"AGBL4",2.11125846373878,9.63306460306542,1122.98169464458,2.667767953379e-115,1.52240624539495e-112
"ZNF804B",3.13886388742668,8.56342449837982,1343.92855032306,7.86754697010153e-115,4.34491626219801e-112
"ERC2",2.10463069700103,9.65012240141448,1111.59997723225,1.19170627730511e-114,6.37562858358234e-112
"COL24A1",2.73723493467152,7.07894147762201,1199.7657756064,3.72261327949262e-114,1.93124664681556e-111
"KALRN",1.84866480509206,9.70551638554008,1089.25032494411,3.11231408891472e-113,1.56714168241824e-110
"KIAA1211L",2.35919816382528,6.90271239079601,1060.5726623136,7.72038633324133e-112,3.77637182928833e-109
"PTPRD",2.20597077361244,11.7931887457759,1055.46340359299,2.7947943098884e-111,1.32907996070248e-108
"HS3ST2",2.89225300918711,6.39153103277162,1101.48378881173,6.73164475172256e-111,3.11475022025649e-108
"PDZRN4",3.02858715457967,8.15242043206823,1215.38002040424,2.01349973658021e-110,9.07134618164558e-108
"CNTN4",2.11745147368206,9.51929059325091,1024.06705474669,1.3474765340682e-109,5.91507647775579e-107
"ARPP21",2.56471402868619,9.38239964857642,1176.105364703,1.67822000844756e-109,7.18278163615558e-107
"SLIT3",2.80668234691295,7.54602681075287,1200.48196928271,1.09786063136088e-108,4.58423756314592e-106
"CHSY3",2.08899005866264,8.77208201993522,997.56685756609,1.29318184059538e-108,5.27125550261737e-106
"RBFOX1",2.12561527552547,11.3490691105742,995.242363672825,9.99759175813444e-108,3.98043653254097e-105
"FAM19A1",2.64115980954418,9.23146514815032,1187.69666515069,5.55222434027009e-107,2.16032001603236e-104
"LPHN2",2.13994359225906,9.05337002030825,975.492298428998,6.58030672132132e-107,2.50344113486713e-104
"SLC26A4",2.44020802146731,5.68441023065514,823.659487934741,1.00283069168086e-106,3.73227422642963e-104
"KHDRBS2",2.15441350955074,9.68237637013645,965.734046507304,3.80671391854946e-106,1.38661579330993e-103
"NELL2",2.22301601291911,8.93237041625949,1010.422460734,4.01002505895912e-105,1.43024227102875e-102
"OPCML",1.97822064959887,11.0247837847742,936.933860728693,3.57955351480684e-104,1.25065216680598e-101
"CACNA1B",1.87661021199062,8.81855233579734,914.527695114057,6.73886415846594e-104,2.30738708785874e-101
"LYPD8",2.6272043465433,4.68363228831904,753.672692309284,5.9035259065847e-103,1.98173261805353e-100
"DLGAP2",1.87181449878064,7.50102098697402,854.541957272747,1.15487193676077e-102,3.80219376102775e-100
"CDH12",2.6868528407167,9.20830156705446,1106.41206245156,3.28633823824756e-102,1.06154925733582e-99
"FRMPD4",1.86089759256306,9.45129052277243,887.092478963184,1.00842491681873e-101,3.19708047702531e-99
"FMN1",1.94430363374378,8.02765212264401,863.38619280155,1.03719748687533e-101,3.22851290460102e-99
"GPR63",2.2596858056491,5.28102799945755,771.995090469041,5.73375664881638e-101,1.75289131835244e-98
"GALNT14",2.50579577857353,6.37483570360587,862.298363046604,6.27792396535915e-101,1.88557996994647e-98
"GABRB3",1.74228026235354,8.86316662497847,867.22784568902,1.97243865046318e-100,5.82209477516029e-98
"FAM153A",2.08053109491334,6.81751731080237,785.159513076541,5.5947616089842e-100,1.62342913128491e-97
"ANKRD33B",2.13673883239552,6.3406535668344,791.96313304567,1.17804076248112e-99,3.3613429756128e-97
"CCSER1",1.94532099570018,10.3378216452882,865.502619692319,1.40186298943059e-99,3.93440891459863e-97
"ANKRD30B",2.46161730441134,5.76964748733286,785.29656806668,1.88181224978361e-99,5.1962299542412e-97
"IL1RAPL2",2.870573142352,8.12463852598734,980.886878519932,2.29282543327432e-99,6.16842972043441e-97
"SNTB2",1.93862002222453,6.31148026565847,787.813493217721,2.30595503567641e-99,6.16842972043441e-97
"ARNTL2",2.12715292248027,5.96008405488903,762.913972825174,2.5101951193669e-99,6.61146776054789e-97
"ATRNL1",2.00757413181861,10.0368399879572,842.955294116952,3.03582798012473e-98,7.874753790869e-96
"CTNNA2",1.99683963239094,10.9122799946531,843.307613994032,3.83090897623168e-98,9.78883010046064e-96
"PEX5L",1.99661621982554,9.57733659724625,838.14546169379,5.1724550133664e-98,1.30224161512989e-95
"NELL1",2.40199464154476,8.32789606271723,957.114452302863,7.54991343262571e-98,1.87325388357322e-95
"CLSTN2",2.49758376842044,8.61967190814924,989.442711852004,7.86835592637316e-98,1.92437504942155e-95
"KCTD16",1.99580559273571,9.22379565070792,833.635257276758,1.1249164531687e-97,2.71247460257015e-95
"R3HDM1",1.72194936304508,9.63287640478686,831.060995252243,2.88484420773039e-97,6.85951844949226e-95
"KCNH7",2.59101391553088,9.12106899928887,976.868097277133,4.77863826405099e-97,1.12068886411716e-94
"CCDC64",1.80726329855539,6.98022155170248,736.801392566137,5.35126412152348e-97,1.23802218595246e-94
"EFNA5",2.05994151123653,8.51077979752083,861.318185989489,6.13003672018622e-97,1.39928304866117e-94
"SYN3",2.0134661670298,7.83329768995484,805.396840312781,8.19825594404709e-97,1.84676502318535e-94
"CSMD1",1.93237531349674,11.8542825012554,821.526317063522,1.14124438596458e-96,2.53741608931345e-94
"GRM1",2.37969701889056,7.33483481926238,856.299829563339,6.25097232588672e-96,1.37200828486129e-93
"NETO1",1.98468305252676,7.95203510929879,744.880241724938,4.457665352667e-95,9.66015580223533e-93
"ADTRP",2.71988000783899,4.55076462593642,664.941274564804,8.33464747866181e-95,1.78361456043363e-92
"RTN4RL2",2.47294619490155,4.69970405832558,670.405507919238,9.80058022063185e-95,2.07143127626194e-92
"LRFN2",1.90283653493827,6.89341356201349,731.841587895916,3.02792437722393e-94,6.32171528513093e-92
"CA10",2.369503414333,8.56561078064143,890.57110329123,3.31364921127825e-94,6.8349005418173e-92
"MKX",2.5421743065213,5.38205945555258,724.399391924668,5.36144624818161e-94,1.09271380677225e-91
"ADAMTS3",2.48096302433064,5.49662692223628,720.745451267195,4.94623188241428e-93,9.96229292081558e-91
"KCNH1",1.82950495923467,8.51393310733252,746.32563762021,8.23368936371691e-93,1.63907862682365e-90
"CNTN3",1.99549053088106,7.75845806535904,756.278756630603,8.74213440626394e-93,1.72029127626711e-90
"NPY1R",2.22354166938409,5.84352249861219,687.478492834873,1.7645026435414e-92,3.43275968834419e-90
