"","logFC","logCPM","F","PValue","FDR"
"CSF1R",6.77728866845352,4.42018405526358,4007.32111558685,2.95828356264091e-233,5.06458145924125e-229
"CX3CR1",7.354146070251,4.27278592058317,3853.72467294421,3.39536434536497e-225,2.90643187963242e-221
"ADAM28",7.1393374560201,4.77914100508315,4361.49674744331,6.13358042156686e-225,3.50022989390749e-221
"TBXAS1",6.05775097248747,4.9673547541607,4061.08167833985,1.03903282097935e-223,4.44706047379161e-220
"SYK",6.78216391844452,3.84424796267313,3189.57270837689,2.46374145413936e-223,8.43585073897318e-220
"APBB1IP",6.59098975917852,5.82743753684334,5364.97804057715,4.96533614476683e-223,1.4167759133068e-219
"LPAR6",5.97912909089331,5.01031140369135,3853.07544199862,1.58687635770264e-217,3.8810461776956e-214
"LAPTM5",6.76830491458091,3.60584201365228,2791.6354170187,4.44757011296434e-217,9.51780004174368e-214
"C3",6.46931949050738,4.98186965970344,4100.54548843899,6.47024526678033e-215,1.23078443296977e-211
"C1QA",7.26501289027128,3.25997462312081,3039.57632822259,1.51650178014691e-214,2.59625104761151e-211
"DOCK8",6.17306795404667,6.00265968955444,5118.40407298293,5.37218600339481e-212,8.36107494346538e-209
"PTPRC",6.66067971920612,4.09350489981769,3168.37945204632,8.99871152854118e-212,1.28381617807187e-208
"CD74",6.75381607011457,4.65874687662754,3769.7820490141,3.77091338851045e-209,4.96600286240761e-206
"P2RY12",6.90805070493494,5.31344995667405,3709.24476054966,2.15694957062434e-206,2.63764118922062e-203
"IKZF1",6.69311151010274,3.33684740748551,2415.93232150312,4.05826567112709e-202,4.63183388597972e-199
"C1QB",7.23394024246114,3.41387315305691,2731.97307233063,4.72727021751449e-199,5.0581791327405e-196
"SAMSN1",6.27474653501185,4.39420236685375,2913.41572343432,1.15353006831314e-195,1.16167263350123e-192
"CD86",6.94464706027403,3.01872064805451,2101.28702945217,3.52760413349325e-193,3.35514348696691e-190
"SRGAP2",3.91075079071592,7.74336271514359,3362.9430433977,4.58990492785179e-191,4.13574591393804e-188
"TYROBP",6.5425271231071,3.10356118605249,2050.67735305744,4.24908637487723e-188,3.6372179368949e-185
"BLNK",5.99892552088392,3.95431108616701,2411.32299549383,8.24509904837566e-188,6.72171884324721e-185
"CSF3R",6.74072332980074,3.44473704406189,2334.04598543843,3.19715992057559e-187,2.48797172001155e-184
"LY86",6.27883182279679,4.32975330285754,2551.45151072058,3.61575768523288e-185,2.6913813726603e-182
"PALD1",4.89431019815991,4.98766233095556,2468.14525683283,1.71569001844932e-184,1.22385887982718e-181
"FGD2",7.01360403738824,2.91105778801388,2189.71199375705,2.03527969865184e-184,1.39375953763678e-181
"CSF2RA",6.01378082997949,4.89462918052054,3025.74604458445,1.86479277817714e-183,1.22789432163049e-180
"B3GNT5",5.648533627079,3.95467949372031,2106.12847205233,7.79875382014271e-179,4.94498760743864e-176
"SELPLG",6.87723989411778,2.75083000683928,1783.51014085281,2.58792663977019e-178,1.58233228831663e-175
"PIK3R5",5.92147519744709,3.70351473961586,2053.56652655151,3.46776798557092e-178,2.00408889255026e-175
"C10orf54",5.44418486054727,4.1819505370787,2014.92815733471,3.51183801264649e-178,2.00408889255026e-175
"FYB",5.48839876720527,5.18602292233957,2767.21388132302,1.052588699568e-176,5.81300597954971e-174
"RASGEF1C",4.50311904764986,6.13632789263422,2698.21029676368,3.69263114662421e-176,1.97555766344395e-173
"P2RY13",7.17372993891912,2.94575366596924,2082.42050782406,3.02631917404399e-175,1.57001770483737e-172
"RGS10",5.92770325703657,3.50129307892746,1880.86892256649,5.74675096100354e-175,2.89365813095237e-172
"LPCAT2",5.10437256277253,4.73922765768776,2091.79388768206,1.14544672925362e-174,5.60287085852056e-172
"CYFIP1",3.85771407642788,6.58137792317459,2592.1347830063,1.23511738284272e-174,5.87366933174095e-172
"SLCO2B1",5.4865751802294,5.26175951899886,2615.92405827784,3.81702690505936e-174,1.7661486652599e-171
"C1QC",7.5818116177724,3.12689039727842,2330.31930351088,1.86222427879307e-173,8.38981043498353e-171
"RHBDF2",5.60511968907299,3.74472223585247,1879.00881871387,6.92374525401127e-172,3.03934663458136e-169
"NCKAP1L",5.98901165261436,3.18426147738725,1711.31262308606,8.80249367358066e-172,3.76746729229252e-169
"RBM47",4.61765265957113,5.15502462002466,2058.48941179659,5.91408674392911e-170,2.46949183063576e-167
"C10orf11",5.4583425184919,7.88158814171667,3506.19072607812,1.29694176903038e-168,5.28658168709527e-166
