"","logFC","logCPM","F","PValue","FDR"
"CHN1",2.6461918814464,10.488452927779,1286.95260907552,5.58723137445243e-120,9.56534011306256e-116
"RTN3",2.02554454791795,9.84848650643144,1018.7953086131,3.88604490685043e-109,3.32645444026396e-105
"RTN1",2.2575813785966,9.79842069275487,995.430965118638,9.24977613795562e-108,5.27853891606001e-104
"CAMK2A",2.42775359798085,8.54639265107655,968.272150919057,8.12355314960856e-105,3.47688074803246e-101
"NEFL",3.45479948382709,7.95924243224382,1128.05316089889,1.22339258307981e-104,4.18889620446527e-101
"ATP6V0B",2.26485333478462,7.83825344644331,908.236480282909,6.48799096866294e-103,1.85124008972516e-99
"ARPP19",2.58549650143706,8.9582364370136,1033.90072663818,6.40232582664535e-102,1.5658259736024e-98
"SEPW1",2.14922761501749,8.78041773312221,886.085690058265,2.96298400594813e-101,6.340785772729e-98
"PKM",2.16360791090225,8.53019192829387,878.041854997178,1.26077150247845e-100,2.398267569159e-97
"THY1",2.76159365076222,8.85900058145797,1044.89771639065,1.74936781339418e-100,2.99491769653083e-97
"NEFM",3.71596208527498,6.76118277984449,930.964706527628,2.03553465729778e-98,3.16803212117618e-95
"GHITM",2.37941210223914,7.00804917791392,823.76665493173,2.83174760022164e-98,4.03995990964954e-95
"CADM3",2.77830319963698,7.4275034896438,935.441407891849,5.47730449126332e-97,7.21318868387909e-94
"MAP1B",2.2987424064763,9.84636277600282,882.629088873791,2.21407002319066e-96,2.70749134264457e-93
"SCG5",2.58364657253015,8.34927130641987,912.493442781755,1.03140114663993e-95,1.17717250869837e-92
"CLSTN1",2.09297041699718,8.94792854293911,802.555855822284,2.31873590499104e-95,2.48104741834041e-92
"ENO2",2.27510179249297,8.29932241363177,821.137293699646,1.13279589144225e-94,1.14079209773478e-91
"CREG2",2.7535081140362,7.62562995232773,885.161276685271,9.87646288153334e-94,9.39361358510282e-91
"NRN1",3.05515773281552,6.59769223732722,817.448199081055,4.78210121696604e-93,4.30892488602413e-90
"PDP1",2.44923337621648,6.88463917101216,768.497799108672,1.09734309327261e-92,9.39325687841358e-90
"RHBDD2",2.22138236001908,7.52474014877997,758.361202422966,2.43630776381387e-92,1.9861709007854e-89
"OLFM1",2.55879244494652,8.58277837878669,878.495780562589,1.67160672740096e-91,1.30081396241384e-88
"PCMT1",2.0258454209494,7.55835051705229,740.509839683934,2.00224905069562e-91,1.49036972816996e-88
"SERINC3",2.19847250206888,7.52435733074874,748.91063306085,2.14069880866478e-91,1.52703181684754e-88
"TMEM59L",2.44203978772709,8.40400874120928,844.184930016317,2.2724867642524e-91,1.55619893616004e-88
"ATP6V0D1",2.19008997658342,6.90045323283488,721.147430876456,6.7229559397475e-91,4.42680791109528e-88
"NPTX1",3.06266204980033,6.18998567826689,744.496478346921,1.18693056248908e-90,7.52601897400485e-88
