"","logFC","logCPM","F","PValue","FDR"
"CHN1",2.7151335339525,10.488452927779,1398.05622258159,5.07132528064691e-125,8.68210888046751e-121
"RTN1",2.40175844122336,9.79842069275487,1177.77972656595,5.67416614888796e-118,4.8570862234481e-114
"RTN3",2.12384471193613,9.84848650643144,1163.41713528971,3.30840007351876e-117,1.88799364195471e-113
"CLSTN1",2.36956333619968,8.94792854293911,1108.36411518996,3.0949459656002e-114,1.32463687327689e-110
"CAMK2A",2.50387414859528,8.54639265107655,1053.3435074948,9.87397735481014e-110,3.38084984628699e-106
"ARPP19",2.68838386625735,8.9582364370136,1151.48552402478,1.10943416729302e-107,3.16558549067607e-104
"CADM3",2.98597456070164,7.4275034896438,1121.29887360541,1.37297959442769e-106,3.357915808086e-103
"THY1",2.87536787607778,8.85900058145797,1157.97533187692,8.20608061121569e-106,1.75610125080016e-102
"SCG5",2.76361952685569,8.34927130641987,1096.90160707657,2.06633361192259e-105,3.93062571512386e-102
"ATP6V0B",2.2886179738324,7.83825344644331,934.978445130009,1.29155224972587e-104,2.21113745153069e-101
"PLD3",2.09252111771819,8.53041116246725,930.999441756489,6.61102635136973e-104,1.02891610123136e-100
"SEZ6L2",2.52548102116651,7.96086319041093,950.180452363353,1.55156972214001e-103,2.21357280358642e-100
"SYP",2.43293748668154,9.04736899218482,978.376131980684,6.60714964635439e-102,8.70110784196825e-99
"SERPINI1",2.46541471450542,8.75334444241999,971.423418767343,8.89932262011145e-101,1.08826002325934e-97
"PKM",2.13891496808041,8.53019192829387,878.377323625342,1.19862421930489e-100,1.36802977563331e-97
"TMEM59L",2.62162033931229,8.40400874120928,1005.13948623484,2.58379134613967e-100,2.76465674036944e-97
"FAIM2",2.41187484182062,8.35118778103431,929.45932511704,4.8326239590737e-100,4.86673659878481e-97
"SV2A",2.34732516345347,7.81717830345787,856.70213929408,6.40990344168362e-100,6.09653038453465e-97
"SERINC3",2.32459323817921,7.52435733074874,863.676982275363,2.54004271808875e-99,2.28871217545681e-96
"RHBDD2",2.32550341798377,7.52474014877997,848.599711071548,1.2903321942893e-98,1.10452435831164e-95
"ENO2",2.33459649268622,8.29932241363177,877.261242111683,2.73022293163339e-98,2.22578174236017e-95
