"","logFC","logCPM","F","PValue","FDR"
"MLIP",3.1618250177261,7.30686849699436,1011.78101131682,2.00337710337482e-114,3.4297816009777e-110
"STXBP5L",2.20796961246534,9.98596450562309,1082.70518090902,4.6673030439608e-113,3.99521140563045e-109
"RALYL",2.25145253814344,10.2732385117952,864.505892532412,1.07421386216051e-99,6.13018044006265e-96
"CBLN2",3.42995274354432,7.39746878483624,934.478577855332,8.23657829619706e-99,3.52525551077234e-95
"FSTL4",2.7761464508701,7.63670668505183,821.899676400281,1.97335373686969e-98,6.75676319504183e-95
"KCNQ5",2.13502206756961,9.91187538678926,828.950239610856,3.01503436400989e-97,8.60289805197488e-94
"KCNIP4",2.58925615880156,12.1320769807371,948.240991466021,5.2599245161689e-97,1.28642725309731e-93
"FAM19A1",2.76723427927033,9.23146514815032,954.925252873847,8.87322698977915e-96,1.89887057581274e-92
"ASIC2",2.18101662039437,9.86532853390727,769.841914775727,3.24024563532098e-93,6.16366725296612e-90
"LDB2",2.14711793028638,9.29046751827544,729.629542100298,3.82338524160732e-90,6.54563553363173e-87
"R3HDM1",1.76112933950055,9.63287640478686,683.752186932394,1.26370528991149e-86,1.96678496029861e-83
"AGBL4",1.90872799864351,9.63306460306542,665.023617191505,2.30239908502422e-85,3.28475602796789e-82
"SLC22A10",2.9528400573073,6.64571446457186,620.867822922868,3.55065528392735e-85,4.67593988160279e-82
"PHACTR1",1.78925622495676,10.5211654314511,638.959558134256,3.98960096328718e-83,4.87871203510546e-80
"CA10",2.60666055745931,8.56561078064143,701.683337299464,1.86396789876884e-82,2.12740869512817e-79
"SATB2",2.29292400782504,7.70075064651694,599.983264687334,6.19885627368356e-81,6.63277621284141e-78
"KCNH1",1.98560273809732,8.51393310733252,580.274800293529,2.32359938363915e-79,2.34000126164131e-76
"ARPP21",2.30081450302061,9.38239964857642,642.278250599767,1.13860002123994e-78,1.08293513131265e-75
"CSMD1",1.72224113963872,11.8542825012554,572.015611968272,1.51033032463692e-77,1.36088711356759e-74
"HECW1",1.89658369037792,8.31042285286791,551.575221419394,3.17924929565298e-77,2.72143739707895e-74
"KHDRBS2",1.94235386254031,9.68237637013645,566.206040157567,3.82349648485056e-77,3.11705999145913e-74
"KALRN",1.5457694323705,9.70551638554008,558.086967179473,2.30270552544312e-76,1.79192357252665e-73
"PTPRD",1.75394989375255,11.7931887457759,557.245444516164,2.87449478814072e-76,2.13962394665083e-73
"DLGAP2",2.00962581630373,7.50102098697402,529.189589830872,5.29492016116134e-76,3.77704304829509e-73
"CUX2",2.69345296306822,7.12803328947125,569.714584995072,7.797892887546e-75,5.3399970493915e-72
"PCSK2",1.90424736304966,7.96138355423228,522.639077110453,1.79135580929449e-74,1.17953890212006e-71
"LINGO2",2.10317376561792,9.57567394907669,569.637807050841,2.91890249384477e-74,1.85080039609713e-71
"DGKB",1.91809262143809,9.26719278348043,545.192567105624,6.19088372301704e-74,3.7852831906447e-71
"TENM2",1.76280822261359,10.1331239424336,527.85263111346,1.09734141714192e-73,6.47809829705853e-71
"CDH22",2.8252000313999,5.78668168823625,502.89675470673,1.61574896527393e-73,9.2205407618299e-71
"CCSER1",1.72134213600089,10.3378216452882,523.372872360743,3.27123225413485e-73,1.80656439325125e-70
"FRMPD4",1.69804236526698,9.45129052277243,512.71604370496,1.20870461267772e-72,6.46656967782578e-70
"GRM7",1.81355631902927,9.50511238202071,509.508839551803,3.38459400810688e-72,1.75588634602394e-69
"LPHN2",1.90408845710056,9.05337002030825,508.814039356401,4.51465252260262e-72,2.27326032902814e-69
"CACNA1B",1.72600827649505,8.81855233579734,501.661856111676,8.10898061641847e-72,3.96644994723098e-69
"PTPRR",2.01395429604632,7.84124632090527,477.330741873139,5.03171976520614e-71,2.39286228834247e-68
"KCNB2",2.08924720727001,8.22222657992207,478.882400457869,7.96394189200173e-71,3.68493743759648e-68
"CDH18",1.92039230956459,8.87375247606425,493.213059534137,3.32168103473046e-70,1.49650471880488e-67
"RBFOX1",1.65956312027771,11.3490691105742,490.473010077406,3.58593405516791e-70,1.57413310319166e-67
"ATRNL1",1.75281350602732,10.0368399879572,488.760323098579,4.32416213611897e-70,1.85074139425892e-67
"ANKRD30BL",1.95226956797087,8.33752796645246,466.24493338131,1.95744649549947e-69,7.88255430996577e-67
"NDST3",2.27574723703577,7.52823278485272,485.205499862563,1.96758025099333e-69,7.88255430996577e-67
"GRM1",2.52701638350855,7.33483481926238,500.981816700085,1.97984716897505e-69,7.88255430996577e-67
"NWD2",2.5627231089679,7.18108800438772,494.260158705172,4.16716414849879e-69,1.62140568687044e-66
"MCHR2",2.82579736799289,5.77595326574666,432.072052361428,1.20286140895686e-68,4.57621940474253e-66
"TMEM132D",1.69691411357349,9.22958183506453,459.904465828301,1.3310006035856e-67,4.95363702899685e-65
"CHRM3",1.92300901881012,9.47281134459265,481.015426702592,4.05318768583757e-67,1.4763951740753e-64
"CNKSR2",1.71140635685926,8.39362966555356,448.742507229905,1.67310646354264e-66,5.9674130533021e-64
"ZBBX",2.92549605336302,5.66255064760926,408.053004656942,2.24252247205734e-66,7.83509892277995e-64
"SHISA9",1.73706202955953,8.8911468896441,440.01892270056,3.89293476712918e-66,1.33294086426503e-63
"RGS7",1.45647003878684,10.2502835445383,445.572594524969,7.31818011854262e-66,2.45661262018529e-63
"DOK6",1.87844876018302,8.53510555968624,454.32854487506,9.99893366568805e-66,3.29195662224191e-63
"HS6ST3",2.22559240291971,9.571530178616,503.839057268475,1.16080822794708e-65,3.74962959668943e-63
"CHD5",2.0146793027856,7.66732013728004,449.814426215752,1.38380097786043e-65,4.38716161869824e-63
"OPCML",1.51691231817528,11.0247837847742,434.924703943694,9.51798997382359e-65,2.96269069730654e-62
