"","logFC","logCPM","F","PValue","FDR"
"PDGFRA",6.74309688422364,5.01216936985726,5693.16118246082,4.69098017898737e-272,8.03095806642637e-268
"STK32A",5.38051355756607,5.13218897953245,4342.67884654159,3.97426634565892e-245,3.40197199188403e-241
"COL9A1",5.79006857793404,5.17438016918807,4276.55782199961,6.04067267124916e-234,3.44721053772619e-230
"FERMT1",5.61322296953795,4.51020123035133,3803.63950352928,4.40392650536353e-231,1.88488054429559e-227
"TNR",4.54820881262912,8.8513485077793,5602.30911628252,7.30980621465176e-222,2.50287764789676e-218
"BCHE",5.34228652593342,4.94948371945012,3482.63480867398,9.3254430961112e-220,2.41536107052245e-216
"EPN2",3.62241091389723,8.05822022856395,5022.78951678002,1.01840023613124e-219,2.41536107052245e-216
"COL20A1",6.41071663606295,4.30018728058079,3434.96177604518,1.1286733974404e-219,2.41536107052245e-216
"OLIG2",5.50761434313936,4.62255148318892,2995.18657787578,3.11327838082953e-218,5.92214731997794e-215
"GPR17",6.65941010230489,4.39888199236525,3361.17721836118,5.36869585661235e-218,9.19120730652034e-215
"MMP16",3.9047215391712,8.99098166721275,4629.26869942725,6.56936876733182e-218,1.02243266633382e-214
"SNX22",5.23621578319724,3.91742295270635,2568.2200849873,8.32207643088645e-215,1.1872829041398e-211
"OLIG1",5.71330951780805,6.32293613320238,4438.70865514832,9.14614892331719e-215,1.20447745820916e-211
"LHFPL3",6.26081360210459,9.30661834366635,6960.15850032937,1.21733757879955e-210,1.48862995350345e-207
"CSPG4",5.47820005063449,3.68791145720903,2473.85556023531,2.01795322694383e-208,2.30315728301856e-205
"CACNG4",4.10597735103243,5.60861791049387,2897.12068953135,1.41525117072522e-204,1.51431875267599e-201
"PTPRZ1",5.4780809697762,8.86918746123079,5683.76976440335,2.77015208110837e-200,2.78970609579855e-197
"VCAN",5.76863969954999,7.10937267458752,4416.88769596672,4.79663379532804e-200,4.56213169866756e-197
"MEGF11",4.62323886769618,6.05013824743367,3553.28958997291,1.66838644826666e-195,1.50330399970133e-192
"BCAN",4.48100964699597,6.5576609125303,3826.88132045579,1.22073032156697e-193,1.04494515526132e-190
"PLLP",4.29331019692742,5.84259653500514,2517.87889734793,6.27757142164335e-191,5.11771536850163e-188
"SMOC1",5.2504753899053,5.97109482818078,3308.8575610611,1.00004340660636e-189,7.78215596413675e-187
"PCDH15",5.33564841037983,9.18859042694831,4953.11241687628,5.36610321441314e-189,3.99424726220665e-186
"DSCAM",4.00121600151548,10.1533497462595,3899.53108105812,1.33599973623046e-188,9.53013145177728e-186
"PMP2",4.55346097497123,4.9134747873775,2227.51144751042,3.83130905247912e-187,2.6236804391377e-184
"NKAIN4",4.65273406820027,4.5417305598874,2174.81065985005,9.97155455824574e-186,6.56588515527566e-183
"NEU4",5.30183315802365,3.48194742827396,2075.03122184942,3.2192859028733e-185,2.04126572804411e-182
"MYT1",4.41631692938218,5.01141429003195,2267.98937548036,1.39752952432191e-181,8.54489480585395e-179
"ZCCHC24",4.5642954771852,5.55047041693015,2495.47214736181,2.69954432722278e-181,1.59366203041565e-178
"NXPH1",4.49074090011518,9.22831993343101,3498.41616478476,4.03126871900141e-180,2.30051068231014e-177
"RP11-35N6.1",4.03203694544133,7.60070543843152,3116.96435181387,2.38730482477337e-179,1.31840834193936e-176
"COL9A2",4.61614655018243,4.52336948754109,1918.01116101017,1.25360599531931e-177,6.70679207495833e-175
"NOVA1",2.89444395150837,8.70190111825381,2798.19438453246,3.39023081233339e-177,1.75881065173174e-174
"GPNMB",4.97864013804111,3.95164929841668,1954.40690001754,6.40912632254128e-177,3.2271836071149e-174
"GPR37L1",4.32314394400604,5.66327942808129,2268.15447979322,4.47930886532643e-175,2.1910219364111e-172
"AGAP1",2.99778796920097,9.24790523194297,2743.65394411515,5.71823998703787e-175,2.71934079383579e-172
"ZNF462",3.33951046052411,7.00456919819187,2435.01542645603,1.08845372013435e-172,5.03630478072977e-170
"SOX10",4.35274692652835,4.70014192251663,1830.66157108165,4.560085148182e-170,2.05443836149673e-167
"SOX8",4.05590486047676,4.94821565364095,1811.86314690274,1.81988603376949e-169,7.98883305080351e-167
"CA10",4.05529173095948,8.56561078064143,3202.30115065707,4.45874764930761e-168,1.90834399390366e-165
"XYLT1",3.99793382049943,8.44130261355521,3376.11980723606,5.51917589146553e-168,2.30459246980219e-165
"PPAPDC1A",4.13479531762376,5.33479619926605,2106.3771379257,7.20380252413051e-167,2.93640712412177e-164
"B3GNT7",6.39516256902351,3.06008940409897,2028.66077682827,7.75400086497302e-167,3.08717429786833e-164
"ATP10B",4.16215334044447,6.38289351046735,2444.25534677058,1.17281705971164e-166,4.5633245596053e-164
"OPHN1",2.89553352861563,7.90965808089867,2348.3240235397,1.59292066873074e-165,6.06017818859341e-163
"GALR1",5.02686149555787,4.26280657576218,1920.40356690516,5.42570872435944e-165,2.01930724697899e-162
"SALL3",5.08439699579815,3.58666145868159,1670.07425710748,1.35639495951833e-164,4.94074078871358e-162
"SOX6",4.61079877046146,8.78335843137305,3389.23355742366,3.36344012962211e-164,1.19962697956522e-161
"NTN1",3.69814903969472,5.64140516011496,2092.21475592904,7.07808449138785e-164,2.47299605086857e-161
"LRRN1",3.70194381759212,6.55212356744923,2433.67418589289,5.44835190510513e-162,1.865515692308e-159
"BCAS1",4.95563156068906,7.13662719887838,2657.73343886141,1.05862001592054e-161,3.55364209265876e-159
"DISC1",4.02097308920068,6.33188331160936,2486.66381822303,1.90655083017872e-160,6.27695196397302e-158
"CHD7",3.92444425726246,6.40063482730217,2534.24489916874,2.48973710667821e-160,8.04232061628887e-158
"SULF2",3.8446157769637,5.85666496447579,2144.94356944483,1.67369762100902e-159,5.25052366564733e-157
"KIF13A",3.52878263023084,7.84632424511093,2710.57631049672,1.68679206548249e-159,5.25052366564733e-157
"KLRC4-KLRK1",6.02950356354794,3.00438214775127,1798.90015897745,2.89448727452847e-159,8.84886109641561e-157
"TEK",3.86311284751441,4.87631968516605,1671.56664757099,4.22340807646906e-159,1.26850432051141e-156
"SLC35F1",2.69688630507636,9.30275520607626,2166.90300182417,1.14258466446303e-158,3.37259473372535e-156
"CASK",2.57991223077417,7.93318876779505,2176.59112685553,1.357131759649e-158,3.93798232630354e-156
"CHST11",3.9964811552112,8.09373694238123,3003.21153297806,1.66529595020741e-158,4.75164444459182e-156
"AFAP1L2",3.61547508263246,4.77145736813394,1676.26510369527,5.85416147840829e-158,1.64300400836639e-155
"APOD",4.39523162812206,7.19462410108425,2435.56260391219,2.2545706779275e-157,6.22552419453529e-155
"PLEKHH2",3.98123936321491,5.53839975877688,2086.63100180415,1.15214523517853e-155,3.13090895654863e-153
"CALCRL",4.53857390758073,5.39272796087201,1946.42176526818,5.25105141111914e-155,1.40465625247437e-152
"PRRX1",4.24754559203043,5.64956201937097,2077.27731294293,8.04903603269494e-155,2.11999225968827e-152
"ASIC4",5.23053978386252,4.3105807310676,1727.25658412135,1.15704043586935e-154,3.00129276698232e-152
"KAT2B",3.61754929575212,6.86920752378331,2427.42115600239,1.84265909689191e-154,4.70840652817755e-152
"USP24",2.62853761256143,7.30962574585753,1970.1899357362,2.15016581842959e-153,5.41335864875214e-151
"ARHGAP42",3.90495102277882,6.1580531018199,2049.98161242425,7.9129429572527e-153,1.96332729606038e-150
"SCD5",2.6225383655741,8.7336094046412,1986.38501583473,9.25190280747717e-153,2.2627510866287e-150
"CCDC50",3.34257818840618,6.03118650786167,2024.70297745039,1.72069025579258e-152,4.14904467312239e-150
"GPSM2",3.0365495294682,5.94366737324069,1665.99393537794,4.35038507566514e-150,1.03442489576927e-147
"LRRC4C",3.26551427280464,10.7002984230789,2229.44028902265,1.66421396625407e-149,3.90292371263968e-147
"ZFHX4",3.84898243686531,6.27861195081809,1896.12982028432,3.48307837379271e-149,8.0581488863961e-147
"BLM",3.88264764098698,4.30895840517352,1437.072445891,2.49135264354336e-148,5.6869276343283e-146
"LUZP2",4.08190466475181,8.87862073267952,2471.43796390268,4.85471146934742e-147,1.093587636253e-144
"MAP3K1",3.17574138943368,5.4557302599428,1553.74350895655,9.2056985695952e-146,2.04677350014896e-143
"COL11A1",3.45198159358067,7.33446399283648,2099.72268144795,1.22895624788698e-145,2.6974014056186e-143
"OPCML",2.61082433098786,11.0247837847742,1794.42894670431,2.83904597731633e-145,6.15246419388045e-143
"C1QL1",4.30312558447767,4.18863337437824,1394.87502031851,3.6316470755654e-145,7.77172474170995e-143
"SEMA5A",4.13834934797913,7.68687599509425,2417.77104249707,3.5528947541451e-144,7.50932817172396e-142
"MAML2",4.012425478173,8.66841279297173,2442.57546792597,2.39152714210868e-143,4.99304203328056e-141
"KCNH8",3.96423726089771,7.08320731966192,1932.24013043988,7.01197225869798e-143,1.44632488034831e-140
"KCNJ16",4.45534658499589,3.67189609719709,1247.71899113468,2.27688016278309e-142,4.64049861748173e-140
"SPATA6",3.16893349334555,7.20719652613088,1926.09012020389,1.90923215684625e-141,3.84541817943621e-139
"NKX2-2",5.15539729464207,3.38176213789874,1370.17969705765,2.34128912197104e-140,4.66079881024933e-138
"MROH9",4.64761125322247,3.29453317136104,1249.35959692614,1.80280182310379e-139,3.54758243810768e-137
"KIF26B",2.75512847355599,7.71445965373758,1547.42837582875,4.89237888831611e-139,9.51790074636044e-137
"HIP1R",2.9122667311675,6.22598337176364,1485.76140261838,7.05050099693212e-139,1.35623120300537e-136
"SORCS3",2.65813227649609,7.96165504766498,1444.33163775396,6.63525919446289e-137,1.26217374899116e-134
"C10orf90",3.93042033135763,6.71694780284704,1655.15954875172,1.26353380905521e-136,2.37710975945332e-134
"TNK2",2.74409067504377,6.88452389579701,1577.32119313762,1.44084202622697e-136,2.68121907489192e-134
"FBLN2",3.86310797780077,4.28712209722461,1282.09530670493,3.02348184400374e-136,5.56580743756387e-134
"IL1RAP",3.55783963077851,6.39969384265212,1649.16404278755,9.64298154150163e-136,1.75625365947349e-133
"CMYA5",3.1430032147761,5.57408893596998,1415.5638140492,1.93652785538896e-135,3.48982704044832e-133
"RAB31",2.91203004414222,6.37248097504008,1532.28737269063,2.47556461321805e-135,4.41475689357219e-133
"REV3L",2.4097396458107,8.50240101722617,1530.27682790446,2.82324741208141e-135,4.98288615410657e-133
"DOCK1",3.43556843098498,6.98356520511169,1752.73313341146,3.3718449247635e-134,5.89040664407665e-132
"GALNT13",3.191001912796,8.36219495123719,1761.70219050369,4.11127251782323e-134,7.10959449546805e-132
"SHC3",2.5005212634018,7.36857972214326,1409.11263174026,1.40228532617634e-133,2.4007124784139e-131
"EDNRB",4.06667316496733,4.46930667892637,1105.36398414879,2.81457495121706e-133,4.77084387770654e-131
"WIPF1",3.1893650943657,5.92650149831518,1460.19963715096,4.7623682109592e-133,7.99330821290408e-131
"AMZ1",3.2470281361904,5.30089302409982,1389.89575949583,5.02347339858834e-133,8.34969559066334e-131
"STK32B",3.21853023879041,5.24821067245005,1245.61629752198,3.58003564399093e-132,5.89328944472353e-130
"ABHD2",2.4604601254204,7.59097463243083,1464.64465614299,3.79533436585601e-132,6.18820231842427e-130
"LDLRAD3",3.37841311729471,6.52997137939279,1677.65664060405,4.26504252382906e-132,6.88844603848619e-130
"CSMD3",2.42402185075223,9.75872948867467,1451.15691799355,5.30955535544975e-132,8.4952885687196e-130
"RFTN2",3.64975793140208,6.40900276541765,1573.84189670911,7.89556846649303e-132,1.25159381617001e-129
"FA2H",3.4114631512027,5.77815944645108,1191.77574875444,2.44190410496383e-130,3.83535764008997e-128
"MTSS1L",2.607883449953,6.47219270826958,1324.66810499987,2.47459613798472e-130,3.85137144384531e-128
"HRASLS",3.51831150853421,4.61876080872332,1210.38474132072,6.88332839959871e-130,1.06164488469486e-127
"ANGPTL2",4.31531442534112,3.42224100567386,1080.85862438055,1.25341995394278e-129,1.91594192959824e-127
"SNTG1",2.54004644931469,10.2155256045016,1404.25836469349,2.20030226979944e-129,3.33355529725367e-127
"HAS2",5.42947107184213,2.81945421834702,1179.80058510527,7.35309116892449e-129,1.10425369133322e-126
"SEZ6L",2.78787820042779,8.18884326421094,1531.08947063044,8.59387536615716e-129,1.27936648929227e-126
"NKAIN3",3.4070372488691,8.59013498387746,1708.38177769712,1.06857733283395e-128,1.57707275328597e-126
"DPP6",2.33800268668871,10.062606308628,1378.77565518632,4.57744906907759e-128,6.69794256945371e-126
"APBB2",2.37246670410842,8.36501055285062,1356.4162158028,4.65554707689316e-128,6.7544886403738e-126
"PID1",2.64112206840644,8.08105861160038,1474.94807499825,5.43642498820967e-128,7.82114250404618e-126
"NLGN4X",2.2610845894752,8.07151392347587,1311.76504812817,9.38212653526123e-128,1.3385167190306e-125
"ARHGAP31",3.55551967267673,6.15760998923574,1507.01068021199,1.05897474959421e-127,1.49831799281428e-125
"LRP1",2.16906066894506,7.10994878373238,1331.34264492578,1.33487465398812e-126,1.87320115379317e-124
"SCRG1",3.02196578066077,6.13809607404122,1346.38415799587,5.96255349248422e-126,8.29909884482356e-124
"KCND2",3.03243521166476,9.46229203299846,1627.33597589608,1.30806778101565e-125,1.80597745249902e-123
"NUPL2",2.38878430225251,6.18689174304598,1249.00570518833,1.32183812344404e-125,1.81038949386895e-123
