"","logFC","logCPM","F","PValue","FDR"
"SH3TC2",5.8758109362038,4.8429575568184,4854.83166553462,8.7278648379112e-272,1.4942104602504e-267
"ASPA",5.80162191585823,5.4584269102936,5570.100616266,2.71520897280722e-269,2.32421888072298e-265
"MAL",5.64058615530817,5.32855644200919,5370.35889536035,1.76496920509459e-264,1.00720909304065e-260
"FOLH1",6.45938926971068,5.16672908754945,5399.48985151656,4.79427314959331e-264,2.05194890802594e-260
"PLEKHH1",4.93938621298997,6.24914007655596,5802.3732464136,1.6248717043974e-256,5.5635607158567e-253
"CNDP1",6.28738462083709,6.1076451670777,6601.79594691315,2.61854027157089e-256,7.47156824154895e-253
"FA2H",5.44915995930779,5.77815944645108,5292.47824542621,4.40468095228788e-256,1.07725911290241e-252
"CERCAM",5.37469011984906,6.073510172249,6060.41656290272,1.332654770578e-255,2.85188120903692e-252
"MOG",5.97895350565542,5.41737729542654,5252.71887640046,3.56277548775652e-255,6.77719070559906e-252
"LDB3",5.48855139864802,5.28199400777346,4839.35090674555,5.34723529440372e-255,9.15446682401917e-252
"OPALIN",6.34059344937842,5.48453705866747,5305.15464896711,4.56366961270773e-252,7.10272943359604e-249
"COL4A5",5.26011529025221,5.85471885024413,5503.14473110691,2.84801642719243e-248,4.06317010279454e-245
"CNTN2",4.65274973952995,6.37737163474591,5689.95778137803,2.24771278481635e-247,2.96006483661969e-244
"ABCA8",5.99909262278846,5.67009016514044,5392.22854016032,3.29936366372058e-246,4.03465042306402e-243
"NKX6-2",6.06180482761548,4.29861129885165,3596.88666245035,4.33072097903051e-246,4.94279621073349e-243
"PLLP",5.20224939176072,5.84259653500514,4647.03798447828,7.16059072959701e-246,7.6618320806688e-243
"MYRF",6.02508989728564,5.41464576085925,5094.74102698201,5.09135713066656e-245,5.12729612217714e-242
"PPP1R14A",5.34090206728746,5.90454385591855,4989.21270838457,1.11575764269761e-244,1.06120949127683e-241
"ANLN",5.4514234297878,5.42411011176282,4711.51302057967,1.50727995535177e-239,1.35813857029591e-236
"SLC5A11",5.50757916513597,6.27346054053103,5824.52138920171,3.62823398515783e-237,3.1057682912951e-234
"GLDN",5.08800442790702,5.7400931501063,4776.20308580619,8.86727019068069e-237,7.02186836564943e-234
"MOBP",6.49905869698128,7.16895897420745,7474.42608437297,9.0234289745495e-237,7.02186836564943e-234
"TMEM98",5.53886964941449,4.38388568349692,3407.57410085227,2.69392670985674e-235,2.00521849011945e-232
"UGT8",6.1964850753934,6.44634564311854,5859.64494750062,1.37139861747436e-234,9.78264347131708e-232
"MAG",6.28135930376416,5.76274804094306,5200.95459076068,6.2212737043298e-234,4.26032823272505e-231
"CARNS1",5.94643807715567,5.53382280503518,4851.73025335562,3.4047890918701e-233,2.24192266356985e-230
"GPR37",5.50983479534626,5.39705609611869,4232.702168971,2.31536440547513e-232,1.46811254154571e-229
"PIP4K2A",4.37248132794898,8.06023328448123,5847.95385466938,1.00252901020122e-231,6.12974880523031e-229
"CNP",4.9717851962226,7.03236680737227,6117.42589974718,1.09609138276381e-231,6.47071878376427e-229
"CD22",5.60369347780187,4.87066195242375,3821.39781869463,8.48127700540702e-229,4.83998207775227e-226
"TMEM63A",4.94400313958155,4.81671973892211,3515.43649557517,1.0856500878273e-228,5.99559016245269e-226
"POLR2F",4.37523938383335,6.07942845823917,4280.71074575313,2.36836602900542e-227,1.2670758255179e-224
"ITGA2",5.69191603556227,4.67224768060579,3417.86981986237,5.00673844909117e-226,2.59743521964972e-223
"ST18",6.68212434081709,8.16384073830547,7654.54265855177,8.37058574662967e-226,4.21483611712647e-223
"TTYH2",4.76625148193946,5.42897820585442,3842.26286447042,3.18327515189994e-225,1.5570763028722e-222
"SEPP1",5.11837945493908,5.5836696061811,4279.18672812965,1.97459985332617e-223,9.39031930248446e-221
"ENPP2",5.45315903954688,6.8259473651184,6350.78651229722,2.69755145974055e-222,1.24816435110157e-219
"KLK6",5.81115583091119,3.93895145772477,2951.45190677625,3.50532030433499e-222,1.57923904237408e-219
"SCD",5.24709815321626,6.87138487882336,6068.3285727576,1.1006226108443e-219,4.83145105068062e-217
"PRR5L",4.70893375703372,5.13881732159065,3556.36305648201,1.28620543538013e-219,5.50495926342695e-217
"SLC44A1",4.076624322449,8.71488481084027,4999.21819656927,2.32221971065899e-219,9.69668327962973e-217
"ERMN",6.0786267850538,5.03565537771914,3993.47781335923,3.11572005014261e-219,1.2700268394867e-216
"RNF220",4.93556511328217,8.36641758314033,6585.34944291619,1.26164294270896e-218,5.02309934399475e-216
"TMEM235",5.78072879782795,4.19393000853971,2961.27525274248,6.01726195630613e-218,2.34126192481729e-215
"SLCO1A2",5.55420647716314,6.21434361123953,4442.92223623513,3.57460962481421e-217,1.3599403728182e-214
"TF",5.15968146522156,7.21762918485096,5873.53697480283,4.00010618213362e-216,1.48873517039408e-213
"CLMN",4.72863272066131,6.09629744295066,4321.70112161078,4.74131501848853e-215,1.72704921524518e-212
"C10orf90",5.69686055355957,6.71694780284704,5127.67633150927,6.84190538062603e-215,2.44027958575662e-212
"VRK2",4.92384709336455,6.073555991048,4606.55517144086,9.87119275664544e-215,3.44887387742388e-212
"HHIP",5.0684862032253,6.38916607707397,4604.51346580027,1.29866995615634e-214,4.44664592987929e-212
"PMP22",4.49374654278997,5.57793271227246,3346.6786936579,1.34887339950465e-214,4.5279828626509e-212
"LAMP2",3.77625844651735,6.68277965641741,4269.16729494451,2.74499014016524e-212,9.03735215377479e-210
"CLDND1",4.02600817564984,6.52556767833218,4046.81256389263,5.4382576498662e-209,1.75665982954168e-206
"MAP7",3.46004044419059,8.42540276475023,4089.36118176579,1.85084851691033e-208,5.86787529805646e-206
"ABCA2",3.84199994581018,6.990084222421,3945.04582215118,2.85285710710334e-207,8.88016612247439e-205
"CDC42EP1",5.40057825746456,3.57771087259969,2407.03324545403,1.09889916873671e-205,3.35949174442364e-203
"KCNH8",5.44654324674496,7.08320731966192,4888.38485776443,7.70673607498518e-205,2.3147249404166e-202
"FAM124A",4.30360972651605,5.16174988297891,3065.20601136487,9.17853542868222e-205,2.70925045756965e-202
"PXK",3.59144730250593,6.96356638958446,3809.56703809967,1.16523174152856e-204,3.38114701948626e-202
"TMEM144",5.6998483001077,7.14801699405683,5336.5389108996,1.23879221689096e-204,3.53468712552887e-202
"CMTM5",5.60368832931537,4.34876204126067,2672.47104137457,4.28984700632071e-204,1.20397017620017e-201
"TMEM165",3.71298456616028,7.30113441492281,3992.35237031271,1.46521451636088e-203,4.04588266453197e-201
"CDH19",5.53057907932134,4.9725766100381,3025.95227436005,3.92068630660768e-203,1.06543094554164e-200
"GPRC5B",4.0242796303426,6.78034907841013,3574.07764303284,1.33051836093316e-202,3.55913661549621e-200
"SEMA3B",4.95423401470664,5.05589005717448,2888.02503221215,4.74500886018775e-199,1.24976233363714e-196
"SLAIN1",3.71510727377278,7.53139393611178,3545.34427738613,2.95857809773811e-198,7.67437227776917e-196
"PPAP2C",5.71023055855709,3.61138384677607,2310.41852298105,6.1968526383186e-197,1.58343458459723e-194
"GJB1",5.1877289718176,3.7773436339866,2291.19625557649,6.31662491209774e-197,1.59030321316343e-194
"PHLPP1",3.65518637337474,8.61102771701384,3668.19919671863,1.36910232757813e-196,3.39696113741125e-194
"PLA2G16",4.38648349936388,5.75139822248566,3382.88283019465,9.26345001319846e-195,2.26557520322797e-192
"HSPA2",4.68626839123675,4.47548036616596,2504.47406258959,1.99748387340191e-194,4.81646815670997e-192
"SHROOM4",4.95327638681175,6.14169287316729,3659.65964846159,1.11329533796446e-193,2.6471689147155e-191
"LRRC63",4.95269168605238,4.48148838847604,2532.6349331026,2.10621819664307e-193,4.93951445568896e-191
"BOK",4.70365837278977,4.4981787883567,2480.15488510438,9.21474178991917e-193,2.13184296545157e-190
"KIAA1755",4.72382551938419,4.83154928346858,2553.09122663507,1.15676193531336e-192,2.64050191100862e-190
"CDK18",4.87752618918108,6.12326168646865,3852.81925062804,2.14736364106895e-191,4.83721914935532e-189
"KIF6",4.08324274287436,5.63977670573774,2777.53698426142,1.54381134654315e-190,3.43247405880762e-188
"KIAA1598",3.28862601684814,8.15807110042831,3216.75535432983,1.3449855868849e-188,2.95207092916275e-186
"SUN2",3.63521043111148,5.89687876374916,3059.87087724445,1.5189414905418e-188,3.2916807997564e-186
"FRYL",3.17341600780632,7.99864229269143,3267.57046572509,2.46237585911337e-188,5.26948433850261e-186
"CLDN11",5.08436937369228,7.50676005984236,4437.87614532342,3.02122739745923e-188,6.38560654870395e-186
"DOCK5",5.10415075021067,6.6418993105652,4219.47742248196,8.40317162255285e-188,1.75441827046469e-185
"PHLDB1",3.7546250963391,6.30353664259866,2953.55944608413,1.6340656409093e-187,3.37050647859847e-185
"MAN2A1",3.61163056135196,8.31681221370803,3435.81788928609,3.02369273613925e-187,6.16257376698856e-185
"TTLL7",3.18454636930291,8.70887062061237,3179.57655972987,4.26915729139188e-187,8.59858503866223e-185
"RNASE1",5.09086445593323,5.7891660340739,3102.70647927119,1.29028925091364e-186,2.56857581112111e-184
"LPAR1",5.20537830068098,6.24568673514563,3584.459398128,1.37031565995363e-186,2.69652920671335e-184
"DAAM2",4.81836230514987,6.59591576128183,3599.12508678507,3.16354016787781e-186,6.15452359932593e-184
"NINJ2",4.27105196869932,4.84499169442844,2357.35427323115,5.23812582583605e-186,1.00760352964397e-183
"ATP10B",4.51244449762284,6.38289351046735,3119.53698689402,3.36658301483266e-184,6.40398902377057e-182
"PLP1",6.62255996657883,9.24778658889864,4540.3325856718,2.71342999994121e-183,5.10482654933996e-181
"PDE8A",3.25543080498334,7.83872256355383,2952.18151028673,2.37159050647516e-182,4.41322059465813e-180
"FAM107B",4.82296531471412,6.19509664821365,3502.68749245533,3.62939357781797e-182,6.68120624217674e-180
"PRR18",5.52134313556903,3.37737677119482,1917.7858722172,4.24500489446547e-181,7.73132806311159e-179
"USP54",3.28315161650297,6.99455136969724,2713.55964619323,1.87799305527634e-180,3.38434116908747e-178
"MBP",5.16940279979832,8.69261998845632,4507.24683154517,3.70053522400804e-180,6.59928781614767e-178
"MEGF10",4.57465450761979,5.85999453607275,2646.26479004201,2.67483055821811e-179,4.72093805739113e-177
"CTNNA3",4.92384265208521,9.09579809327932,4503.5520350836,3.58425537307398e-179,6.26147469255373e-177
"PLEKHG3",4.37817175417952,4.57009824769132,2189.54010540531,4.29302346838596e-179,7.42389512916845e-177
"VWA1",4.33289747314717,4.37451874236012,2012.82896723225,2.88568351285663e-178,4.94029017401054e-176
"QDPR",3.18775944349721,6.91134889904723,2671.05862050345,3.96795090244428e-178,6.72587321285605e-176
"RHOU",4.43258398707735,4.49412124643684,2103.55596872179,6.23913025480033e-178,1.04719519570766e-175
"PSEN1",2.91953650640452,6.90652632976795,2738.67920544902,3.2164186376279e-177,5.34612495885337e-175
"ZCCHC24",4.49329580571038,5.55047041693015,2366.51264760068,4.44617153346247e-177,7.31908237046899e-175
"ELOVL1",3.98420122628242,4.39378169159084,2094.47172643219,1.39698767406974e-176,2.27775514095942e-174
"FAM222A",4.35673370212945,4.28104923106852,2044.95893631057,1.83805269767907e-176,2.96862850794959e-174
"ZDHHC9",3.50535676053051,5.38029289055891,2302.30329529011,1.91088548143274e-176,3.05741677029239e-174
"LDLRAP1",4.9344849508783,3.43529100477076,1778.93485657341,4.33964269820804e-176,6.87913731419645e-174
"SOX8",4.13540260431711,4.94821565364095,1944.98927772194,1.29766624820001e-175,2.03816937331965e-173
"PLEKHB1",4.08252435365031,4.69291306686798,2004.95401323716,4.44200522042113e-175,6.91337539760088e-173
"KCNJ10",4.32582813478521,5.00210955765005,1919.1702136925,5.05844618467561e-175,7.80185573708526e-173
"COL9A2",4.48371979198383,4.52336948754109,1831.56326326855,1.64153320491663e-173,2.49639351757314e-171
"ELMO1",3.1829520735656,8.64500599727452,2689.07356365537,1.64773637550096e-173,2.49639351757314e-171
