,0
RASGEF1A,0
FBXL5,0
PSMB3,0
BDH1,0
KRT10,0
NFIL3,0
JUP,0
NT5C3B,0
RUNDC3A,0
MRPL10,0
GABBR2,0
IFT80,0
SLC33A1,0
UBQLN2,0
DIPK2A,0
VMP1,0
PLXND1,0
COPG1,0
GSK3B,0
RIMKLB,0
ZDHHC23,0
LHX2,0
ABI3BP,0
WBP2,0
PDZRN3,0
ENGASE,0
PCGF2,0
CDK5R1,0
DHRS13,0
UNC119,0
NKD2,0
TANGO6,0
PTPRD,0
CDYL2,0
IGFBP6,0
GALNT7,0
HSDL1,0
COTL1,0
GUCY1A1,0
TCF25,0
GLOD4,0
TBC1D9,0
ZBTB34,0
TIMM22,0
ANK2,0
PFN1,0
CERS5,0
CCDC184,0
TMEM106C,0
PITPNM3,0
NAP1L5,0
PCSK5,0
SLC2A13,0
LRRC75A,0
USP46,0
MED21,0
SLC25A11,0
PSMB10,0
ARF4,0
MAFG,0
EPB41L1,0
PTPRT,0
PIGT,0
WFDC2,0
ERC1,0
PAOX,0
MGMT,0
KIAA1549L,0
CAPRIN1,0
RAB22A,0
NTSR1,0
ARFGAP1,0
LYPD6B,0
KCNQ2,0
RAB3GAP1,0
SOWAHC,0
ST6GAL2,0
ACTR1B,0
ARID5A,0
CTNNA2,0
LRRTM4,0
TET3,0
DUSP11,0
SMYD5,0
GRK5,0
BMPR2,0
ADAM23,0
ING4,0
CTR9,0
C1R,0
MST1,0
IMPDH2,0
CSPG5,0
DSC2,0
SNRK,0
SLC25A38,0
SLC39A6,0
CTIF,0
SMAD7,0
C1S,0
DEAF1,0
FAAP100,0
ST8SIA3,0
GRM7,0
BOK,0
PPP1R7,0
DSEL,0
MRPS26,0
TPI1,0
MACROD2,0
TRIM22,0
DCHS1,0
DNPEP,0
STK16,0
PTMS,0
SRGAP3,0
TRIO,0
RANBP10,0
KIFC2,0
BRMS1L,0
DCX,0
STYXL1,0
SYT16,0
KCNH5,0
CHCHD2,0
MMP17,0
CCT6A,0
PNMA1,0
TENM1,0
SMARCA1,0
IFT43,0
TGFB3,0
STK31,0
PHF14,0
ANAPC5,0
PSMB1,0
TMEM181,0
SERAC1,0
ERP29,0
TTC7B,0
RGS17,0
SYNE1,0
UST,0
EPM2A,0
ACSL4,0
PGAM5,0
DYNC1I1,0
LMTK2,0
MAGEH1,0
MAGED2,0
WBP4,0
LACC1,0
TSC22D1,0
SLC16A2,0
NEXMIF,0
PDHA1,0
PPEF1,0
NLGN4X,0
LMBR1,0
MYCBP2,0
PLAGL1,0
ATP8A2,0
FASTK,0
ZYX,0
FAM131B,0
DOCK9,0
EFNB2,0
CCDC136,0
ARMCX1,0
KCND2,0
ARMC10,0
ALKBH4,0
RABGGTA,0
TCEAL1,0
SMARCD3,0
PDZD4,0
NKAIN2,0
FABP7,0
ATXN7L3B,0
B4GALT7,0
F12,0
RAB24,0
ZBTB10,0
PABPC1,0
CLCN7,0
MGRN1,0
MRTFB,0
RRN3,0
NRG2,0
NUDCD1,0
HNRNPAB,0
PRKCB,0
SLC22A5,0
ATG12,0
PPIP5K2,0
NR2F1,0
HOMER1,0
AGGF1,0
SIAH1,0
TENT4B,0
ZSWIM6,0
PDE4D,0
PARP8,0
HSF1,0
PTGES3,0
MADD,0
RASGEF1C,0
DUSP22,0
SERINC1,0
CSMD1,0
WDR25,0
FIG4,0
GPR63,0
BACH2,0
RRAGD,0
SLC35A1,0
TMEM263,0
ADGRB3,0
ANKS1B,0
HMGCLL1,0
TMED3,0
BIN3,0
PNMA2,0
LRRC57,0
TMOD3,0
RSL24D1,0
ADAM10,0
TLN2,0
SNAPC5,0
EHMT2,0
ATP6V1G2,0
MGAT4C,0
ATXN1,0
RNF182,0
RHOBTB2,0
FAM161A,0
DCLK1,0
FAT3,0
SELENOI,0
MAPK8,0
KLF6,0
MAPK12,0
SHANK3,0
MEF2D,0
FKBP8,0
UNC13A,0
MPV17,0
AKR1C2,0
NAALAD2,0
NRIP1,0
CSMD2,0
BBC3,0
ZNF362,0
RNF19B,0
EEF1G,0
SFT2D2,0
KLHL20,0
RIMS3,0
KAT5,0
CRLF1,0
ARMC6,0
HENMT1,0
KCNC4,0
ATG2A,0
SFI1,0
RPS6KA4,0
ZFPL1,0
AKT3,0
GPR137,0
CYTH2,0
FEN1,0
CEP164,0
RNASEH1,0
CBY1,0
RNF26,0
POLR3GL,0
ARID5B,0
TSPO,0
NEURL1,0
KIAA0930,0
PPCS,0
RHOU,0
MAP6,0
SSBP4,0
CAMK1D,0
SETD4,0
CHKA,0
CD46,0
EPCAM,0
FBLIM1,0
ISOC2,0
ZNF32,0
PSMG1,0
BRWD1,0
ETFB,0
EMC10,0
PLEKHG5,0
TMEM216,0
RASIP1,0
KLHL12,0
NUMA1,0
LRRN2,0
NADK,0
ANKRD65,0
MRPS6,0
SLC8A1,0
RNF169,0
ARID1A,0
MMS19,0
IER5,0
FRMD4A,0
NDUFA4L2,1
SLC7A5,1
MSANTD4,1
ADIRF,1
GAS1,1
SFRP2,1
CNTNAP4,1
SUZ12,1
S100B,1
PAM,1
RGMB,1
LIX1,1
RGS5,1
NTRK2,1
PDLIM4,1
MYL6,1
MAGI3,1
EIF4B,1
NR4A1,1
OS9,1
CHCHD10,1
DDIT3,1
SPARC,1
PPP1R1B,1
ETNPPL,1
ELOB,1
MYORG,1
BAALC,1
ABAT,1
WFS1,1
RIMS2,1
ANXA11,1
TMEM254,1
CCNH,1
HAPLN1,1
ZC3H10,1
SLC1A3,1
SKP2,1
EEF1D,1
RPS5,1
RPS9,1
SHISA6,1
TTYH1,1
IGFBP7,1
MRE11,1
PAPSS2,1
ACTA2,1
SCD5,1
WIF1,1
TAGLN2,1
NAA38,1
RPS3,1
DAB2,1
PLIN2,1
MT1E,1
LONP2,1
RPS26,1
CHD1L,1
S100A10,1
ALKBH5,1
S100A11,1
COX4I1,1
ATP1B2,1
ZNF304,1
DCUN1D4,1
ZCRB1,1
S100A13,1
ALDH1A1,1
GPBP1,1
SALL1,1
ITGA7,1
PALLD,1
DUSP1,1
ANXA2,1
GSTM3,1
CHRDL1,1
TRIM9,1
ELN,1
JAM2,1
SYNE2,1
NCAM2,1
LAPTM5,1
NIPSNAP2,1
VTI1B,1
GRM3,1
IGFBP3,1
BTG3,1
AEBP1,1
BBOF1,1
ADCYAP1R1,1
AK2,1
TMEM132B,1
MPP6,1
ITGB8,1
ARHGEF6,1
SIPA1L1,1
ABCB1,1
SRI,1
C1QB,1
COL6A2,1
COL18A1,1
N4BP2L2,1
CHST7,1
RPS4X,1
TMEM47,1
GPR153,1
CAMTA1,1
N4BP2L1,1
RERE,1
ITM2A,1
TMEM201,1
COL4A1,1
RBM28,1
IFT88,1
RBM23,1
ING3,1
ZMAT1,1
GJB6,1
PSME2,1
CUX1,1
ZMYM4,1
EIF2AK1,1
DIO2,1
RNASET2,1
UBR2,1
OARD1,1
FXYD6,1
UNC13C,1
TAPBP,1
BRD2,1
DDAH1,1
ZNF703,1
GABBR1,1
ZMAT4,1
CEBPD,1
JARID2,1
TAGLN,1
PPP1R12A,1
ARHGAP29,1
RACK1,1
NKAIN3,1
RPL7,1
CLK4,1
S1PR1,1
AKAP13,1
SCARA3,1
HIGD2A,1
GOLM2,1
CBX6,1
EZR,1
OSCP1,1
MTRF1L,1
MFSD2A,1
AKAP12,1
KATNA1,1
PPIL4,1
IFI27,1
SH2B3,1
IFI27L2,1
SLC18B1,1
VRK1,1
SETD3,1
CEP85L,1
SRGN,1
ANKRD9,1
EEF1A1,1
TUT4,1
VSIR,1
TJP1,1
PSAP,1
PDIA3,1
FGFR3,1
MGP,1
GAD1,1
GNAI2,1
SIPA1L2,1
TBC1D13,1
TRIB2,1
NCKAP5,1
MIDN,1
PYGM,1
RALBP1,1
NTSR2,1
DDX42,1
PLXNB1,1
C1QL2,1
MRC2,1
YJEFN3,1
COL5A2,1
NT5C2,1
MBD3,1
ZFP36L2,1
NID1,1
GPCPD1,1
MSI2,1
CYP1B1,1
ALDH1L1,1
DCXR,1
SNX5,1
VWF,1
NEK6,1
ACOX1,1
ZNFX1,1
KCTD6,1
MYL9,1
SLC38A10,1
SELENOK,1
TRIM47,1
LUZP2,1
SNORC,1
LTBP3,1
ATL3,1
TMEM223,1
KCNJ16,1
CBLN4,1
CHDH,1
CCDC173,1
RPL12,1
GNA13,1
UMPS,1
SLC1A2,1
SDK2,1
IGF2,1
CA4,1
RBSN,1
KAT2B,1
FXYD1,1
CCND1,1
HDLBP,1
MRPL53,1
MRPL50,1
HABP4,1
RAMP2,1
ADI1,1
FKBP2,1
EGFL7,1
KLF2,1
RPL18,1
CAVIN1,1
PPP4R3B,1
HSPB6,1
SLC1A4,1
ADRB1,1
PDCD4,1
SLC6A1,1
IGFBP4,1
EFEMP1,1
RPS27A,1
SMC4,1
VASP,1
MCFD2,1
TIPARP,1
MED29,1
SCPEP1,1
NOTCH1,1
SERP1,1
TMEM100,1
ARHGEF26,1
GMFG,1
TM4SF1,1
ASAP2,2
FBXO9,2
RFX7,2
SLC44A5,2
CCBE1,2
TRIOBP,2
FDFT1,2
OGDHL,2
MMP24,2
OSGEPL1,2
HSPE1,2
CCDC88C,2
CITED4,2
TMEFF2,2
USP24,2
GRIK4,2
PID1,2
APBA2,2
SPON1,2
MAD2L1BP,2
EBF4,2
RHOBTB1,2
MPP1,2
DNAJC4,2
DMAP1,2
TUBGCP4,2
FOXO3,2
GATD1,2
SPOCK2,2
MAN1A1,2
DCTN6,2
CUX2,2
EVL,2
HAPLN4,2
ITPR1,2
ERBB4,2
IDH1,2
ZNF708,2
RCOR2,2
GAPDH,2
MRPL51,2
NHSL1,2
CACNA1I,2
ARL4C,2
DIRAS2,2
KXD1,2
SEMA4C,2
WASL,2
CARMIL3,2
RCC2,2
DUS3L,2
SIRT6,2
BMT2,2
TCEAL4,2
TLE2,2
TTC3,2
MORC3,2
DOP1B,2
TSPAN18,2
DOT1L,2
MCM7,2
NPAS3,2
SEM1,2
CIAO1,2
ATP5PO,2
KCNJ6,2
MIIP,2
TMEM132A,2
PSMC3,2
BCOR,2
ZNF333,2
RRP1,2
ECSIT,2
KEAP1,2
NDUFV3,2
BOLA3,2
PCDH8,2
COMMD6,2
ZNF121,2
EPS15L1,2
REPIN1,2
HS6ST3,2
DISP3,2
TMEM35A,2
RASA3,2
FOXN3,2
POLR1B,2
PTPN4,2
B3GALT1,2
CHN2,2
GTPBP3,2
BIRC6,2
IGDCC3,2
PGLS,2
SP9,2
UBE2V1,2
FSCN1,2
POP5,2
SNW1,2
SDK1,2
BRAT1,2
COQ5,2
ELFN1,2
PKIG,2
RPH3A,2
APIP,2
CCDC93,2
RPS6KL1,2
ISCA2,2
CD36,2
GNAI1,2
SRRM3,2
MAP3K2,2
DACT1,2
EFNA2,2
ATP5F1D,2
MAX,2
TMEM259,2
INSYN2A,2
PTPRE,2
SRSF5,2
COBL,2
CDC42EP3,2
ANO8,2
PDHX,2
SS18L1,2
ELMO1,2
BRK1,2
VGLL4,2
CORO2B,2
SMPD3,2
TENT4A,2
PDE1B,2
VPS37C,2
RFX3,2
UFSP2,2
BORCS5,2
ABTB1,2
NFIB,2
DCTD,2
SEC61A1,2
GLRA3,2
DCAF8,2
MRPL43,2
KLHL2,2
TMEM126A,2
GSE1,2
SMURF2,2
ATP6V1G1,2
SMG5,2
NDUFB4,2
ENC1,2
CBLN1,2
EPHA3,2
NAIP,2
MRPS36,2
MAST4,2
HTR1A,2
SNRPD2,2
AGO2,2
ARL15,2
TRIM28,2
TAGLN3,2
KCTD3,2
PRKCA,2
DNAJC21,2
KCNK2,2
PLEC,2
DOK4,2
ECPAS,2
TMEM131L,2
TMEM126B,2
KANSL1,2
OCIAD2,2
CAMK2N2,2
PTOV1,2
ASIC2,2
DAPK1,2
SHC3,2
ZNHIT3,2
NOL8,2
ARAP1,2
CWC25,2
NEUROD2,2
MDM4,2
MB21D2,2
STK32B,2
GADD45G,2
CASC3,2
SEC61B,2
CA10,2
PDCD10,2
NMD3,2
RFLNB,2
TUBD1,2
PROX1,2
PANK1,2
CREBL2,2
VASH2,2
ZNF579,2
EXOC6,2
KCNK9,2
NEUROG2,2
ACBD6,2
XPR1,2
ASGR1,2
CDS1,2
CYP26A1,2
FXR2,2
CCNI,2
SCHIP1,2
ABL2,2
VPS72,2
NUP93,2
CYGB,2
SPRY4,2
NAA60,2
G3BP1,2
ANKRD29,2
UQCRB,2
RARS1,2
BID,2
NPM1,2
RBIS,2
ST8SIA2,2
CCT2,2
RNF44,2
ERO1B,2
GTF3C5,2
ENTPD3,2
SMARCB1,2
KREMEN1,2
CACNG2,2
KITLG,2
MEX3C,2
ZNF529,2
ABT1,2
RBFOX2,2
NAALADL1,2
GRIP2,2
DNAJA4,2
CSRP2,2
PES1,2
PALMD,2
VXN,2
CTDSPL,2
SYT4,2
KCND3,2
NFIX,2
MAZ,2
MICAL3,2
LCMT1,2
CAMLG,2
BRD8,2
AMOTL1,2
MAGI1,2
YTHDC2,2
BAHCC1,2
TOR2A,2
TUBA8,2
GLRX,2
RRP9,2
FRMD4B,2
MRPL13,2
ROBO1,2
TMEM258,3
AMER2,3
TSPAN4,3
FGFR2,3
STMN4,3
FHL1,3
PIP4K2A,3
PLEKHA1,3
BAMBI,3
RNF34,3
RRAS2,3
ANGPT1,3
ANP32B,3
NSDHL,3
FANCF,3
FRMD8,3
ARHGAP12,3
ENTPD2,3
NUDT4,3
CKS2,3
CDK8,3
SQLE,3
TMCC3,3
ST8SIA1,3
CD9,3
CCDC25,3
TM7SF2,3
STAT2,3
ATG16L2,3
ABCA2,3
DHCR7,3
SLC38A1,3
BACE1,3
LHPP,3
ZNF22,3
TNS2,3
LIPA,3
LAMP2,3
FNBP1,3
COMMD9,3
DOLPP1,3
KANK1,3
EIF3F,3
MPDZ,3
SGMS1,3
ADD3,3
CCSER2,3
GDI2,3
TNKS,3
MARCHF8,3
ALAD,3
RASSF4,3
SAMD8,3
LZTS2,3
PRR13,3
BUB3,3
CD81,3
ABHD17B,3
PAG1,3
MAPK8IP1,3
LGI3,3
SELPLG,3
MVK,3
FAM222A,3
ENPP2,3
PLP1,3
UNC5B,3
TSPAN31,3
GPR107,3
GLTP,3
HEXB,3
GTF2F2,3
STT3B,3
METTL6,3
XPC,3
CDH7,3
MBP,3
CENPB,3
AP5S1,3
DSTN,3
CNPPD1,3
NOL4L,3
RALY,3
ANKRD44,3
GALNT1,3
FKBP7,3
RAPGEF4,3
DYNC1I2,3
METTL5,3
NPEPL1,3
ERMN,3
FMNL2,3
CFD,3
MEX3D,3
BIN1,3
MAP4K4,3
MAL,3
ELAVL1,3
RNF114,3
NKTR,3
NPC1,3
PCBP4,3
SPP1,3
POLR2A,3
SRP72,3
PDGFRA,3
FRYL,3
TRAF4,3
TBC1D1,3
RFFL,3
MMP28,3
CD38,3
PNMT,3
KRT19,3
MLX,3
RND2,3
C1QL1,3
CLDN11,3
ANKRD40,3
COMMD2,3
GYG1,3
VEZF1,3
STAG1,3
ANAPC13,3
TF,3
CCDC80,3
LGALS3BP,3
AATK,3
PBRM1,3
PCYOX1,3
NUP88,3
GMCL1,3
SERTAD2,3
SLC25A1,3
UBE2L3,3
