,0
CDK4,0
ANP32B,0
FBXL5,0
ASCC3,0
GPN1,0
BFAR,0
POPDC3,0
SMC2,0
FAM98A,0
STRN,0
DDX51,0
CEBPZOS,0
CEBPZ,0
EP400,0
CASP2,0
PDSS2,0
SFSWAP,0
STX2,0
MACROD2,0
SSBP1,0
FRA10AC1,0
AATK,0
TBC1D12,0
TMEM38B,0
DDX55,0
PIGF,0
CD38,0
SORBS1,0
CCNC,0
XPA,0
TMEM186,0
CCSER2,0
MFSD14B,0
NCAPG2,0
TBC1D1,0
PGM2,0
PNMT,0
ZNF791,0
KMT2C,0
HS1BP3,0
SYNGR2,0
RBPJ,0
SF3B6,0
TP53I3,0
CDK8,0
LGALS3BP,0
RNF6,0
UFL1,0
NUB1,0
AMER2,0
DNMT3A,0
RAB10,0
MIPEP,0
MICU2,0
CHMP2A,0
LIPA,0
TRMT1,0
FYN,0
MSH6,0
MPHOSPH10,0
CUTC,0
ALAD,0
IFTAP,0
RAB11FIP5,0
ZNF415,0
IGF2BP2,0
ILVBL,0
MON1B,0
CENPW,0
RNF34,0
PCNA,0
STAMBP,0
COMMD9,0
SND1,0
ZNF528,0
TNRC6A,0
HTRA2,0
AATF,0
GPR37,0
DVL3,0
CYBC1,0
MAP6D1,0
RETSAT,0
ARHGAP17,0
HDHD3,0
TEX261,0
GIPC1,0
PCYOX1,0
TMEM175,0
FOXN2,0
ZNF579,0
PIGG,0
BAHCC1,0
GPRC5B,0
MTIF2,0
FYTTD1,0
PNPT1,0
SBNO1,0
ZNF483,0
SREBF1,0
WNK2,0
LLGL1,0
CD82,0
ASF1A,0
ZFYVE27,0
APOD,0
CNOT3,0
SERTAD2,0
HSF2,0
HPS1,0
MKLN1,0
CCDC50,0
GMCL1,0
TIA1,0
HSDL2,0
ETFB,0
NLGN4X,0
SLC25A1,0
ELOVL6,0
ZC3H11A,0
ZC3H18,0
OSTC,0
TMEM104,0
THOC5,0
CNTN2,0
LAMP1,0
FADS1,0
PTAR1,0
GPR173,0
REEP3,0
PFKFB2,0
ANGPTL4,0
PAQR4,0
TMEM258,0
CILK1,0
PBLD,0
PACC1,0
NENF,0
NSL1,0
GCLC,0
SLC35A2,0
SPP1,0
CENPF,0
BCL2L1,0
RAP2A,0
MVD,0
PNP,0
TJAP1,0
SMARCA5,0
SFI1,0
HNRNPF,0
SLC7A8,0
PATZ1,0
YIPF3,0
LRP10,0
SMTN,0
RASSF4,0
ZNF22,0
MARCHF8,0
ELAVL1,0
LARP1B,0
ABHD4,0
DAD1,0
IGBP1,0
KCTD5,0
SGMS1,0
KIAA1109,0
YIPF6,0
USP53,0
GLIPR2,0
CERS4,0
RNF166,0
GRHPR,0
MBNL2,0
TBC1D25,0
LYPLAL1,0
PRDX4,0
CNKSR2,0
CKS2,0
SEMA4D,0
TANGO2,0
MTHFSD,0
PHKA2,0
ADK,0
DESI2,0
REPS2,0
UFD1,0
SAMD8,0
FRYL,0
GTF2F2,0
SCCPDH,0
GPALPP1,0
ANKS3,0
BICD2,0
TMEM18,0
DSTN,0
RAB3D,0
PRPSAP1,0
TMEM33,0
ALG1,0
PRXL2A,0
CDIP1,0
SRP72,0
ZFX,0
PHIP,0
ABHD17B,0
SUSD4,0
SGPL1,0
NMRK1,0
UNC5B,0
KDM6A,0
SLAIN1,0
LBR,0
COL9A1,0
TTC19,0
CRNKL1,0
ANAPC16,0
RFXAP,0
CNOT6L,0
MAOB,0
SDAD1,0
USO1,0
CREBBP,0
SEC23B,0
AGT,0
