,0
MRPL13,0
CEP120,0
PDLIM4,0
CIAO1,0
TMEM127,0
MED13,0
TACO1,0
RPIA,0
MRPS31,0
CEP95,0
PTCD3,0
BRD8,0
PRKCA,0
LRRTM2,0
AMZ2,0
MATR3,0
MPHOSPH8,0
BOLA3,0
IK,0
SPRY4,0
HMGXB3,0
ZBED8,0
DENR,0
RSRC2,0
RHOF,0
NPM1,0
P2RX4,0
METTL23,0
AP3S1,0
FHL2,0
ELL2,0
GLRX,0
CASC3,0
WIPF2,0
EMC9,0
NDUFS4,0
ARL15,0
NAGLU,0
KCNJ3,0
ACIN1,0
MIER3,0
EPC2,0
PRMT5,0
HTR1A,0
KANSL1,0
FAM136A,0
NXPH2,0
BDP1,0
STK24,0
HS6ST3,0
JMY,0
ZCCHC9,0
MAP3K2,0
ERCC3,0
NIFK,0
PTPN4,0
KLF12,0
CCDC93,0
POLR1B,0
INTS6,0
TTC5,0
TRIAP1,0
KIAA1191,0
RPH3A,0
DIP2B,0
KMT2D,0
NSFL1C,0
ASAP2,0
SOX11,0
MRPS35,0
ZNF692,0
ZNF496,0
RCAN2,0
FBXO9,0
NINL,0
HEBP1,0
MTO1,0
PEX6,0
PHB2,0
MRPL51,0
ME1,0
TBCE,0
GGPS1,0
LRTM2,0
INPP5A,0
CDK5RAP1,0
INSYN2A,0
CHMP4B,0
TIAL1,0
RPRD1B,0
SLK,0
SH3PXD2A,0
ERO1B,0
B3GALT1,0
LDAH,0
RBFA,0
FAM193B,0
CLK4,0
UHRF1BP1L,0
KIAA1841,0
MRNIP,0
CNOT6,0
VEZT,0
OSBPL8,0
FAM210A,0
CPSF6,0
SNRPD1,0
ANKRD29,0
SS18,0
CDKN1A,0
GEMIN6,0
TAFA2,0
ABT1,0
ZSCAN9,0
BIRC6,0
PPP1R11,0
MEMO1,0
R3HDM2,0
MRPL33,0
DDX39B,0
RNF5,0
TAF11,0
VPS4B,0
USP31,0
HNRNPLL,0
NOVA1,0
DCAF17,0
CWC25,0
CORO2B,0
IGDCC3,0
NOP14,0
SLC7A6OS,0
PDCD7,0
STK32B,0
ATRIP,0
DHX30,0
SORCS2,0
ZNF518B,0
GTF2A2,0
SLTM,0
DCAF16,0
ENKD1,0
ZNF445,0
EIF1B,0
USP10,0
GSE1,0
ANAPC4,0
OXSR1,0
CTDSPL,0
LEO1,0
LIAS,0
COPS2,0
TRIM69,0
TOP2B,0
CTDSPL2,0
UBE2E1,0
RFX7,0
OCIAD2,0
ZNF595,0
CD276,0
SEC61A1,0
VPS35L,0
EEFSEC,0
SRPRB,0
TNRC6A,0
MSL2,0
RSL1D1,0
RASA2,0
NAA50,0
MAZ,0
TRPC1,0
GYG1,0
NDUFB10,0
PARP6,0
MRPS34,0
ZNF654,0
SCHIP1,0
NETO2,0
MAGI1,0
NMD3,0
KCNMB2,0
JMJD8,0
ARRDC4,0
PRC1,0
DVL3,0
MAP3K13,0
DCP1A,0
SENP5,0
CCNL1,0
STK4,0
RFLNB,0
CDAN1,0
SIPA1L1,0
ERBB4,0
LANCL1,0
SRSF5,0
UFSP2,0
FASTKD2,0
ZDBF2,0
CCDC127,0
ICE1,0
SRD5A1,0
TENT4A,0
KCTD18,0
TRIM9,0
KLHL2,0
HSPE1,0
ASIC2,0
MYO1B,0
MYO19,0
L2HGDH,0
OSGEPL1,0
CDH18,0
TOGARAM1,0
AATF,0
NPAS3,0
DNAJC21,0
LNPK,0
G2E3,0
SP9,0
PGAP1,0
TUBGCP4,0
FLII,0
MLH3,0
RPUSD2,0
RAF1,0
BRK1,0
ARRB2,0
MTMR14,0
PKD2,0
BTBD6,0
EVL,0
RPAIN,0
NEUROG2,0
FARP2,0
GLRX5,0
MTERF4,0
ARPC2,0
DDX24,0
FXR2,0
KDM6B,0
ARL4C,0
GIGYF2,0
NPPC,0
ARMC9,0
ZC3H14,0
SPATA7,0
MPRIP,0
TMED8,0
GPATCH2L,0
ATG9A,0
RASD1,0
PER2,0
GPATCH2,0
EFR3B,0
DYRK1B,0
TRMT11,0
SLC29A2,0
TMED5,0
SF3B2,0
SNX15,0
REPIN1,0
KCNH2,0
RCOR2,0
SNRPD2,0
DNAJB4,0
MYPOP,0
TMEM138,0
VPS37C,0
PSMC3,0
TSPAN18,0
PGM1,0
PRRG1,0
PDHX,0
BCOR,0
EIF3M,0
MED25,0
SPTY2D1,0
ZNF614,0
CYP2R1,0
DMAP1,0
ZC3HC1,0
PDZD11,0
PELI3,0
AIP,0
ABHD11,0
LIMK1,0
GTPBP3,0
NKAPD1,0
GNAI1,0
CD36,0
CEP57,0
MED17,0
TAF1D,0
DBF4,0
CDK14,0
EED,0
ZNF181,0
SCN1B,0
NARS2,0
CAPZA1,0
ETV2,0
KCND3,0
INKA2,0
CEPT1,0
MCM7,0
SYNE4,0
PPME1,0
ARAP1,0
WASL,0
POT1,0
DDX6,0
FAM160A2,0
ZNF583,0
DDHD2,0
DIRAS2,0
PHF5A,0
SNU13,0
GADD45G,0
RCC2,0
CENPM,0
TTLL1,0
