,clusters
ABL2,0
MLH3,0
CWC25,0
CTDSPL,0
RRAS2,0
CHN2,0
SPRY4,0
EXOC6,0
PNMT,0
TBC1D1,0
CASC3,0
GAPDH,0
PDHX,0
TOGARAM1,0
VPS37C,0
TOR2A,0
ASAP2,0
NDUFV3,0
TMEM126B,0
UBE2V1,0
GMCL1,1
ELOVL6,1
SCRG1,1
IDH1,1
RALY,1
PACC1,1
ETHE1,1
PACS2,1
EIF3F,1
ENPP2,1
EIF3B,1
SLAIN1,1
MAX,1
AMER2,1
SND1,1
TSPO,1
CILK1,1
CFD,1
CENPB,1
BET1L,1
SFI1,1
ZBTB34,2
UNC13A,2
TRIO,2
PITPNM3,2
TBCCD1,2
SYT16,2
SHF,2
STK32B,2
PSD3,2
PTPRD,2
RAB22A,2
RFX3,2
SMARCA1,2
SLC35A1,2
SLC33A1,2
PLEKHG5,2
PPCS,2
ZYX,2
HENMT1,2
CCNB1IP1,2
CERS5,2
ERO1B,2
KCND2,2
EPCAM,2
ACSL4,2
CAMK1D,2
RAB10,3
SLC8A1,3
GRM5,3
RNF130,3
FXYD6,3
SRCIN1,3
GRIP1,3
PCGF2,3
SLC35B2,3
SESN2,3
OLFM3,3
KLF13,3
USP46,3
MGMT,3
AKT3,3
APBA1,3
EPB41L1,3
ARFGEF3,3
TRAF4,3
TNS2,3
NLGN1,3
TMED3,3
NTM,3
DDN,3
ATAD1,4
SLC6A7,4
CYP46A1,4
SMG7,4
LMTK2,4
GREM2,4
INKA2,4
NRXN1,4
RSPO2,4
RASGRF2,4
KCNG1,4
FHL2,4
GABRA4,4
FKBP3,4
FOXK1,4
ATP5F1E,5
NEURL1,5
MRPL51,5
TUBGCP4,5
CBLN4,5
ENGASE,5
COX4I1,5
COX8A,5
ETFB,5
RBIS,5
SLC22A5,5
MCFD2,5
DNPEP,5
DUSP6,5
SETD3,5
LDHB,5
NDUFB4,5
TRIM9,5
ANKRD29,6
LPL,6
NAAA,6
SELENOS,6
TMCC2,6
TIAM2,6
OTUD4,6
CDH13,6
DGKA,6
SH3GLB1,6
CADM1,6
NADK,6
