,0
SPHKAP,0
SLC27A5,0
CELF1,0
SLC2A13,0
PANX1,0
SLC35A1,0
CDH22,0
OTULINL,0
ZBTB18,0
RAB11FIP4,0
OTUD4,0
RABEP1,0
ZBTB46,0
GLRA3,0
GNAZ,0
GOLPH3,0
RAPGEFL1,0
CAMK1D,0
SLIT3,0
CA10,0
RASGEF1C,0
ZMYND8,0
GUCY1A2,0
NRXN2,0
BEND6,0
BDH1,0
SLC25A29,0
FBXW11,0
PTP4A1,0
PCSK2,0
PNCK,0
TRUB2,0
PNMA1,0
PLXDC1,0
DACT3,0
DLG3,0
PLPPR3,0
DPYSL5,0
SIAH1,0
TNFSF9,0
SIAE,0
SHISA9,0
RASGRF2,0
TTYH3,0
TMOD3,0
SLC12A5,0
CPEB3,0
TMEM65,0
COQ2,0
COPG1,0
PPP2R2C,0
PRR36,0
CNFN,0
TMEM163,0
CHPF,0
UNC119,0
ELMOD2,0
HMGCLL1,0
TET2,0
PM20D2,0
SDC3,0
KCNIP4,0
ARID5B,0
ZNF341,0
KCNJ4,0
ARHGEF7,0
LSM11,0
SCN3B,0
SMYD5,0
ADGRL1,0
ARHGAP20,0
KIF21B,0
MTPN,0
RTL6,0
APBB2,0
LPL,0
LMTK2,0
ST3GAL5,0
LIMCH1,0
LIMS2,0
KIAA0408,0
ARMCX2,0
JUP,0
SYT3,0
SYNPR,0
ATP2B2,0
ATP1A1,0
ARPP19,0
MARCHF9,0
MARCKSL1,0
ZNF706,0
ATRN,0
SMG7,0
SYNE1,0
BACE1,0
ASAH1,0
ARPP21,0
ACTN2,0
TMEM9,1
PDE1A,1
DIRAS2,1
LMO3,1
PHTF2,1
MEAF6,1
SS18L1,1
SPRY2,1
METTL5,1
LRRN2,1
TRIP13,1
MINDY2,1
MACIR,1
MYADM,1
SSTR2,1
NPPC,1
PCSK5,1
HTR1A,1
NOL4L,1
HAGHL,1
NSF,1
DIRAS1,1
IGSF21,1
NTSR1,1
NUAK1,1
NKAIN2,1
SYN2,1
GMFB,1
GLRX2,1
NFIL3,1
SLC30A4,1
STUM,1
FOXP2,1
KCTD21,1
TMEM108,1
TMEM121B,1
SNCB,1
FAM168B,1
ST8SIA3,1
TMEM161A,1
FAF1,1
F12,1
SLC24A2,1
NAV3,1
IFI6,1
BDNF,1
ATG16L1,1
ATF4,1
RHBDD2,1
ANKS1B,1
ZDHHC22,1
COQ5,1
ANP32A,1
UHMK1,1
AP3M1,1
ZNF529,1
PTGES3,1
ASIC2,1
BHLHB9,1
CDH13,1
WNT7A,1
RGS17,1
SELENOI,1
SERINC1,1
RFX7,1
PTPRK,1
ARL1,1
CDS1,1
CPVL,1
QSOX1,1
ATP8A2,1
RASL11B,1
PNMA2,1
CRHBP,1
ADCY1,1
SERTM1,1
ABL2,1
RXFP1,1
ADRA2A,1
CRTAC1,1
RAP1GAP2,1
RALYL,1
PPM1E,1
AKAP6,1
TSFM,1
SENP2,2
TCEAL4,2
NRN1,2
RBM23,2
ARRDC4,2
HTR2A,2
NPAS3,2
B3GALT1,2
REPIN1,2
ITGB8,2
SLURP2,2
ATL3,2
ARAP1,2
KCND3,2
SPCS1,2
ABHD11,2
MDM4,2
MAP3K7,2
ACAP1,2
SPATA7,2
SNW1,2
MRPL13,2
MSANTD4,2
SCHIP1,2
RPH3A,2
SMURF2,2
SNRPD2,2
LIX1,2
ANKRD29,2
LIMK1,2
N4BP2L2,2
NAALADL1,2
KIF9,2
NDUFA2,2
RGS5,2
KCTD6,2
ARHGEF6,2
KCNJ16,2
ALKBH5,2
HIGD2A,2
DCXR,2
DENND11,2
FOXK1,2
VSTM2A,2
FHL2,2
FGF1,2
SETD3,2
CHORDC1,2
CHST7,2
PDHX,2
EPB41L3,2
PES1,2
PAPSS2,2
TUBGCP4,2
ELOB,2
ELN,2
POLG,2
TOGARAM1,2
PIP5K1B,2
TRIM9,2
SKIV2L,2
DNAJC7,2
CWC25,2
CYB5B,2
EMC9,2
CDKN1A,2
UQCRB,2
PACSIN3,2
BMT2,2
BOLA3,2
RASGRF1,2
BZW1,2
GRIP2,2
SLC6A7,2
OSCP1,2
TFRC,2
TIMM10,2
DOT1L,2
G3BP1,2
CASKIN1,2
GAPDH,2
NECTIN1,3
RASGEF1A,3
SLC10A4,3
NIPA1,3
RPS6KA4,3
PNOC,3
PIGT,3
NTM,3
NR2F1,3
RYR2,3
PNMA3,3
MBOAT7,3
PITPNM3,3
PTPRT,3
RASIP1,3
NEUROD6,3
SERTAD2,3
SMARCA1,3
SLC25A38,3
PTPRD,3
PTMS,3
NRSN2,3
SMARCD3,3
PRKCG,3
NADK,3
SHANK3,3
SHISA6,3
SLC16A2,3
RABGGTA,3
PDZRN3,3
RAB27B,3
NXPH1,3
NEXMIF,3
RHEB,3
PGAM5,3
RIMS3,3
RNASEH1,3
RNF34,3
MYCBP2,3
MPG,3
RUNDC3A,3
CCT6A,3
CCDC184,3
FJX1,3
TMED3,3
FRMD4A,3
CAMLG,3
TLN2,3
TIMM22,3
GJC1,3
GLOD4,3
ZDHHC23,3
GPR63,3
TET3,3
CSNK1D,3
GRM7,3
GSK3B,3
GTF3C5,3
ZBTB34,3
TENM1,3
TMEM181,3
CDK5R1,3
CSPG5,3
TUSC2,3
CTNNA2,3
TTPAL,3
DCLK1,3
DIPK2A,3
CNTNAP2,3
DMAP1,3
TRIO,3
DOCK9,3
CHST2,3
UST,3
TRIM22,3
TMOD2,3
EML2,3
WFDC2,3
CDYL2,3
TMEM259,3
BBC3,3
GREM2,3
HSPA4L,3
AKR1C2,3
KIAA0930,3
KIFC2,3
KLF6,3
TCEAL1,3
ST6GAL2,3
LCMT1,3
AKT3,3
LMBR1,3
LYPD6B,3
MACROD2,3
MAFB,3
MAGEH1,3
MAP7D1,3
ZNF768,3
ABI3BP,3
LRFN4,3
KCNH5,3
CRLF1,3
ARMC10,3
BACH2,3
KAT5,3
ATXN1,3
ANAPC5,3
ZNF385B,3
IFT80,3
ARMCX1,3
ARHGAP44,3
ARID1A,3
ADGRB3,4
SCD5,4
SH2B3,4
CNTNAP4,4
RALBP1,4
BRWD1,4
COL5A2,4
BCAT1,4
PPP1R1B,4
S1PR1,4
COL4A1,4
AGL,4
USP46,4
CANX,4
VIT,4
C1QB,4
CEP85L,4
AK2,4
SCPEP1,4
CACNG8,4
SESN3,4
ARFGEF3,4
SDK2,4
RNASET2,4
ZNF672,4
CAPRIN1,4
ADI1,4
AKAP13,4
MASP1,4
TTYH1,4
H2AZ2,4
PPCS,4
IFI27L2,4
TANGO6,4
NOTCH1,4
IGFBP2,4
IMPDH2,4
ING3,4
NKAIN3,4
ITM2A,4
GRM3,4
ITSN1,4
STYX,4
NEURL1,4
KCNQ2,4
MYORG,4
LRATD2,4
LRRC6,4
MRTFB,4
SRCIN1,4
MAGEE1,4
MCFD2,4
JAM2,4
NUDT3,4
HIPK1,4
GMFG,4
CTNND2,4
DCUN1D4,4
PLXDC2,4
DLC1,4
PITPNC1,4
EPB41L1,4
ERC1,4
EZR,4
DUSP22,4
PCGF2,4
FXYD6,4
FXYD1,4
FAM171B,4
SEPTIN8,5
SPP1,5
TSPO,5
SOX4,5
ZFAND3,5
SH3GL3,5
ZNF160,5
TM7SF2,5
STAG1,5
SCRG1,5
STOX2,5
SGMS1,5
TRIM26,5
SLAIN1,5
SLC38A1,5
ZNF579,5
ZNF22,5
TMEM50B,5
TMCC3,5
TMEM263,5
SELPLG,5
SPON1,5
TNKS,5
AATK,5
RRP9,5
CHN2,5
MBP,5
MON1B,5
CHADL,5
MSMO1,5
CFD,5
MAU2,5
NES,5
CERS5,5
CENPF,5
NPEPL1,5
CENPB,5
NUDT12,5
PACC1,5
NKD2,5
COL11A1,5
MAN1A1,5
COL9A1,5
ENPP2,5
FKBP7,5
FYN,5
GAR1,5
GLTP,5
GMCL1,5
GPRC5B,5
GTF2F2,5
ELOVL6,5
HBP1,5
HIRIP3,5
IFNGR1,5
KPNB1,5
LHPP,5
LMF1,5
PAG1,5
PAXBP1,5
ETHE1,5
PCBP4,5
BBS9,5
BAHCC1,5
BOK,5
PBRM1,5
RFFL,5
ARHGAP12,5
RCOR1,5
RASAL2,5
RAB10,5
AMER2,5
PROM1,5
PRKCA,5
PPP4C,5
CASC3,5
POPDC3,5
PCYOX1,5
PNMT,5
PLP1,5
CD81,5
RRAS2,5
PDE4B,5
PPIE,5
PEX1,5
ENC1,6
TMEM35A,6
EIF3F,6
ELMO1,6
ZNF333,6
EPHA3,6
APIP,6
ACBD6,6
ANKRD65,6
ACSL4,6
EEF1G,6
ZNF708,6
EMID1,6
ARID5A,6
EEF1A1,6
CUX1,6
TRIM28,6
ZBTB10,6
XPR1,6
CDH3,6
CDC42EP3,6
ETFB,6
CCBE1,6
CHCHD2,6
CAMK2N2,6
BRAT1,6
COTL1,6
CSMD1,6
ZFPL1,6
CTIF,6
CUX2,6
DAPK1,6
DCTN6,6
DNAJC4,6
DOC2B,6
DUS3L,6
EBF4,6
VGLL4,6
IGDCC3,6
FAM131B,6
NLGN4X,6
SMARCB1,6
NRIP1,6
NUP93,6
OCIAD2,6
PATZ1,6
PGLS,6
PID1,6
PROX1,6
PTOV1,6
SFT2D2,6
PTPN4,6
RERE,6
RFLNB,6
SEM1,6
RFX3,6
RGMB,6
RHOBTB1,6
SDK1,6
RHOU,6
RNF182,6
ROBO1,6
RPL18,6
RPS27A,6
RRN3,6
NEUROG2,6
EXOC6,6
NAIP,6
MICAL3,6
FAM161A,6
FAT3,6
FBXL5,6
FOXN3,6
FOXO3,6
TENT4A,6
HS6ST3,6
TBCCD1,6
RSL24D1,6
IGFBP6,6
ISOC2,6
ITPR1,6
KCND2,6
KCNJ6,6
KCTD3,6
STK32B,6
STK31,6
KREMEN1,6
ST8SIA2,6
LACC1,6
SST,6
LRRC75A,6
MAD2L1BP,6
MAPK8,6
MB21D2,6
ZSWIM6,6
ZYX,6
