,0
HTRA2,0
MAOB,0
TARS3,0
ZC3H12C,0
CC2D1B,0
PHF13,0
EIF5,0
ZC3H18,0
PHIP,0
PHKA2,0
PHLDA1,0
ELAPOR2,0
PHLDB1,0
CBLB,0
ELAVL1,0
MAL,0
ELL,0
ELL2,0
ZC3H12B,0
TWF1,0
EIF4EBP3,0
EIF4A3,0
PEX7,0
SMARCA5,0
MAP4K4,0
MAP4,0
CCDC25,0
TANGO2,0
PFKFB2,0
EIF3F,0
PFN1,0
EIF3G,0
MAP3K11,0
EIF3I,0
ZBTB8OS,0
PGD,0
SMAD2,0
PGRMC2,0
PHACTR1,0
EIF4E2,0
CAST,0
PIAS4,0
PICALM,0
PIK3C2B,0
PIK3C3,0
MACROD2,0
PIK3CD,0
TBC1D15,0
MACF1,0
LZTS2,0
TBC1D23,0
PIP4K2A,0
TBC1D25,0
ZDHHC15,0
ENDOD1,0
LYPLAL1,0
ENKUR,0
ZDHHC17,0
TBC1D7,0
ENPP2,0
ZDBF2,0
PIH1D1,0
CAPN7,0
SLC7A8,0
CASP2,0
TAX1BP3,0
ZCCHC17,0
TAZ,0
CASD1,0
PIGC,0
PIGF,0
PIGG,0
SMARCAL1,0
TBC1D1,0
ELOVL6,0
ELP2,0
TBC1D12,0
PIGT,0
PIGU,0
EMC1,0
PIGV,0
MAD2L1,0
ZCCHC7,0
ENTPD2,0
CCDC47,0
MAP6D1,0
YIPF6,0
CDC73,0
PCBP4,0
UBE2L3,0
CDC42SE1,0
PCCB,0
MCMBP,0
PCDHB10,0
UBE2H,0
EARS2,0
ECE1,0
SMTN,0
YTHDC1,0
YTHDF2,0
PCNA,0
CD82,0
CD81,0
CDH11,0
MCAM,0
PC,0
YIPF3,0
CDK7,0
DYNC1I2,0
PAQR4,0
PAQR6,0
DYNC1LI2,0
CDK4,0
DYNLL1,0
SNAPIN,0
PARN,0
PARP1,0
DYNLRB1,0
PATL1,0
PATZ1,0
PAXBP1,0
CDIP1,0
PBLD,0
CDH7,0
PBRM1,0
MBP,0
SMOC1,0
CD38,0
CCND3,0
UBA3,0
CCNC,0
CCNB1IP1,0
PDPN,0
PDSS2,0
SMCR8,0
PEA15,0
CCDC90B,0
EHD1,0
EI24,0
EIF1AD,0
SMC2,0
CCDC80,0
PEX1,0
PEX10,0
MAP7D1,0
UBA6,0
PDIA4,0
ZBED5,0
MARCHF8,0
EDIL3,0
MBNL2,0
CD2BP2,0
PCYOX1,0
PCYOX1L,0
CD22,0
PCYT1A,0
MAX,0
CCDC50,0
CCT5,0
CCT2,0
CCSER2,0
MATN2,0
PDE1A,0
PDE4B,0
UBAP2,0
MARCKSL1,0
ZBED1,0
MAU2,0
TBC1D9B,0
SLC6A9,0
EP300,0
BCS1L,0
LARP1B,0
ZKSCAN5,0
BCLAF3,0
PPIE,0
SLC35A5,0
SLC35A2,0
LAPTM4B,0
BCL7B,0
BCL2L1,0
LAMTOR2,0
LAMP2,0
PPOX,0
BCKDHB,0
BCHE,0
