,layer,sample_id,psbulk_n_cells,psbulk_counts,condition,layer_c
151507_L1,L1,151507,660.0,952011.0,spatial_libd_human,1
151508_L1,L1,151508,702.0,831032.0,spatial_libd_human,1
151509_L1,L1,151509,1137.0,1593570.0,spatial_libd_human,1
151510_L1,L1,151510,1122.0,1484205.0,spatial_libd_human,1
151673_L1,L1,151673,221.0,399606.0,spatial_libd_human,1
151674_L1,L1,151674,362.0,1085134.0,spatial_libd_human,1
151675_L1,L1,151675,222.0,340444.0,spatial_libd_human,1
151676_L1,L1,151676,196.0,467871.0,spatial_libd_human,1
human_759_L1,L1,human_759,500.0,1386297.0,human,1
human_j12_L1,L1,human_j12,331.0,1155734.0,human,1
human_j3_L1,L1,human_j3,110.0,530336.0,human,1
human_j4_L1,L1,human_j4,238.0,1026601.0,human,1
human_j6_L1,L1,human_j6,134.0,335501.0,human,1
151507_L2,L2,151507,297.0,890323.0,spatial_libd_human,2
151508_L2,L2,151508,285.0,715155.0,spatial_libd_human,2
151509_L2,L2,151509,588.0,1751677.0,spatial_libd_human,2
151510_L2,L2,151510,635.0,1710964.0,spatial_libd_human,2
151673_L2,L2,151673,238.0,1296546.0,spatial_libd_human,2
151674_L2,L2,151674,217.0,1507225.0,spatial_libd_human,2
151675_L2,L2,151675,238.0,1154176.0,spatial_libd_human,2
151676_L2,L2,151676,237.0,1039598.0,spatial_libd_human,2
human_759_L2,L2,human_759,406.0,1939829.0,human,2
human_j12_L2,L2,human_j12,175.0,2024934.0,human,2
human_j3_L2,L2,human_j3,98.0,1840478.0,human,2
human_j4_L2,L2,human_j4,234.0,2362265.0,human,2
human_j6_L2,L2,human_j6,109.0,707371.0,human,2
151507_L3,L3,151507,1165.0,3470070.0,spatial_libd_human,3
151508_L3,L3,151508,1264.0,3219638.0,spatial_libd_human,3
151509_L3,L3,151509,1841.0,5858971.0,spatial_libd_human,3
151510_L3,L3,151510,1732.0,5044368.0,spatial_libd_human,3
151669_L3,L3,151669,1544.0,4583555.0,spatial_libd_human,3
151670_L3,L3,151670,1497.0,4188062.0,spatial_libd_human,3
151671_L3,L3,151671,1398.0,5174843.0,spatial_libd_human,3
