"","logFC","logCPM","F","PValue"
"A1BG",-0.0900858904883409,9.15436934530611,0.224293020360231,0.638028654987619
"AAAS",-0.0322907612181364,9.17493386433182,0.0669335519125707,0.796927013271429
"AACS",-0.265867613132245,9.32404718132661,4.93907974788503,0.0320817771996018
"AAGAB",0.00393894933757578,9.26902222798405,0.00260539680916993,0.959438178841224
"AAK1",-0.0470497192842156,9.22950998271924,0.144982286317634,0.705763154272987
"AAMP",-0.00970326708750647,9.44087187602712,0.0215695341386138,0.883589752393521
"AAR2",0.155611295823314,9.23085329902457,2.79534130739089,0.0996892477417191
"AARD",-0.051799143644813,9.14488614030126,0.187071326739672,0.667442597645329
"AARS1",-0.0322725427025453,9.59481762211831,0.467258488788464,0.496122749529857
"AARS2",0.164856676935611,9.16213152011353,1.8038216186935,0.185656463898304
"AASDH",-0.0402240094261063,9.16358740577249,0.0953081832094322,0.758880887766632
"AASDHPPT",0.00792403674113291,9.8654130664025,0.0338208930950841,0.854560967960043
"AASS",-0.052320784712954,9.15559484560744,0.0435127493952956,0.835678560032814
"AATF",-0.00395243153984198,9.17744392226714,9.22962435043863e-06,0.99758808005709
"AATK",-0.157038949331755,9.31380388135987,5.22941983060647,0.0249692359856173
"ABAT",-0.193977856677533,9.67737837607404,10.1495418166213,0.00207930689238822
"ABCA1",-0.128408194792939,9.15501860755777,0.674790732036401,0.415604346400761
"ABCA5",0.0660077492973286,9.16880007025143,0.407173752140265,0.526410889458547
"ABCB1",-0.133363174142004,9.15820349644678,0.885883868976509,0.351436650733138
"ABCB10",0.0517659165261565,9.16402141646216,0.162687963999294,0.688498612512961
"ABCB7",-0.0304039573208096,9.15692234027275,0.0324028450334187,0.857928835624418
"ABCB8",-0.0532205312326206,9.25980088645536,0.441430188199185,0.508741812686664
"ABCB9",-0.0170888342191211,9.20942470031098,0.0187595164874926,0.891642219873929
"ABCC1",0.137521248110438,9.15604333669874,1.13076706984998,0.29311707665995
"ABCC10",-0.0113606002820189,9.20392300859527,0.00831923354219847,0.927656025463965
"ABCC5",-0.0154200689619819,9.29594335830824,0.046913829597524,0.829114126979823
"ABCC8",0.222524059359367,9.19751999850476,5.40728663297368,0.0238556041202555
"ABCC9",-0.159005413599556,9.14880275866954,1.43739293796654,0.236792553485373
"ABCD2",0.0114588937123804,9.22225344028864,0.0163808269455811,0.899097700699839
"ABCD3",0.160391559122982,9.3609665271529,4.91700782451567,0.0294314096148308
"ABCD4",0.179839782843751,9.17974011738975,2.46129014268505,0.122963646298512
"ABCE1",0.173604308659922,9.16694923996893,1.98491306891989,0.165311949327629
"ABCF3",-0.135550548913649,9.23440650577896,2.59481358051035,0.112328486651017
"ABCG2",-0.194146657697146,9.17447596303162,2.23648393741566,0.141151617237319
"ABCG4",0.0555548878282892,9.1831901004506,0.325773077849602,0.570663860235686
"ABHD10",-0.045251820823146,9.27182290556751,0.268137575626475,0.606223799212311
"ABHD12",-0.0753240670877875,9.50038523317285,1.30601397618002,0.256367770370995
"ABHD16A",-0.204337516997214,9.39357806873782,9.14266792354312,0.00333899123692298
"ABHD3",-0.066700431025915,9.15245384258423,0.18874315676799,0.666003655034744
"ABHD4",-0.0684958987613321,9.14885557144852,0.161187862952552,0.689952605838196
"ABHD5",-0.0613131197049028,9.23020399389731,0.273056070454375,0.603894664176417
"ABHD6",0.23153146304677,9.26685085795308,9.48088799124684,0.00300792849925259
"ABHD8",-0.0423735721481553,9.41996277980081,0.199990778419457,0.656760503055256
"ABI1",0.0776139984082253,9.40854669727554,1.26653356691792,0.263650977115501
