"","logFC","logCPM","F","PValue"
"A1BG",-0.273706551507471,9.1979627036423,2.02600289886614,0.162605876265684
"AAAS",0.036036487107313,9.21518969919423,0.0449428677046776,0.833152263597697
"AACS",-0.0321389210630191,9.35898540257383,0.0391909645686041,0.843963529214228
"AAGAB",-0.0528200571292089,9.30772053585979,0.19944606531712,0.656873627968949
"AAK1",-0.054922832200733,9.27237997424497,0.107483813716872,0.745133036248672
"AAMP",-0.0746901677402919,9.47529495241772,0.606312319004124,0.438854011341044
"AAR2",-0.0674638955684978,9.2713542406733,0.234113915268411,0.630606185127675
"AARS1",0.105165153243062,9.62975159216228,2.5899207447867,0.112054587808436
"AARS2",0.0634413863341598,9.20272072180743,0.142773235731618,0.707558740103074
"AASDH",-0.134067067010714,9.20525583159512,0.560327129885799,0.458512118576521
"AASDHPPT",-0.0928964742434525,9.89102576161238,1.84547567550801,0.178958816168735
"AASS",0.181191613361647,9.19451724853573,1.11027738717134,0.298576305422356
"AATF",0.11772794853985,9.2193263490117,0.545084917097905,0.4644471049243
"AATK",-0.0413191027618115,9.35357347674336,0.165638683258881,0.685406937957737
"ABAT",-0.121248141511439,9.70503513020065,2.19954599540568,0.142713252065286
"ABCA1",0.161935361657407,9.19643029249824,0.890718661424329,0.351121437721726
"ABCA5",0.0261216909055053,9.21004028784279,0.0499492849496279,0.824273591423463
"ABCB1",-0.0113684306065986,9.19967509889024,7.61154878537894e-05,0.993083220045426
"ABCB10",0.0358491177743919,9.20457515551599,0.0399633384690979,0.842570110924613
"ABCB7",0.128600846200062,9.19697743840777,0.508106137339214,0.48021876157173
"ABCB8",0.0205883119916973,9.29493120978274,0.0310791876963649,0.860733105438434
"ABCB9",0.0604278896002162,9.24828065319529,0.150726351265872,0.699997279744287
"ABCC1",0.0247661172735311,9.19640058712604,0.0219763418563678,0.882917303039234
"ABCC10",-0.142113796485059,9.24386458199896,0.908338193513635,0.345573919131678
"ABCC5",0.00598305946963503,9.33937339813323,0.00421436680664344,0.948449712283473
"ABCC8",-0.113647502604288,9.23755733058512,0.558114861323406,0.45895121473056
"ABCD2",-0.163746276453572,9.26335963268255,1.1040354973369,0.299404678245331
"ABCD3",-0.118481951655175,9.39713901741082,1.15133755654256,0.287240233037073
"ABCD4",-0.0508818844390263,9.22058844630023,0.0740997285252403,0.786799174068084
"ABCE1",0.0426236485057298,9.20734858944812,0.0681207502203746,0.795430338170306
"ABCF3",0.0283815965053638,9.27383056467049,0.0614083244442506,0.805288986283967
"ABCG2",0.0314381763156647,9.21704579691469,0.086216887191086,0.770508590535428
"ABCG4",-0.293866714210192,9.22239743920344,3.32308101980039,0.0753972103949298
"ABHD10",0.0429181162315113,9.31184470626056,0.151964689334032,0.698117639619833
"ABHD12",-0.0455553102668007,9.53234457101467,0.262883438669786,0.609779313621978
"ABHD16A",-0.207282569398576,9.43079426190535,4.79587320583939,0.0320433812058929
"ABHD3",0.0617412674025624,9.19253634161681,0.145638580280477,0.704845923617962
"ABHD5",-0.182376847195767,9.27031063243868,1.18181868913756,0.284686978990298
"ABHD6",0.134369833675875,9.29759143573654,1.41510175015009,0.239466533174304
"ABHD8",-0.198971365677093,9.4555884351695,3.21262805171383,0.0780543275577182
"ABI1",-0.107153008134306,9.44923825036446,0.977924230695331,0.326500909562278
"ABI2",-0.119284453202785,10.0182862715437,4.30798469645512,0.0420631534499462
"ABI3BP",0.212765728839552,9.21446592729489,1.68507084822544,0.201483144323859
"ABL1",0.0863338665816191,9.26596511702191,0.431225811853797,0.514438752259667
"ABLIM3",-0.0742893175726711,9.33463219070197,0.23923055990114,0.627589038195721
"ABRACL",0.0964290395795477,9.26432948036621,0.542561996237717,0.464858816141765
"ABRAXAS2",-0.0935029789362654,9.24539764902599,0.404183468713646,0.528080584708959
"ABT1",-0.175601849353736,9.20197480769814,0.871289442522062,0.356265449799105
"ABTB1",0.0356508066925939,9.33483235532887,0.112323289650601,0.738670259530841
"ACAA1",0.0618121361897778,9.33158337116334,0.320194931076943,0.573619127872858
"ACAA2",0.0369922893259773,9.2418549326082,0.0871692384304485,0.769153849535254
