"","logFC","logCPM","F","PValue"
"A1BG",-0.00954998575082717,8.70796237238451,0.00152727978394572,0.969002803906194
"AAAS",-0.0346645201616847,8.41585929769925,0.0792689128246405,0.779998738068141
"AACS",0.115788734482661,8.5372707034641,3.1964956953579,0.0792388296463822
"AADAT",-0.233673926705293,8.53466582470589,8.96390161433709,0.00425965635255096
"AAGAB",0.02478584320875,8.46864351551946,0.0840598903279718,0.77325874634515
"AAK1",0.151225604692764,8.72687675700459,4.5677353289316,0.0364188136107614
"AAMDC",-0.113431257717537,8.36578690473965,0.466740403025412,0.501363587157701
"AAMP",-0.117204983784485,8.71339784599706,4.21582542034998,0.0441909120841773
"AAR2",0.00688538400812814,8.49241982674406,0.0125863940602284,0.911170391863237
"AARD",0.0107445485653328,8.3496412901491,0.0180668075221904,0.894416496436252
"AARS1",0.0768119216005001,8.60268873013375,1.56514874018718,0.215357117331563
"AARS2",-0.00287321983682769,8.3861341777804,5.13393568330387e-05,0.994335376593913
"AASDH",0.0793591523203876,8.37822649908549,0.44192846986955,0.512217601093789
"AASDHPPT",0.28097086105201,9.22266982085872,21.9939192727509,1.79559517020454e-05
"AASS",-0.183032079034696,8.34940713190069,1.06521704568097,0.31462191557575
"AATF",0.0107670008293744,8.43222248192834,0.0126859138077577,0.910939417292379
"AATK",0.273118087143824,8.52133063870587,14.8357539098623,0.000319640474548303
"ABAT",0.120940345212113,8.90595148623618,5.92720180560767,0.017747188023592
"ABCA1",-0.106333759597099,8.3692100316391,0.239030851731747,0.629455433741383
"ABCA2",0.0729395859113395,8.63286806144607,1.11840186654174,0.294483903951278
"ABCA3",0.16312855220552,8.83022481614085,7.44149841204794,0.00822471101643318
"ABCA5",0.0260568419087979,8.52467992602796,0.11688868120868,0.733782594254972
"ABCB1",-0.104573595062618,8.37278657839931,0.198131951163727,0.660198394853456
"ABCB10",-0.0155575207635332,8.43045468060266,0.0141339286083634,0.906067362698933
"ABCB7",-0.0817322350284529,8.41183602750099,0.745788079382396,0.394085638424094
"ABCB8",0.0868751684074178,8.47072362411092,1.21845677627571,0.275278431007555
"ABCB9",-0.0129108673692021,8.41341413936964,0.0135059363336257,0.908219105553117
"ABCC1",-0.0943993382075139,8.37730313517173,0.359284432509679,0.554321335001393
"ABCC10",0.0642728693883528,8.43307376671427,0.536319001386869,0.468369775376897
"ABCC12",0.011171520821287,8.34865763232541,0.0159660817199547,0.900717987743586
"ABCC4",-0.0911666745773233,8.35467040896355,0.233280707908184,0.634136259257369
"ABCC5",-0.105307013346455,8.54900890960246,1.59366912169042,0.212317701705223
"ABCC8",0.103753252061682,8.42937427849393,1.4596704222134,0.234768978332049
"ABCC9",0.222597588020275,8.36035966655046,3.38187211625029,0.0795505559411247
"ABCD1",0.00341094343035917,8.36263590284153,0.00153508581790884,0.969096534466871
"ABCD2",-0.160814511187286,8.39042314093021,1.88165914130449,0.181066276764721
"ABCD3",-0.198058587557449,8.58918486784844,5.11383436107548,0.0274191869550139
"ABCD4",-0.210540226790511,8.46602283390544,5.27100544808176,0.0267347802791882
"ABCE1",-0.0187858141610129,8.57669009992908,0.0871228959476212,0.768896944858782
"ABCF1",0.0783516140734575,8.51097661058401,1.21771300928699,0.274723905450451
"ABCF2",-0.0396780250474376,8.48737709392033,0.225768842798442,0.636808345867542
"ABCF3",-0.0262189215205778,8.44786699269308,0.0683647697613625,0.795068600855388
"ABCG1",-0.0420625585285615,8.36244178388067,0.0807405259655655,0.77893481659817
"ABCG2",0.0115218210241052,8.37424652398068,0.0465949304418181,0.830885979754969
"ABCG4",0.0711376353978661,8.38467511981843,0.423670680974254,0.520652440169546
"ABHD10",0.145114714453125,8.61118505720282,5.10878844035492,0.0275568869074189
"ABHD11",-0.105696884362565,8.37409359520899,0.734246191552321,0.399943542254382
"ABHD12",0.0279675909366272,8.65680665109752,0.142586219187378,0.706989844310276
"ABHD13",0.0340775252596607,8.47561197848529,0.138652256321938,0.711263664872479
"ABHD14B",-0.0476463584626351,8.35029188089442,0.116418698673732,0.736485724613967
"ABHD16A",-0.100871788680209,8.39095499999727,0.737652419833913,0.39761940515035
"ABHD17A",-0.107554863105581,8.91966846853447,5.0719994732804,0.0278714836305445
"ABHD17B",0.121723862879968,8.53031836624332,2.42765622742414,0.125033028742334
