"","logFC","logCPM","F","PValue"
"A1BG",-0.469290799926519,8.70796237238451,5.46103687707831,0.0240545351886738
"AAAS",0.0449496269709897,8.41585929769925,0.096263324162297,0.758256427175572
"AACS",-0.19735807515124,8.5372707034641,4.92343836246695,0.0305885934850577
"AADAT",0.161245247524275,8.53466582470589,3.24733563344134,0.077523836866508
"AAGAB",-0.214562577560393,8.46864351551946,3.03736170497264,0.0884958051730542
"AAK1",-0.285186862499233,8.72687675700459,8.01246714413061,0.00620598127846267
"AAMDC",0.433658035904881,8.36578690473965,6.44630159369055,0.0183993485325554
"AAMP",-0.0691526044358866,8.71339784599706,0.853495835454109,0.359077697514939
"AAR2",-0.11857047166557,8.49241982674406,1.59590655650769,0.212963922723775
"AARD",0.0659846052917284,8.3496412901491,0.152035698411915,0.700709418163693
"AARS1",0.051122805720911,8.60268873013375,0.404854992750171,0.526806796509461
"AARS2",0.0624976866513179,8.3861341777804,0.158112298567433,0.694003661298328
"AASDH",0.127225407372934,8.37822649908549,0.64368607022399,0.429863783645957
"AASDHPPT",-0.424428911316693,9.22266982085872,22.9252296974839,1.27068159518034e-05
"AASS",0.365284101940497,8.34940713190069,4.04172609904563,0.0583809311730815
"AATF",0.0972083867619695,8.43222248192834,0.575469796487272,0.452962327611197
"AATK",-0.132647133738126,8.52133063870587,1.75100793778726,0.1914600804663
"ABAT",0.0203133876711297,8.90595148623618,0.0975385630633743,0.755832741264795
"ABCA1",0.477599241680433,8.3692100316391,7.5657027652089,0.0112801123725905
"ABCA2",-0.13085532922859,8.63286806144607,1.95560415676832,0.167109599471723
"ABCA3",-0.13242276344067,8.83022481614085,2.56829464251826,0.113967981876247
"ABCA5",-0.177349431878517,8.52467992602796,2.12410929559916,0.150883260696617
"ABCB1",0.572496163849508,8.37278657839931,11.7625687446476,0.00217879043817585
"ABCB10",0.201922434072077,8.43045468060266,1.96297193121733,0.170285946867353
"ABCB7",-0.0331965895980945,8.41183602750099,0.0665619403978124,0.798022259286728
"ABCB8",-0.133416084737853,8.47072362411092,1.56770412684759,0.216730552638519
"ABCB9",-0.0194929125347439,8.41341413936964,0.0182083309563117,0.893518364747435
"ABCC1",0.215684191118519,8.37730313517173,1.61214307191197,0.215933773938486
"ABCC10",-0.23524545776774,8.43307376671427,3.6350670948151,0.0640108313032586
"ABCC12",-0.121085289900971,8.34865763232541,0.50646434946066,0.484937566062554
"ABCC4",0.214875866662027,8.35467040896355,1.61076154411312,0.218374605610929
"ABCC5",0.212180242624561,8.54900890960246,4.27850764334473,0.0434809655087593
"ABCC8",-0.137035185219645,8.42937427849393,1.21383416943131,0.277801845306306
"ABCC9",-0.00927591137346964,8.36035966655046,0.0183824522155178,0.893393399252905
"ABCD1",0.0720304728811807,8.36263590284153,0.159451496378116,0.693472931703076
"ABCD2",0.00591848870288472,8.39042314093021,0.0146719331408669,0.904457177762191
"ABCD3",0.256579568744856,8.58918486784844,5.84152437055686,0.018748316250896
"ABCD4",0.3948522972276,8.46602283390544,12.8539353532799,0.000869556417123464
"ABCE1",-0.093511887247925,8.57669009992908,1.24322825838827,0.269342964632387
"ABCF1",0.16095970119964,8.51097661058401,2.91195866712238,0.0936947774416715
"ABCF2",-0.0439876633133062,8.48737709392033,0.157349601443653,0.693345594434231
"ABCF3",-0.155169320245419,8.44786699269308,1.43904506752963,0.237321212855695
"ABCG1",-0.0551723537290223,8.36244178388067,0.0849864578848605,0.773362056916344
"ABCG2",0.256087614142077,8.37424652398068,2.63088910692977,0.117609666153992
"ABCG4",-0.134638476629905,8.38467511981843,0.810618333536713,0.375955906312165
