"","logFC","logCPM","F","PValue"
"AAAS",0.0581667699237681,8.86790252386755,0.176244820495312,0.679499073223536
"AACS",-0.13599836564969,9.28074447430762,1.99418395661429,0.164275522771158
"AAGAB",0.0542822409970552,8.9683978676624,0.46330458798035,0.500550794815173
"AAK1",0.136590998639036,8.89188559964712,1.14930215408554,0.295399469490921
"AAMDC",-0.0124459823484014,8.88170960045301,0.0122139137435848,0.913097354964246
"AAMP",-0.0354744118066757,9.21512352811097,0.292109081027709,0.591164248967461
"AAR2",0.0919043164331802,8.95677640332251,1.3618924710009,0.251275337943739
"AARS1",-0.158483540619207,9.56825063189578,5.499702531471,0.0230738979930864
"AARS2",-0.0625812232185362,8.9211067606403,0.286280398799565,0.59710957901516
"AASDH",0.0192296464367571,8.91605182620745,0.0393002615802591,0.844376971219748
"AASDHPPT",0.104298655964472,9.70743121778739,3.27023470338551,0.0769152626832765
"AASS",-0.0634455122968659,8.89607693839163,0.000554310536250722,0.981427494387929
"AATF",0.151740723190032,8.9015862464806,1.76812128125634,0.196288262877631
"AATK",0.302454390149936,9.18720997791566,9.46539290303723,0.00359166757395677
"ABAT",-0.229679565788175,9.38714198310398,12.3111069921498,0.000957475630420819
"ABCA2",0.139239317702481,9.36451796494343,2.18298709635298,0.147139474928252
"ABCB1",-0.0599118845706978,8.87247900533285,0.030565651109636,0.863100837541056
"ABCB7",-0.00892085871361161,8.93468993882337,0.000743591778247621,0.978428291107709
"ABCB8",-0.0542887601474504,8.88238603259534,0.123945611486073,0.728414108443927
"ABCB9",0.0786349253195569,8.93945370817848,0.609955812243097,0.440866308182416
"ABCC10",0.045628537461471,8.97805915235537,0.333404248448185,0.567378320481225
"ABCC5",-0.0419569224756275,9.00510705235911,0.186814508031069,0.667976974039924
"ABCC8",0.163466029861429,8.90286787538577,1.91443749783684,0.179312023536681
"ABCD1",-0.119762026357928,8.86551143379524,0.422145559812615,0.52408967149835
"ABCD3",0.0781805312962225,8.92583245131242,0.536793921078201,0.469951615383008
"ABCD4",0.179476297144953,8.91888882575356,1.48783570833169,0.238987746476798
"ABCE1",-0.00207047780171599,9.0879398223715,0.000399608082347477,0.984139203467636
"ABCF1",0.0349983217880055,9.11430513775678,0.286263820984078,0.595154603472613
"ABCF2",-0.137669604498389,8.94978640384274,2.41657562379873,0.129943928973647
"ABCF3",-0.0575146082118459,9.08711873891603,0.439962253889715,0.510396130428673
"ABCG1",0.0449190175442707,8.89367495605339,0.168190052127918,0.685640109356053
"ABCG2",-0.105453074682652,8.86252766388089,0.295003698810409,0.593845316635754
"ABCG4",-0.116330453430679,8.94468582392316,1.17677713562026,0.28628892561044
"ABHD10",0.124287922599101,9.14402169327357,3.58822876718783,0.0644944675882805
