"","logFC","logCPM","F","PValue"
"AAAS",0.0125420672251696,8.86790252386755,0.00780174686952733,0.930574055077747
"AACS",-0.214149643292994,9.28074447430762,3.22000414687486,0.0789646607060038
"AAGAB",-0.350290761991779,8.9683978676624,9.60402452637816,0.0038116926796496
"AAK1",-0.129354667835538,8.89188559964712,0.62626037597163,0.437241174922226
"AAMDC",0.11210228859312,8.88170960045301,0.605324432954709,0.445629112099013
"AAMP",0.038775903115777,9.21512352811097,0.23309263042911,0.631252941398729
"AAR2",0.173177425486543,8.95677640332251,3.14525355946255,0.0850459018351968
"AARS1",-0.162557340116112,9.56825063189578,3.78599166403792,0.057376201025733
"AARS2",0.049928272220516,8.9211067606403,0.135859512114923,0.715383012530088
"AASDH",0.0886147175779882,8.91605182620745,0.380950000442976,0.542393963972669
"AASDHPPT",-0.293550515146365,9.70743121778739,14.6194323805651,0.00038451868176319
"AASS",0.745778784989933,8.89607693839163,24.0193755529785,6.5942446706779e-05
"AATF",0.353601839114486,8.9015862464806,5.87883931557231,0.023338155876448
"AATK",0.972620448989407,9.18720997791566,75.4564395867794,4.19450780258274e-11
"ABAT",0.0116298603674997,9.38714198310398,0.0273866030250545,0.869221159154833
"ABCA2",0.634978581546178,9.36451796494343,33.768346149509,7.87734775931551e-07
"ABCB1",-0.122712120267678,8.87247900533285,0.245931335660905,0.625760032933658
"ABCB7",0.237237687898775,8.93468993882337,2.76031235314592,0.107185891850601
"ABCB8",0.197276222879909,8.88238603259534,1.26864568310072,0.273130667413579
"ABCB9",-0.0105353370301732,8.93945370817848,0.00489265107563886,0.944695241141824
"ABCC10",-0.320866960287852,8.97805915235537,7.66441410315152,0.00896482331481521
"ABCC5",-0.192829527555177,9.00510705235911,2.83507129299481,0.100266995473963
"ABCC8",-0.116939906628552,8.90286787538577,0.576035447775905,0.455321958690609
"ABCD1",0.282240696482935,8.86551143379524,2.0070341507011,0.173678300815885
"ABCD3",0.568382235702584,8.92583245131242,15.0352440245642,0.000595276255289946
"ABCD4",1.14025002211426,8.91888882575356,30.4906131571742,3.5596781221498e-05
"ABCE1",-0.0543373078379659,9.0879398223715,0.195664219349798,0.660353700962051
"ABCF1",-0.179441755080131,9.11430513775678,4.45315044203319,0.040203245358209
"ABCF2",-0.0157567316548718,8.94978640384274,0.0156683697988899,0.901173465788189
"ABCF3",-0.097646826952458,9.08711873891603,0.82570406421057,0.368175357190498
"ABCG1",-0.158826607476202,8.89367495605339,0.962489873120381,0.337088738913364
"ABCG2",0.171075280338965,8.86252766388089,1.08154005820242,0.312431424330934
"ABCG4",-0.286042821834979,8.94468582392316,4.91719785671107,0.0339717969576946
"ABHD10",-0.350580622183265,9.14402169327357,14.8227917381902,0.000363455643643822
"ABHD11",-0.136321704957436,9.01553892544287,2.71294895891781,0.107337675721541
"ABHD12",0.126347253031233,9.28155378220373,3.16812267535093,0.0811916374029649
"ABHD13",-0.155166319900015,8.94812233862959,1.7107165475286,0.200217755307645
"ABHD16A",-0.0201407377330141,9.14635143270606,0.0417051028991427,0.839052471844449
"ABHD17A",0.0333047871781416,9.63852203168645,0.38041091797018,0.540250725850431
"ABHD17B",1.18328691187378,9.08659373329914,64.7924017690654,1.06869910124443e-09
"ABHD2",0.25747490278068,9.21963034293113,11.1917829715962,0.00152101839785252
"ABHD3",0.539916676609207,8.92577020194143,17.2937443935137,0.000288625203823205
"ABHD4",0.829243957634284,8.88777469633021,27.2905046459555,3.51848190120523e-05
"ABHD5",0.133670488879395,8.87049786012479,0.588668395789594,0.452586171010269
"ABHD6",0.13899174793462,9.07791765558669,2.01680837711519,0.162453237260606
"ABHD8",-0.537861155876095,9.06159023375996,23.3894551887222,2.00459951289638e-05
"ABI1",0.0416185239528589,9.25655794829409,0.182377769939125,0.67115691471429
"ABI2",-0.192630933285358,9.55815750876346,6.95693761727503,0.0114353655225095
"ABITRAM",-0.223330309258297,9.01683380217008,3.2028451842596,0.0809899214083344
"ABLIM3",0.627973699804293,8.94777641594961,29.4331205699465,5.79960280474074e-06
"ABR",-0.230748515552994,9.99597937555913,12.5440948515083,0.000968168712796164
"ABRAXAS2",0.106469134323345,8.92530676532877,0.615109309674073,0.439493958265244
"ABT1",-0.14950333505393,8.97372562485788,1.69359522934479,0.201379919088952
"ABTB1",0.0925199926494888,9.05712139741648,1.03109323997977,0.315366332725788
"ABTB2",0.546687286573212,8.86003757607414,9.42398293326825,0.00684797449753079
"ACAA1",0.305092604929482,9.00010272036035,6.82503239808524,0.012581627150868
"ACAA2",0.107137322432365,8.9136278086275,0.779645362239688,0.385420145252812
"ACAD10",0.657455627076415,9.24835877732349,39.6040013488154,5.45260539016382e-08
"ACAD8",0.1007295756542,8.9029115262585,0.531822482603201,0.472938477804414
"ACAD9",-0.507290576577933,9.01555814253318,23.3334392382386,2.13878716535417e-05
"ACADM",0.110823233366329,8.94409750412279,0.968492732673562,0.332590313132787
"ACADS",-0.0221214845239669,8.89371900329264,0.00741005140603184,0.932173510792805
"ACADSB",-0.320716470166986,9.05280663660391,10.6568655663532,0.00217402256681144
"ACADVL",0.542807150518458,9.07911319607637,24.6450285469292,8.59817470521462e-06
"ACAP2",0.361486987462945,8.98417184082883,10.8533199135238,0.00213827644816449
"ACAP3",-0.212454822651011,9.32422248910394,5.09405765665381,0.0288131932345139
"ACBD3",0.296826847210736,8.90606321122895,5.29102716327029,0.0302855828646035
"ACBD4",-0.232454960080248,8.87794110578179,1.97364277240412,0.175593782596894
"ACBD5",0.0991275532182196,9.02938337643868,1.16286145942947,0.286999115897983
"ACBD6",-0.238577158397028,9.01017154432026,4.82162490648548,0.0337562768862675
"ACBD7",0.525053680359419,8.96407581801751,18.967367091171,0.000109963330188637
"ACD",-0.175206477034512,8.89270134417063,1.15639529864332,0.293789157143723
"ACE",0.129419854101358,9.14568877109931,2.87653660212618,0.096201851952295
"ACER2",-0.0317868071500482,8.87153285290309,0.0189952317261698,0.891844189917609
"ACER3",0.314351238009321,8.87226993482893,2.66519279071957,0.119123821833077
"ACHE",0.166516438229794,8.97086060451643,1.16325138143927,0.288662701533188
"ACIN1",0.123924749920884,9.05319595409454,1.78702697392156,0.188205314309452
"ACKR1",-0.409494021058067,8.87082150462944,5.22028744517381,0.0340915842978898
"ACLY",0.14670140919503,9.32776966535537,4.00500670911185,0.0506679002812664
"ACO1",0.382139479319455,8.96696739186128,14.1927584929426,0.000622371662914003
"ACO2",0.127237467363304,9.76451609490683,5.53093414742982,0.0229959272899256
"ACOT13",-0.152239594214273,8.92492790893023,1.1646919291572,0.289813386575742
"ACOT7",-0.42492757411088,9.83893839654571,32.550842457003,8.90335182870612e-07
"ACOT8",-0.155376455353985,8.89405665156198,0.831260057073016,0.371668260256324
"ACOT9",-0.269133591081655,8.89005507539302,2.76567092397104,0.110742869367378
"ACOX1",0.0847539049559145,8.87914110879709,0.292878659057268,0.594400368280408
"ACP2",-0.405320176433364,9.0902676803741,13.1678381711433,0.000714282044217404
"ACP6",0.0871772379121822,8.87058639530534,0.298820990758596,0.591114066253358
"ACSBG1",-0.465970452946228,9.00624415441297,6.88649051716411,0.0131814856258228
"ACSF2",0.47040413719262,8.86120603819148,6.67182281022646,0.0190554695536099
"ACSF3",0.0337363784525338,8.87870184666356,0.0362374277446065,0.850950844291588
"ACSL1",0.888909156043634,8.94615782189865,31.3607992889716,6.64645829984087e-06
"ACSL3",-0.0516971515053587,9.07364698276301,0.299345452770377,0.58699537716399
"ACSS1",0.548658710171444,8.91177753031386,13.559668640076,0.00111867248379849
"ACSS2",0.291354169325301,8.9568039856635,3.5009605080276,0.0710723475694563
"ACTA1",-0.329821857467385,8.90725527481653,2.8633815759106,0.104445842964551
"ACTA2",-0.484724040644213,8.91141753852785,2.38249922789457,0.140934210147266
"ACTB",0.120709538718308,12.2451967939052,5.04797620636748,0.0315543038712623
"ACTG1",0.019305149890662,12.1640801576494,0.166395607416929,0.68600139359653
"ACTL6B",-0.31743041884511,9.15978376728333,7.3993114109196,0.00901766780483915
"ACTN1",-0.728912554588989,9.32008570764353,27.3825973099925,6.50941841530841e-06
"ACTN2",-0.146433240511426,8.9769181235366,1.30476254266761,0.260932127373484
"ACTN4",-0.111820629379582,9.45672306961544,1.56990571621208,0.217148082541577
"ACTR10",-0.122648334035109,9.62321416624022,2.21542880840858,0.143119126375971
"ACTR1A",-0.215527744508388,9.39939277975335,8.51243062547066,0.00521614890117169
"ACTR1B",-0.356896703545999,9.30834941597463,16.8824115466103,0.000153770894398362
"ACTR3B",-0.862332541340366,9.82339564399145,40.6097621817026,1.79139957536815e-07
"ACTR5",-0.13705471791052,8.86462646843125,0.541366897302264,0.471406429475116
"ACTR6",0.160048712984745,9.04911200225024,1.56163061630537,0.218167606842318
"ACVR1",0.00618321706632773,8.95061743337421,0.0031562005531331,0.955548257359469
"ACVR1B",-0.456302996602123,8.91168333543816,8.39648767479665,0.00768231655700761
"ACVR2A",-0.217436436035951,8.92767198207125,2.43881462757732,0.129497128303711
"ADAL",0.0328751354216065,8.87972951393775,0.0508167743070653,0.823940150792795
"ADAM10",0.155370919040582,9.18965826160711,2.52219685532927,0.118671729409884
"ADAM11",-0.73747097029211,9.24940938114885,30.1912597019591,2.08474417451507e-06
"ADAM15",0.4472722518601,8.94048414266182,13.820906742759,0.000803210200537169
"ADAM17",0.502262173754218,8.87973320870449,8.88263711095589,0.00743022623098429
"ADAM19",-0.305431935090149,8.98278658693693,5.25981500141206,0.0278107565209636
"ADAM9",0.0717182558385896,8.9982846482921,0.392597721916286,0.534605220955265
"ADAMTS10",-0.0796785438628765,8.87381772567142,0.150993084583723,0.701872282405367
"ADAMTS3",-0.196319881043471,8.88284823370942,1.14995887715082,0.295977656587504
"ADAR",-0.0438135065214093,9.25833306688886,0.301952538294567,0.58510023978465
"ADAT2",-0.0693030196547944,8.89244492901326,0.21366680429835,0.648426486393626
"ADCK1",-0.341550316168694,8.94174289461451,6.82336356826528,0.0139226737152293
"ADCK2",0.00485541993678783,8.88908704190489,0.00416564362604675,0.949136540023322
"ADCK5",-0.0605536846951688,8.93310265713842,0.253453504401979,0.618422053229942
"ADCY1",-0.236948740578803,9.30072631055854,3.66885704778725,0.0630261941696621
"ADCY2",-0.0943993209545443,9.05705597950697,0.719956175100805,0.40087101923173
"ADCY3",-0.242633518814987,8.99273520312029,3.03086418141655,0.0896895675334991
"ADCY7",0.473544440951417,8.86174209292097,6.34360618312422,0.021702704282535
"ADCY8",0.389486782023927,8.91461391337565,7.08006142291059,0.0132102452707415
"ADCYAP1R1",0.050880719198353,9.23962017815502,0.347447802822062,0.55814909088255
"ADD1",0.163314293235122,9.52620415427172,3.76348683555017,0.0580192932436452
"ADD2",-0.186553585888189,8.86401732005702,0.994023906809423,0.332095966916837
"ADD3",1.44640395356317,9.29954906667807,306.282216123369,4.15071409056151e-23
"ADGRB1",-0.605929087290852,9.57223173081054,24.7740967182939,1.12408864943486e-05
"ADGRB2",-0.628576447123382,9.9453662227535,58.1848685435732,1.28319980538714e-09
"ADGRB3",0.217125591808672,8.85908097426581,1.34263609532846,0.262384993497002
"ADGRE5",0.178382413979723,8.86131962028322,1.12154086354042,0.303998053695084
"ADGRF3",0.33684791123934,8.95792549450139,7.1643827524848,0.0113639552024689
"ADGRG1",0.253714777290319,9.32201704395284,6.27056819398647,0.0156108066656005
"ADGRL1",-0.289130928783869,9.26378182543591,10.173058649515,0.00264690070767744
"ADGRL4",-0.134287264190849,8.86537836868457,0.208314529736158,0.65356167987182
"ADI1",-0.0380312082294473,8.9368625107375,0.0372819808513902,0.848190157088856
"ADIPOR1",-0.24936959627799,9.31690992359912,12.5384887668413,0.000892517341622613
"ADIPOR2",-0.0155809637838871,8.94281296128352,0.0094998019361705,0.922983352128694
"ADK",0.176923948087491,8.99843645147806,3.09849803950332,0.086059869030055
"ADO",-0.308293486498473,9.07832939811817,7.2103825617034,0.0102431236605619
"ADORA1",0.325335525608661,8.96566763591448,10.1138521467878,0.00313911739192999
"ADORA2B",-0.155247153752329,8.88008312785562,0.541044010497501,0.47049415091869
"ADPGK",0.0839446452776111,8.92396950943491,0.386479914920398,0.539254930653558
"ADPRM",-0.110424122663852,8.88715161466003,0.457437202906724,0.50612457869997
"ADPRS",-0.161272043268928,8.98948824002537,2.20407571777723,0.145789910610782
"ADRB1",-0.593191423913487,8.98183870475215,22.4396816408251,3.42505056618629e-05
"ADSL",-0.122765344736472,8.94424564115637,1.11473657904254,0.29912904569979
"ADSS1",0.77293601010669,8.93916074309892,43.4206381198299,4.61383825593986e-07
"ADSS2",-0.310424217366685,9.15483769408165,3.86762721448687,0.0568901985286344
"AEBP1",-0.132054548990106,9.00197295930146,0.448246428737054,0.507349100298192
"AEBP2",-0.201599965438187,9.01799683725719,4.19634283847164,0.0469629155847799
"AFAP1",0.218329599281773,9.01767846172377,3.41586068225969,0.0715434483145664
"AFAP1L2",0.706431937201106,8.91935271998683,21.0335519551118,9.44062738794909e-05
"AFDN",0.199580490248559,8.88586854608216,1.60115953239343,0.219698701531268
"AFG3L2",-0.291941583189515,9.10671581408121,8.85783060106198,0.00465525351273442
"AFTPH",-0.182201953122363,9.10602569945026,4.21486973779879,0.0460921457181087
"AGA",0.531108346140633,8.90542450377909,13.5741491359571,0.00115299265055044
"AGAP2",-0.243874615928397,8.88138395334673,2.14229769647658,0.158650435756212
"AGAP3",-0.301998886631328,9.1329698252358,9.72254661249148,0.00313970674016282
"AGBL5",0.147945251872576,8.87788959849174,0.810013677386744,0.378964464421546
"AGFG1",0.206364696987949,9.01285680137653,4.29089192545566,0.0447280473770148
"AGFG2",-0.173163541547037,8.91127774217801,1.22890329779429,0.277976034491304
"AGGF1",0.225536324281074,9.07661540769863,5.28279688101612,0.0262010488126349
"AGK",-0.354581934399159,9.05190303628339,10.2803300784158,0.00258335248135344
"AGO1",0.102575979842533,8.88290456302658,0.436705922827233,0.516071788036401
"AGPAT1",-0.308005535367672,9.49522618387079,14.8866750656592,0.000328290438539488
"AGPAT3",0.622998921665828,8.92268018880245,16.6762292239845,0.000353737128153617
"AGPAT4",0.648017785096923,8.95634161686957,38.1286323089163,5.44852842793391e-07
"AGPAT5",0.328444971036436,9.15851182737187,20.9874432003826,3.21622571554165e-05
"AGPS",0.385526942605139,8.97401682112281,12.639453139434,0.00106156460211451
"AGRN",-0.31342522159886,9.54095032556968,14.8967501253178,0.000330126402519725
"AGT",3.35633279018176,9.315243344521,380.865762826962,3.3740111612409e-17
"AGTPBP1",-0.163452031494259,9.09682102179943,2.61647305640981,0.112587942801863
"AGTRAP",0.346691090623706,8.87423652893113,4.23578383436875,0.053457368825042
"AHCY",-0.00594152320437378,8.96821778918862,0.00165658375884597,0.967767841333385
"AHCYL1",0.87674096175493,9.25195276531059,96.1007596791368,3.54422402455202e-13
"AHDC1",-0.00591914088200225,9.10060740624261,0.000413222040688381,0.98390188745404
"AHI1",-0.133805150840967,8.87692294700746,0.48586705634079,0.493965725597105
"AHNAK2",-0.0607486003652377,8.99709799844322,0.0673094607468013,0.796861923101454
"AHSA1",-0.342172057869371,9.33604140018608,20.1764357595503,4.07909451656851e-05
"AIDA",1.17071195656828,9.05548904969601,95.4567337013027,2.31113380250929e-12
"AIF1",0.542320646464306,8.86179030108921,9.18278248959613,0.00735704473199408
"AIF1L",0.318457541575287,8.89957010386252,4.59056839873552,0.0428560803302525
"AIFM1",0.417567580713414,8.94415343458329,9.39038986361843,0.00446689795528622
"AIFM3",0.60975281044552,9.07971323210879,38.6994784761697,1.14209977591726e-07
"AIG1",0.775611406930399,9.30999393350425,71.0070230026238,3.3739467236588e-11
"AIMP1",-0.00829895074800491,9.11069020876393,0.00538623410470024,0.941814387637389
"AIMP2",-0.183187038403617,8.88779682483622,1.05394317281313,0.316112940668775
"AIP",-0.295204901364704,9.10794290810226,7.45146670022105,0.00879237904395431
"AK1",-0.229604372814608,9.37636019124826,5.85993920799715,0.0189946112419814
"AK2",-0.0668120979843507,8.91268608833812,0.186583625512207,0.669405676973166
"AK3",0.45519320879132,8.89353713481636,6.89140747811762,0.0154655066994026
"AK4",0.183166358653804,8.8700370847375,0.987895128199336,0.333003168042506
"AK5",-0.192881039402212,9.61141434558131,1.61574703737821,0.211729486232461
"AK8",-0.158475293705239,8.86142501783426,0.781813448459275,0.388562518199971
"AKAP1",0.00214605512678472,9.03465435065188,0.000524531632980523,0.981838871111054
"AKAP11",0.278208130570464,8.88498805730547,1.26747040343667,0.280666603507646
"AKAP12",-0.149820005124451,9.02077573177882,0.545887681909147,0.465134502051948
"AKAP17A",0.130055555780331,8.93228750496279,1.20669420874882,0.280949467600964
"AKAP5",-0.336122776355268,8.87646660331821,4.19655211584121,0.0542403591000388
"AKAP7",-0.0544713143369434,9.17492167872058,0.249096063538938,0.619917854752495
"AKAP8",0.212894239529822,8.93910114673094,3.15070179214081,0.0858651136727021
"AKAP8L",0.0771971616233722,9.15186696148152,0.64200536094761,0.426986690861064
"AKAP9",0.347032775238205,9.13446929107452,5.36135993297381,0.02635930297514
"AKIP1",0.0804990110647326,8.94311755450298,0.504673338539335,0.483048839391084
"AKIRIN2",-0.178142027565657,9.13790781573058,4.57237767720922,0.0380228763450103
"AKNA",0.37680591357514,8.85951234562564,3.91090112690018,0.0642184322793524
"AKR1A1",0.16512691597273,9.14478338605156,3.62015333694212,0.0627147959293512
"AKR1B1",-0.0308401005118024,9.25324701145844,0.10892360195881,0.742705164297434
"AKR1E2",0.013414595085958,8.87504804774204,0.0115107482324497,0.915670626191655
"AKR7A2",-0.252814308023169,9.10730861522559,6.09752375550642,0.0171673328320608
"AKT1",-0.17938413045232,9.03047939515207,2.0991769553271,0.154521423414806
"AKT1S1",0.113441690148106,9.01700867711837,1.02116630886981,0.318070220500333
"AKT2",-0.208506498614356,8.89823571154708,1.41246580215969,0.246765323415198
"AKT3",0.0381518930701325,8.90859617838348,0.0905107021531663,0.766025612566575
"AKTIP",-0.186897089691105,9.20095704127882,6.26998607412349,0.015673273227642
"ALAD",0.541853339765151,8.88139865792368,10.0237104685299,0.00478978180091942
"ALAS1",0.0597296883476453,9.0508222246633,0.327865551423656,0.569866018041713
"ALCAM",-0.167298641442324,9.53761879130366,2.49936965513038,0.120627937305061
"ALDH16A1",0.149613443148137,8.86786871802165,0.644188035950827,0.432460845185745
"ALDH18A1",0.145390096866396,8.94372845990646,1.29064989038614,0.264823674340898
"ALDH1A1",-0.270995439121221,9.16458872999576,3.58689672403203,0.0649768033001183
"ALDH1B1",0.167220577910383,8.86262523342958,0.952779213325647,0.342183467405271
"ALDH1L1",-0.58781286995001,9.08330983380804,4.93441668646808,0.0347926702733041
"ALDH3A2",0.205928117659384,8.99707031438989,3.73547652812629,0.0602730621315751
"ALDH4A1",0.496430280199427,8.90723534172008,10.810027126096,0.00310528660462228
"ALDH6A1",0.616247888793462,9.0223238756282,34.890485924082,4.79311390889438e-07
"ALDH7A1",0.180439150506414,8.92814746115965,1.93965511526348,0.174562538231639
"ALDOC",0.36025817510736,10.2759647210166,29.2119849661755,3.54665944526424e-06
"ALG1",0.383984649109642,8.8955512436152,5.84838480603607,0.0240667205057983
"ALG12",0.311101637287905,8.96524256127129,6.29891416095452,0.0168347840913137
"ALG13",-0.257230122157246,8.98490582338842,5.91318962113726,0.0198667340215228
"ALG2",-0.243777034776994,8.91919322563553,2.74766925055142,0.109042855705671
"ALG3",0.34603277018242,8.94651948928665,8.01555764869039,0.00796685667652168
"ALG5",-0.0449984958723861,8.90095598903999,0.0726753834110616,0.789826474552174
"ALG6",0.235188475910389,8.91232796333773,3.30748027200165,0.0806816647472271
"ALG8",0.245900856294245,8.88237697063225,1.95832763985494,0.176693813447095
"ALKBH1",0.112929514886173,8.87027544459305,0.387119027229393,0.541341869077817
"ALKBH2",-0.044604768336783,8.94742184501735,0.0836042658045246,0.77436147065611
"ALKBH3",0.00601166366817114,8.87788417222377,0.00121264933507453,0.972569905082604
"ALKBH4",-0.455257042437236,8.92210947279103,10.8554211289342,0.00273159595235144
"ALKBH5",-0.0653788125601994,9.15086278232272,0.607917017655135,0.439304576123873
"ALKBH7",0.0316937138526986,8.97608140296498,0.0882701065192327,0.768098168030213
"ALOX5",-0.360954856502265,8.89824664613641,4.62954510870744,0.0422752906474536
"ALOX5AP",0.226845366095176,8.85899160084651,1.59505465859949,0.223447958157431
"ALPL",-0.317642258856047,8.93544809571577,5.22934798730989,0.0294716668661178
"ALYREF",-0.295005112258137,8.88679659657632,2.88171759995842,0.10430051591549
"AMACR",-0.182942694077731,8.92764999817955,2.11426650924472,0.157104543605888
"AMD1",-0.0296307692558301,9.23963262025472,0.199031771061395,0.657431419110433
"AMDHD1",-0.11348985519932,8.9719084979309,0.847576437261496,0.363589790644535
"AMER2",0.68373747934363,8.87645180132048,14.5041434909341,0.00113979483569085
"AMFR",0.083796668382585,9.15505033256916,0.811337447202939,0.372261333107074
"AMMECR1L",-0.234967784010369,8.93417371780234,2.34509177015478,0.136303325290183
"AMN1",-0.457709162842249,9.06005139056399,17.6516320435239,0.000127321865360166
"AMOTL2",0.219978652155778,8.98811374770181,1.76072106204072,0.194020561292998
"AMPD2",-0.0904389702855445,9.17082991389127,1.16335687493021,0.285983091726168
"AMPH",-0.281530602983637,9.48238722117259,3.7547939287596,0.0598494344546412
"AMT",-0.102283865925381,8.97693142003789,0.911332157958496,0.346099131976852
"AMY2B",0.21655686264234,8.92637581471857,3.31364020222902,0.0793655629662502
"AMZ2",0.0740851062260645,9.21070561688717,0.721637814726657,0.399922301047632
"ANAPC1",-0.125640382877955,8.98224587122653,1.66524624860258,0.205012149740295
"ANAPC10",-0.144666619392435,8.89044124399145,0.672720649706563,0.420975650047176
"ANAPC11",-0.132153006066611,9.31439257214,1.75025276784477,0.191473864042083
"ANAPC13",0.407337700976807,9.21895204895449,21.1259703104478,2.63529532201534e-05
"ANAPC16",0.267631167116774,9.08840390043679,10.9382470284115,0.00175405708253641
"ANAPC2",-0.402163856331315,9.01290196567771,10.2719931405558,0.00262799696684407
"ANAPC4",-0.104374711562525,8.88867748845598,0.349093075060646,0.560854861554911
"ANAPC5",-0.0988047636090018,9.09246690217935,0.929175436149368,0.340147495550737
"ANAPC7",0.0108793345121991,8.95732809995408,0.00599312898987331,0.938754149331568
"ANGEL1",0.505307174724622,8.88767599590846,8.4347994994282,0.00842470284825231
"ANGPT1",1.35765465282264,8.90594570457318,95.2393951535004,7.87203469630348e-10
"ANGPTL4",0.680324369039861,8.86395712809298,13.092144688764,0.0022212927227235
"ANGPTL6",0.0267236742685348,8.8774602134683,0.0269005289551287,0.871399845392633
"ANK2",-0.0608297631265926,9.03634710331806,0.125449192033833,0.725169590164782
"ANK3",0.379509789380583,8.90328807700908,6.68232256747936,0.0163310607873581
"ANKFY1",0.0387332032370935,9.0025960395465,0.132749668089068,0.717509201049036
"ANKH",-0.0597028851030501,9.24555477315124,0.94497539816428,0.335785007413962
"ANKIB1",0.555594060354167,9.1031915429551,25.9661870284693,5.36765220262901e-06
"ANKLE2",-0.142478602268228,8.90234196749191,0.932243568631487,0.34422139484697
"ANKRA2",-0.02722960084074,8.98637191049832,0.0520837231601213,0.82072086110455
"ANKRD10",-0.0322656431340398,9.00537366625703,0.0758514688207478,0.784398341902282
"ANKRD11",-0.136474017269651,9.0706505286048,1.0134757006601,0.319882264621942
"ANKRD12",-0.101608695437316,9.65513246312193,0.409701896263027,0.527234299797513
"ANKRD13C",-0.200611240336519,9.11746087478309,4.49808220246763,0.039166764935337
"ANKRD13D",-0.273626553512798,9.00850010231686,7.10448211960221,0.011000558099342
"ANKRD17",0.0707993031621546,8.93248617229695,0.120288359722467,0.732285979400461
"ANKRD26",-0.0978906280517844,8.94578115068493,0.349708716343187,0.558700466160203
"ANKRD27",0.113515345064622,8.91462924938505,0.551409292325574,0.464516010730327
"ANKRD29",-0.224007868671297,8.97965592210277,2.75942734892623,0.105327664278391
"ANKRD34A",-0.74900903338137,9.21558449107144,16.0010123693295,0.000318069091009601
"ANKRD39",0.250277376131318,8.85992818217213,1.77349117212645,0.200205241051141
"ANKRD40",0.983020839777047,8.96771969638212,75.3904954301518,2.78521003080432e-10
"ANKRD44",0.37894405355638,8.87786722403894,3.86662406783206,0.0634657997960888
"ANKRD46",-0.376223455156727,9.53849836465955,11.4412636919605,0.00146388454069771
"ANKRD54",-0.420832758881746,8.96196037659778,10.6461172639144,0.00250060228439515
"ANKRD6",-0.286209860008663,8.86655588361856,2.73163478695578,0.115524079763598
"ANKRD9",-0.070568618365026,8.93217970957707,0.177837605478852,0.676542844965801
"ANKS1B",0.0464242870868271,9.02532542592457,0.114052354566871,0.737429325076822
"ANKS3",0.105426803976196,8.8939123430177,0.4396326889426,0.514080384350462
"ANKZF1",-0.0988026076071156,8.99599969752862,0.644439150541199,0.426939344007729
"ANLN",1.52988880032319,8.86000952089512,72.3681069998732,5.27700382572953e-07
"ANO10",0.489300395869707,8.91307370418988,14.9633252467431,0.000670806087457088
"ANO4",-0.349463677940893,8.95194446545646,6.92919604768377,0.0129910682189616
"ANO6",0.322365935838625,8.8631420894189,3.09064619371276,0.0959659810115435
"ANP32A",-0.00251907074568556,9.32223855552362,0.000446765186099542,0.983220195753119
"ANP32B",1.40238965054509,9.08840016730799,117.636445411836,2.38470890864023e-13
"ANP32E",0.332951370161417,8.98043902686629,6.86440848309676,0.0126251417944532
"ANTKMT",0.0448225582129464,8.93626707190795,0.103999095718406,0.749438602057102
"ANXA1",-0.0547163933345313,8.8784532194265,0.00073764479589535,0.978603967648633
"ANXA11",-0.0808231279408175,8.94300134346113,0.272942298285423,0.605162508748129
"ANXA2",-0.509479092292362,8.9216465662062,4.9347413265379,0.037407543944662
"ANXA3",0.0712973116547095,8.86066102653686,0.182602087404837,0.674367273742067
"ANXA5",0.726385058574533,9.10196797675027,32.650757332173,8.01523479139094e-07
"ANXA6",-0.399191298994166,9.68233381200166,17.7398814053104,0.000112621632100072
"ANXA7",-0.0311407652341034,9.23627090109481,0.0972647080749391,0.756503161787424
"AOPEP",0.835455528769994,8.91146329493544,30.8580251662617,9.55133660344755e-06
"AP1B1",0.194609510563397,9.20269857194183,8.13235772429849,0.006295707668683
"AP1G1",-0.275835453350437,9.08057180969053,9.46374667270163,0.00353627716955075
"AP1G2",-0.353882257694193,8.8745034899383,4.46290210111068,0.0479184769120545
"AP1M1",-0.0199342148795814,9.33604262770941,0.0466310903163151,0.829917958084762
