,0
NEK4,0
SND1,0
CERS5,0
CDK8,0
SF3B6,0
RRP9,0
PCBP4,0
MAX,0
SCRG1,0
ETHE1,0
RRM1,0
PPP2R5A,0
ARHGAP12,0
PPP4C,0
FYN,0
RND2,0
VIPAS39,0
RAB22A,0
GTF3C2,0
MAU2,0
ERG28,0
COMMD6,1
ENC1,1
FGF9,1
KEAP1,1
EIF1B,1
OCIAD2,1
ATP5F1E,1
PPP1CC,1
VGLL4,1
VPS51,1
EIF3L,1
SCN3B,2
NRXN2,2
PCDH9,2
PTPRK,2
KHDRBS3,2
GNPTAB,2
RALYL,2
IGSF21,2
ALCAM,2
VAT1L,2
ATP1A3,2
TMEM108,2
THY1,2
FOXP1,2
KLHDC8B,3
IGFBP2,3
KIF21B,3
TMEM59L,3
PHYHIP,3
PEPD,3
ATAD1,3
SLC6A6,3
ZMYND8,3
DLGAP4,3
NRXN1,3
SYNPR,3
SYNGAP1,3
ZBTB46,3
TMEM54,4
RNF40,4
SURF2,4
TTC8,4
STAU2,4
YWHAE,4
SMG7,4
SNX15,4
ABCC10,4
PSME2,4
ADORA1,4
AHNAK2,4
AKT3,4
ANXA6,4
APBB2,4
ARL1,4
ASAH1,4
BBOF1,4
CABIN1,4
CDC23,4
DMAP1,4
RABEP1,4
EIF4E3,4
FAM32A,4
FBXW11,4
IGFBP6,4
JAM2,4
LIN7B,4
MRPL50,4
NCAM2,4
NIM1K,4
OTUD4,4
PDIA3,4
PPP1CB,4
EIF4G3,4
NANS,4
