,0
EIF1B,0
ENC1,0
ETFB,0
DAAM1,0
TMOD1,0
SNRPD2,0
OCIAD2,0
MAU2,0
NCAM2,1
SLC38A10,1
ASAP2,1
APLP2,1
RBM23,1
FAM171B,1
CCSER2,1
ID2,1
CD99L2,1
ZMYND8,2
GNPTAB,2
NRXN1,2
KIF21B,2
STAU2,2
NRXN2,2
GNAZ,2
FOXP1,2
SYNGAP1,2
AKT3,2
RAB3GAP1,2
ZBTB18,2
ATAD1,2
CADM3,2
DYNLL2,2
CPNE6,2
LINGO1,2
OTUD4,2
SCN3B,2
SEZ6L2,2
PPP2R2C,2
FBXO9,3
SLC39A10,3
ELOC,3
ASAH1,3
PES1,3
NOL10,3
EPB41L3,3
WDR7,3
FGF9,3
GDE1,3
SLC38A3,4
SCD5,4
RAB10,4
ADAM15,4
SND1,4
FADS2,4
EIF3F,4
EEF1G,4
TECR,4
SLC9A3R2,4
DNM2,4
JAM2,5
BLVRA,5
COTL1,5
TMED3,5
DLC1,5
RNF40,5
DNPEP,5
GRM3,5
IGFBP6,5
PCGF2,5
SLC25A29,6
ZBTB46,6
RSPH9,6
SIAH1,6
ZNF706,6
IGFBP2,6
PHACTR3,6
AMFR,6
MARCKS,6
LPL,6
CPNE2,6
ALCAM,7
CNKSR2,7
VAT1L,7
USP6NL,7
TMEM108,7
DCLK1,7
DKK3,7
DPYSL5,7
PTPRK,7
RALYL,7
IGSF21,7
SMARCA1,7
KHDRBS3,7
KLF6,7
PCDH9,7
SLC17A7,7
PCP4,7
PDE1A,7
EIF4G3,7
KRT222,7
