,0
ATP1A3,0
FAM3C,0
CDK8,0
FBXO9,0
GLRB,0
CD47,0
GNPTAB,0
IGSF21,0
KCNK1,0
KLHL1,0
NRXN2,0
PCDH9,0
PDE1A,0
FAM171B,0
PHTF2,0
DKK3,0
ALCAM,0
RGS17,0
YWHAH,0
SEZ6L2,0
VAT1L,0
APP,0
ANK2,0
STAU2,0
ADORA1,0
TOGARAM1,0
SYT1,0
TTC8,1
PRPF6,1
PLXNB2,1
SMARCA1,1
PCGF2,1
PGLS,1
HYI,1
ABHD6,1
MMS19,1
BLVRA,1
CHERP,1
CDC23,1
NOL10,2
SNX15,2
APOO,2
RBM23,2
MRPL51,2
MRPL13,2
CARS2,2
MAU2,2
CCSER2,2
SLC25A38,2
MAP1LC3B,2
JAKMIP2,2
RRAGC,3
FAM107B,3
SLC9A3R2,3
SLC2A4RG,3
SCD5,3
HENMT1,3
NPEPL1,3
HEPACAM,3
SELENOS,3
MARCKS,3
KIAA0930,3
RAB10,3
NUMA1,3
SF3B6,3
TTYH1,3
KIF1B,3
IFI6,4
COTL1,4
CPNE2,4
CSNK1G3,4
CSRP2,4
MYCN,4
PRSS12,4
ZEB2,4
NANS,4
VGLL4,4
EFNA2,4
EIF1B,4
CCK,4
TOR2A,4
RSPH9,5
PSAP,5
RNF41,5
PPP1CB,5
SH2B3,5
YWHAE,5
DNAJB2,5
VLDLR,5
ASPHD2,5
TMEM108,5
OPRK1,5
SIAH1,5
CHN1,6
MBD1,6
CPNE6,6
ZBTB18,6
SIAE,6
LINGO1,6
PPFIBP1,6
DOK5,6
RAB3GAP1,6
CD99L2,6
SLC38A10,6
REEP5,6
CABIN1,6
TSPAN14,6
SLC39A10,6
RGS6,6
NRXN1,6
GNAZ,6
PLPP7,7
ATAD1,7
MRPL50,7
COQ2,7
LIN7B,7
TXNDC9,7
STIP1,7
PPP2R5C,7
FBXW11,7
HIGD2A,7
AMFR,7
RBIS,7
BBOF1,7
ASAH1,8
RASGRP2,8
TMED3,8
TUB,8
PTPRK,8
USP6NL,8
WWP1,8
PHF24,8
RNF40,8
BET1L,8
DCLK1,8
MEF2D,8
KLHDC8A,8
DCAF15,8
FOXP1,8
CHPF,8
KIF21B,8
KLF6,8
FAXC,8
EPHB6,8
DPYSL5,8
KHDRBS3,8
LGI4,8
EIF3F,9
CCNI,9
EIF3L,9
SCN3A,9
RPS3,9
TSPO,9
TECR,9
PABPC1,9
PLAGL1,9
FGF9,9
ISOC2,9
MAX,9
TTC3,9
SLC38A3,10
GAD1,10
FLNA,10
GPR153,10
GRK5,10
ADI1,10
ID2,10
SLC2A1,10
IGFBP2,10
IGFBP6,10
UNC119,10
SIPA1L2,10
MGP,10
ADAM15,10
CNTNAP4,10
JAM2,10
OS9,10
LAMP5,10
NCAM2,10
LHX2,10
PSME2,10
EEF1G,10
EPB41L3,11
PLCH1,11
NDUFB8,11
ZNF362,11
ETS2,11
GDE1,11
DUSP22,11
PCP4,11
RNF34,11
SLC37A1,12
AFTPH,12
SYNGAP1,12
STK17A,12
DAAM1,12
TMOD1,12
RBM24,12
KLHDC8B,12
CAMK1G,12
SMARCD1,12
ZBTB46,12
ABI2,12
TRMT11,13
BEND6,13
RPS3A,13
TCEAL4,13
PPP1CC,13
SND1,13
GADD45G,13
GPX4,13
ASPH,13
HERPUD2,13
PTRH1,13
RPL31,13
RPL12,13
PIGT,14
MRPL10,14
RAB22A,14
JUP,14
ETFB,14
TMEM263,14
RRP9,14
ARVCF,14
ENTPD4,14
SPHKAP,14
FBLIM1,14
AHNAK2,14
VIPAS39,14
ZNF706,14
