,0
RSL1D1,0
TMEM203,0
SKIV2L,0
SKP2,0
NTAN1,0
CEP192,0
CEP19,0
ENKD1,0
TMEM198,0
CEP135,0
CEP131,0
CEP126,0
SNRPG,0
TADA2A,0
ENPP5,0
GOLGA1,0
MCRIP2,0
NTSR2,0
TMEM185B,0
USP47,0
ENTR1,0
NUBP1,0
MCM7,0
RPGRIP1L,0
MDM4,0
NUDC,0
CEP41,0
TMEM205,0
NSMCE2,0
EMC4,0
EMC6,0
NSMCE4A,0
USP24,0
CFDP1,0
CFAP410,0
CFAP36,0
CFAP20,0
TMEM230,0
CES2,0
CERT1,0
CERS6,0
SKI,0
RPP38,0
SPATC1L,0
USP34,0
SKIL,0
TMEM223,0
USP36,0
H1-0,0
IPO11,0
IPMK,0
CEP43,0
NUDCD1,0
SLC15A4,0
NUDT1,0
CDK13,0
HAPLN4,0
NUP35,0
RNPEPL1,0
NUP50,0
RNGTT,0
RNFT2,0
CDH4,0
MBD5,0
MBD2,0
CDH18,0
NXPH2,0
VARS2,0
MAZ,0
VASH2,0
NXT1,0
CDC42SE2,0
TMEM160,0
NYNRIN,0
OAZ1,0
EPM2AIP1,0
RNF4,0
SLC20A2,0
CDK14,0
MBNL1,0
NUP205,0
ROCK2,0
CEBPD,0
CEBPB,0
RPF2,0
EPB41L3,0
HAGH,0
RPAP2,0
NUDT5,0
NUDT6,0
HAGHL,0
CDKN2AIP,0
NUDT9,0
USP2,0
TAF1,0
NUMBL,0
EPC2,0
INTS5,0
CDK5RAP3,0
GNPAT,0
CDK5RAP1,0
SLC17A5,0
NUP153,0
ROMO1,0
VAMP4,0
ROGDI,0
NUMB,0
RPP40,0
CHCHD1,0
MED13L,0
EIF4E3,0
NOSIP,0
CLDN12,0
METTL23,0
UHRF2,0
RRAD,0
IQCC,0
TMEM42,0
NPAS3,0
UMPS,0
NPAS4,0
METTL21A,0
METTL17,0
RPS6KC1,0
SUDS3,0
NPM1,0
GTPBP3,0
EIF5,0
CITED2,0
UNC5A,0
RPS6KB1,0
TMEM41A,0
GTPBP4,0
SUGT1,0
UGGT2,0
CLIP1,0
GOLT1B,0
RRP15,0
NOC2L,0
UBXN6,0
SHC3,0
TMEM62,0
NOL10,0
GORASP2,0
SHFL,0
CLTA,0
CLSTN3,0
MFAP1,0
NPRL3,0
RRP12,0
CLPP,0
NOL7,0
NOL8,0
UCN,0
EIF3J,0
EIF3K,0
CLK4,0
EIF3M,0
SYVN1,0
GTF3A,0
CLIP4,0
RRP1,0
OCRL,0
NPTX2,0
GUCA1B,0
KCTD6,0
CHMP2B,0
URB1,0
GUK1,0
IPO7,0
CHKA,0
TMEM259,0
NRN1,0
ELOB,0
ELOC,0
RPRD2,0
ELOF1,0
MED29,0
SIKE1,0
ELP1,0
GOLGA5,0
CHD1L,0
ELP3,0
NSD3,0
RPRD1B,0
TADA1,0
USP13,0
SIN3A,0
GUF1,0
CHMP6,0
IPO8,0
CHN1,0
UNK,0
EIPR1,0
TMEM38A,0
CIAO3,0
UNKL,0
NQO2,0
SNUPN,0
NR1D1,0
UQCC1,0
UQCRB,0
MEMO1,0
GTPBP8,0
CHST12,0
IPO9,0
RPS6KA5,0
RPS6KA3,0
NR4A1,0
ELL,0
NRBF2,0
SNTG1,0
UQCRC1,0
NRDE2,0
CHORDC1,0
TMEM266,0
ELFN1,0
RRP36,0
HAUS2,0
VCPKMT,0
HDGFL2,0
PANK4,0
PANX1,0
WDR24,0
CAP2,0
WDR25,0
MAP3K3,0
CANT1,0
CAND1,0
RMND5B,0
HDHD2,0
PAPSS2,0
STRBP,0
MAP3K13,0
CAMKK1,0
PARK7,0
RLIM,0
CAMK2N1,0
HDLBP,0
SLC25A4,0
FAAP100,0
RIOK3,0
WDR41,0
PANK2,0
PARVB,0
RNASEH2B,0
CAPZA1,0
TAF2,0
CBARP,0
PAG1,0
WASL,0
TMED8,0
EXOSC2,0
MAP3K7,0
CASP2,0
CASKIN1,0
PAK1IP1,0
WDR1,0
RNF11,0
EXOSC8,0
STRIP1,0
EXOSC9,0
CARMIL2,0
DLX2,0
TMED2,0
EXTL1,0
CARD19,0
RNASEH2C,0
CAPZB,0
PAN3,0
CAPRIN2,0
MAP2K2,0
FABP5,0
RIN1,0
RIC8B,0
MAN1A1,0
SNRNP35,0
WDR59,0
PCMTD1,0
MALT1,0
MAL2,0
IMP3,0
C1S,0
C1R,0
WDR61,0
IMMT,0
WDR73,0
C1QBP,0
WDR74,0
TLK2,0
PCSK1,0
FAM120AOS,0
MAK16,0
SPOPL,0
BYSL,0
SLC2A3,0
MAGOHB,0
CAB39L,0
CABIN1,0
RICTOR,0
CABYR,0
WDR45B,0
TMA16,0
CADPS2,0
FAF1,0
FAH,0
PBX2,0
CACYBP,0
CACUL1,0
RIMKLA,0
INF2,0
CACNG3,0
INIP,0
CACNG2,0
RILPL1,0
CACNB1,0
PCCB,0
MAN2B2,0
SNRNP48,0
IMPACT,0
CACNA1D,0
PCF11,0
PCGF1,0
STOML2,0
WDR5,0
PCBP1,0
EXOC1,0
PABPC1L2B,0
VXN,0
OPN3,0
SPEG,0
VPS35L,0
CCNYL1,0
CCNY,0
CCNT2,0
