,0
JAKMIP1,0
HMGCL,0
CACNG3,0
RTN4RL2,0
TOX2,0
POLE4,0
POLL,0
CADM3,0
RTN4RL1,0
HIKESHI,0
CALB1,0
CALB2,0
POLR2I,0
CALM3,0
POLR3K,0
CAMK1,0
RTN4R,0
POMP,0
CAMK2A,0
TOM1,0
POP4,0
POR,0
PPA2,0
RTN4IP1,0
HECW1,0
PPARGC1A,0
POGK,0
CAMTA2,0
CACNB3,0
HMOX2,0
PLEKHM2,0
TPMT,0
C1D,0
TPM3,0
CRMP1,0
HS6ST1,0
PLPP1,0
HRH3,0
C2CD2L,0
TPI1,0
CA10,0
CA11,0
ERGIC1,0
HR,0
CAB39,0
CAB39L,0
TPGS1,0
TPD52L2,0
CACNA1A,0
RUVBL1,0
PMPCA,0
CACNA1G,0
PMVK,0
PNMA3,0
RUNDC3A,0
CACNB2,0
PPEF1,0
PPHLN1,0
PPID,0
GUCY1B1,0
TMEM8B,0
PPP3CA,0
PPP3CB,0
PPP3CC,0
PPP5C,0
CBX3,0
ETS2,0
PPTC7,0
PRADC1,0
TMEM63B,0
CBY1,0
PRCC,0
TMEM42,0
PRDM8,0
ST6GAL2,0
CCDC106,0
TMEM38A,0
PREB,0
ETV1,0
PREP,0
CPNE6,0
GSK3A,0
GRWD1,0
TMEM219,0
GUK1,0
CBFA2T2,0
PPP2R5D,0
PPP2R5A,0
HDLBP,0
CAP1,0
CAP2,0
PPIH,0
RTBDN,0
CREB3,0
CAPN5,0
TNFSF9,0
PPM1G,0
SSTR1,0
CAPZA2,0
PPP1CB,0
PLEKHB2,0
TNFAIP8L1,0
PPP1R14C,0
RSPH14,0
PPP1R15A,0
SSX2IP,0
CARS2,0
PPP1R21,0
PPP1R7,0
RSPH1,0
HAGH,0
RSL24D1,0
PPP2R2C,0
PPP2R2D,0
HCFC1R1,0
CROT,0
TPRG1L,0
SRRD,0
PDP1,0
SPNS2,0
SPON2,0
IQCK,0
TUSC2,0
EMC4,0
TUBG1,0
PEPD,0
IPO11,0
EMC6,0
PEX16,0
EMC8,0
SPTAN1,0
INTS12,0
PFDN1,0
TTC8,0
TTC5,0
BDH1,0
INSIG2,0
PFDN2,0
SPTB,0
PFDN6,0
BEND6,0
TSR3,0
CSTF1,0
SPHKAP,0
TXNDC15,0
ITGAE,0
ITPKC,0
KCMF1,0
SPATS2L,0
SPCS1,0
EIPR1,0
PCMT1,0
KAT14,0
PCSK1,0
UBE2D3,0
UBE2B,0
B4GALT2,0
B4GALT7,0
B9D1,0
BEX1,0
JPT1,0
UBALD1,0
UBAC2,0
PCSK6,0
BAD,0
JOSD1,0
PDAP1,0
CTPS1,0
