,0
WLS,0
SLC1A3,0
HPCAL1,0
ID3,0
IGFBP5,0
KIT,0
SERPINE2,0
MCUB,0
PTN,0
MT2A,0
RPS29,0
RPS24,0
VWF,0
RPL38,0
RPL34,0
NUCKS1,0
NUP93,0
SDCCAG8,0
GLUL,0
SPARC,0
FAM107A,0
B2M,0
VIM,0
TXNIP,0
CALR,0
CAV1,0
TNC,0
CD81,0
FBLN1,0
TIMP1,0
CRYAB,0
CST3,0
CXCL14,0
DLX1,0
EZR,0
RPL26,0
SEPTIN7,1
SULF1,1
TTC9B,1
SPP1,1
SEMA3A,1
NPTX1,1
BAIAP2,1
NUAK1,1
NR4A2,1
NELL2,1
NEFM,1
NCALD,1
CDH11,1
HPCA,1
CRYM,1
RNF2,2
CA10,2
CALB2,2
CBLN2,2
THBS1,2
STMN4,2
SST,2
SORL1,2
GNAO1,2
RIPOR2,2
SGTB,2
LMO3,2
SERINC1,2
MASP1,2
MIF,2
RASL11B,2
CYP26A1,2
ACTN2,2
