,0
MAST4,0
CCDC88C,0
KXD1,0
VGLL4,0
LCMT1,0
STK32B,0
CCBE1,0
CBLN1,0
ST8SIA2,0
CASC3,0
CARMIL3,0
VPS37C,0
SS18L1,0
MAD2L1BP,0
SRSF5,0
CAMLG,0
CAMK2N2,0
SRRM3,0
CCDC93,0
KREMEN1,0
KLHL41,0
KLHL2,0
ITPR1,0
UFSP2,0
KANSL1,0
CDS1,0
KCND3,0
KCNJ6,0
KCNK2,0
KCNK9,0
MAGI1,0
CDC42EP3,0
KEAP1,0
UQCRB,0
USP24,0
CD36,0
CCT2,0
VASH2,0
CCNI,0
KITLG,0
KCTD3,0
MAN1A1,0
MAP3K2,0
SPRY4,0
BIRC6,0
WASL,0
MMP24,0
BID,0
MORC3,0
MPP1,0
SNW1,0
MRPL13,0
VXN,0
MRPL43,0
MRPL51,0
MRPS36,0
SNRPD2,0
NAA60,0
NAALADL1,0
NAIP,0
BAHCC1,0
NDUFA10,0
BCOR,0
ISCA2,0
BMT2,0
BOLA3,0
SPON1,0
CACNG2,0
SPOCK2,0
CACNA1I,0
MAX,0
MAZ,0
MB21D2,0
VPS72,0
MIIP,0
MCM7,0
MEX3C,0
SP9,0
BRK1,0
MICAL3,0
BRD8,0
MIDN,0
BRAT1,0
BORCS5,0
MDM4,0
UBE2V1,0
INSYN2A,0
IGDCC3,0
ENC1,0
TRIOBP,0
TMEM259,0
EPHA3,0
CYGB,0
EPS15L1,0
CWC25,0
CUX2,0
TMEM35A,0
ERBB4,0
CTDSPL,0
CSRP2,0
EVL,0
EXOC6,0
TMEM132A,0
TMEM131L,0
TMEM126B,0
TMEM126A,0
ERO1B,0
TMEFF2,0
ELMO1,0
DAPK1,0
DISP3,0
DMAP1,0
DNAJA4,0
DNAJC21,0
DNAJC4,0
TOR2A,0
DOK4,0
DOP1B,0
ELFN1,0
DOT1L,0
DUS3L,0
EBF4,0
ECPAS,0
ECSIT,0
DCTN6,0
EFNA2,0
DCTD,0
DCAF8,0
TRIM28,0
NDUFB4,0
FBXO9,0
FDFT1,0
TUBA8,0
TUBD1,0
CITED4,0
GSE1,0
CIAO1,0
TENT4A,0
GTF3C5,0
GTPBP3,0
