,0
ZMYND8,0
CSPG5,0
IGFBP2,0
PLP1,0
PCSK2,0
PCSK1,0
PCDH19,0
PABPC1,0
DOK5,0
DPYSL5,0
NRXN1,0
NRN1,0
NR2F1,0
CPNE6,0
ELMOD1,0
ETFB,0
FABP7,0
NEFL,0
FBXW7,0
FOXP1,0
GNAZ,0
LRRC4C,0
LPL,0
LINGO1,0
GUCY1B1,0
LHX2,0
KLF6,0
NEO1,0
RIMS4,0
PTPRK,0
TMEM59L,0
ADI1,0
AKT3,0
ZBTB18,0
TSPO,0
APP,0
TNKS2,0
ASPH,0
ATP1A1,0
TMCC2,0
CALB1,0
SYNE1,0
KCNG1,0
SYBU,0
SPHKAP,0
SATB1,0
CHN1,0
CBLN4,0
RPLP2,1
LARP1B,1
S100B,1
VSTM2A,1
UBAP2,1
TTYH1,1
MAN1A2,1
SCRG1,1
MBP,1
MPP6,1
PTGDS,1
N4BP2L2,1
SLC2A1,1
NEMF,1
SLC6A1,1
RPL31,1
SPARCL1,1
NID1,1
TF,1
TAGLN2,1
MGP,1
RPL12,1
ACTA2,1
FTH1,1
BTG1,1
EEF1G,1
CXXC5,1
BPTF,1
FADS2,1
CSRP1,1
AQP4,1
FN1,1
DAAM2,1
GAD1,1
GFAP,1
CLDN11,1
CCDC173,1
GPRC5B,1
APCDD1,1
GSN,1
HEPACAM,1
ID2,1
COMMD6,1
COL1A1,1
COL18A1,1
IGFBP3,1
COL3A1,1
COTL1,2
DAAM1,2
PDE1A,2
PENK,2
CCK,2
PRSS12,2
CPNE2,2
RPS3,2
IGFBP6,2
RASD1,2
CCNI,2
PLXNA2,2
CSRP2,2
SCG2,2
TTC3,2
MAPT,2
MYCN,2
SYT4,2
CARTPT,2
NECAB1,2
TMOD1,2
EEF1A1,2
TOX3,2
EIF1B,2
ENC1,2
SYNPR,3
APBB2,3
VAT1L,3
ANK2,3
ALCAM,3
TUBA4A,3
SERPINI1,3
CCN2,3
APLP2,3
TMEM108,3
ST3GAL5,3
SCN3B,3
CAPRIN1,3
SYT1,3
STAU2,3
SLC17A7,3
CAMK2N1,3
IGSF21,3
SCD5,3
JAM2,3
KHDRBS3,3
KIF21B,3
IFI6,3
KLHL1,3
GRM3,3
GNPTAB,3
MAP1B,3
ZEB2,3
NCAM2,3
FAM171B,3
NGEF,3
NPY,3
DUSP6,3
SCN3A,3
NRXN2,3
OPRK1,3
DKK3,3
PAK3,3
DCLK1,3
PCDH9,3
PCP4,3
PHYHIP,3
PHYHIPL,3
RALYL,3
RGMA,3
RGS4,3
RIT2,3
CPLX3,3
S100A10,3
NUDT4,3
MAP6,3
