,0
HMGA1,0
SNCA,0
SNCB,0
LONRF1,0
LMO4,0
LMO3,0
SNCG,0
SNX25,0
LDLRAD4,0
LCN2,0
LCMT1,0
LARP1,0
SNX7,0
LAPTM4B,0
SOBP,0
LAMP1,0
SOCS2,0
SORL1,0
KPNB1,0
KLF7,0
SOSTDC1,0
SPIN1,0
KIAA0513,0
KDM4B,0
KCTD8,0
KCNJ9,0
KCNC2,0
JPH4,0
SPOCK3,0
SPON1,0
LRRTM1,0
LSM4,0
SNAP47,0
LYPD6,0
MIF,0
MID1IP1,0
SLC39A6,0
MIA3,0
MGST3,0
MGA,0
MFSD12,0
SLC6A17,0
MESP1,0
SLC9A6,0
MEIOB,0
MEAF6,0
MDN1,0
SLIRP,0
SPP1,0
MCHR2,0
MBOAT2,0
MAST1,0
SMIM32,0
MAPRE3,0
MAPK10,0
MAP2K1,0
MAP1S,0
MAP1A,0
SMPD3,0
MAN1A1,0
MAL2,0
MAGI1,0
MAGEH1,0
MACIR,0
MBOAT7,0
MKLN1,0
ITGB1BP1,0
IPCEF1,0
GTF2H5,0
GRP,0
GRIN3A,0
GRIK1,0
STYK1,0
GRB2,0
GPX4,0
GPS1,0
SV2B,0
SYNGR1,0
SYNJ1,0
SYPL1,0
SYTL2,0
TAC1,0
GOLPH3,0
TBR1,0
TCAF1,0
GNPTG,0
TCEAL7,0
GNG4,0
GNG2,0
GNB2,0
GNAO1,0
TENM3,0
TFG,0
GLTP,0
GIPC1,0
GGH,0
TGFBR3L,0
STX1A,0
STX10,0
STT3B,0
STS,0
INHBA,0
SPRY4,0
INA,0
SPTBN1,0
SPTBN2,0
IGF1,0
SRPK2,0
IFIT1,0
IDH1,0
SRRM3,0
SSBP2,0
HTR2A,0
HSPA4,0
SSX2IP,0
SPRED2,0
HPCA,0
HNRNPH3,0
STMN2,0
STMN3,0
HMGCR,0
RPF2,0
HIVEP3,0
HIVEP1,0
STMN4,0
HINT1,0
HERPUD2,0
HERC1,0
HEBP2,0
HCFC1R1,0
HAX1,0
STMN1,0
THBS1,0
MLC1,0
MORN4,0
PRKCG,0
PRKAG2,0
PPP1R1A,0
PPP1R13B,0
PPME1,0
POLR3H,0
POLR2H,0
PODXL2,0
PNPLA6,0
PNMA1,0
PML,0
PLXNA1,0
PLK2,0
PLEKHJ1,0
PLEKHB2,0
PLCL2,0
PLCB1,0
PKIA,0
PITHD1,0
PIP5K1B,0
PIK3R1,0
PIGQ,0
PIGH,0
RRAGD,0
PHACTR1,0
RSL24D1,0
PES1,0
RTN1,0
RTN4RL2,0
PRR7,0
PRRC2B,0
PRUNE2,0
PTDSS1,0
RNF2,0
RNF11,0
RND1,0
RIPOR2,0
RIMBP2,0
RICTOR,0
RHOF,0
RPL24,0
RHBDD2,0
RGS5,0
RETREG1,0
RELCH,0
RCHY1,0
RCAN2,0
RUSC1,0
RBFOX2,0
RASGRP1,0
RASGRF2,0
RASGEF1C,0
RAPGEF4,0
RAP1GDS1,0
RAP1GAP,0
RAC1,0
RABEP1,0
RAB40B,0
RAB12,0
PURG,0
PTPRO,0
PTOV1,0
PTK2B,0
RASL11B,0
SLC38A2,0
PDCD2,0
PCNP,0
NECTIN3,0
NECTIN1,0
NECAP1,0
NDUFB9,0
NDUFB10,0
NDRG4,0
NDFIP2,0
NCDN,0
NCALD,0
SGTB,0
SH3BP5,0
NANOS3,0
NAALADL1,0
MYLIP,0
MYL6B,0
MYL6,0
SHC3,0
MYG1,0
SHISA9,0
SHTN1,0
SLC12A5,0
MTMR7,0
SLC15A4,0
SLC1A1,0
MSMO1,0
MRPS36,0
MRPL52,0
MPP3,0
MOXD1,0
NEFM,0
NELL1,0
NELL2,0
NETO1,0
PCLO,0
PCDH17,0
PBRM1,0
SARM1,0
SCAMP5,0
PAQR8,0
SCARA3,0
PANX1,0
PAK6,0
SCRN3,0
OMG,0
NUAK1,0
NTNG2,0
NTN4,0
PCYOX1,0
NT5C2,0
NRG1,0
NR4A2,0
NPTXR,0
NPTX2,0
NPTX1,0
NPPC,0
NPB,0
SEC61G,0
SEMA3A,0
NMT2,0
NFKBIE,0
SEPTIN7,0
NEUROD6,0
SERINC3,0
SEC11C,0
GALNT18,0
RNF34,0
UCHL1,0
ANKRD29,0
CHST8,0
UBE2QL1,0
UBLCP1,0
ANO3,0
CHRD,0
CHP1,0
CHMP7,0
ANO8,0
CHGB,0
UBQLN2,0
CFAP97,0
CELF4,0
CELF2,0
CELF1,0
CDK5R1,0
GALNT17,0
CDH11,0
CDC42SE2,0
CDC42BPA,0
UGGT2,0
CCDC88A,0
AP1G2,0
UQCRH,0
CCDC47,0
CKAP4,0
ANKRD13B,0
UBA5,0
CNFN,0
CTXN1,0
CTNNBL1,0
ZCCHC17,0
CSNK1D,0
CRYZL1,0
CRYM,0
CRMP1,0
CRIP2,0
CRACDL,0
CRACD,0
WDR1,0
TTC9B,0
AP1S1,0
AMPH,0
COMMD2,0
COL6A2,0
ZBTB8OS,0
TUBB3,0
ANK3,0
TUBB4A,0
TUSC2,0
COBL,0
TXN,0
CNOT8,0
CNNM1,0
CNIH3,0
TUBB,0
TRUB1,0
CCDC3,0
CCDC14,0
WDR37,0
BACE1,0
ARHGEF11,0
ARHGEF2,0
ARID4A,0
ARID4B,0
ARL8A,0
B3GAT1,0
WASF1,0
WASHC3,0
AZIN2,0
ATP9A,0
ATP6V1G2,0
ATP6V1F,0
