"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"A1BG",-0.0590696912697977,-0.431329154271593,0.456227552681156,9.04815051874665,0.589523372037477,0.630538196272731
"AACS",-0.0656400044976199,0.242746636270375,-0.491977470841364,9.36106366108562,3.38721964579088,0.0217212576745907
"AADAT",0.098901689756889,-0.223887600441153,0.0884047261857249,9.03677690360257,0.487903782059814,0.69646434159564
"AAGAB",0.31029868931589,-0.29877752317162,-0.195071430752308,9.16904092721416,2.444998832251,0.0721544108542502
"AAK1",0.148790926927698,0.0284850690110012,-0.157013753523626,9.1125768713692,0.452643157357786,0.716891734943132
"AAMP",-0.0864870014013656,0.151052122208657,-0.0275015201454886,9.37805125443872,0.458434886937076,0.711968078161021
"AAR2",0.0798628923359052,0.19165548674488,0.265836645518144,9.14551290717045,1.17192406839589,0.329036526692017
"AARS1",0.0147360666475609,0.39776364329448,-0.414795571190053,9.64124651368624,9.35671108074405,1.86819456007445e-05
"AASDHPPT",0.141454584269271,-0.209222602467123,-0.212383259546405,9.83488316813473,2.08097493371939,0.108930725155251
"AATF",-0.0202977986546822,0.0693277260952706,0.21120363280502,9.09183790781409,0.46988525283373,0.705467097008284
"AATK",-0.143939629507459,1.05915628779857,0.900665860938181,9.3068373400828,13.6620051395008,2.29449182420435e-07
"ABAT",-0.580607430523067,-0.493064273747493,-0.226888608199297,9.57747202146916,8.03623102093249,8.41974984244869e-05
"ABCA2",-0.00793693993868439,1.0010040878157,0.513533170249143,9.3285161245603,0.123151503083502,0.945993206410856
"ABCA3",-0.00744290975142913,-0.0152317611305659,-0.121627065948645,9.03413996162233,0.273595813468483,0.843357833592414
"ABCA5",0.0521383606508471,-0.618539045320795,-0.00889439076780686,9.06040997158936,0.218017220484989,0.882714493464047
"ABCB7",0.171023997548554,0.127875934645451,0.117959929991321,9.09861036455661,0.412001437296662,0.745408639590837
"ABCB8",-0.243988539471323,0.100843737640266,0.0505285824188944,9.11888689859581,0.927959929494233,0.43576785666582
"ABCB9",0.128528917590047,0.00820408747121478,-0.168252165275344,9.12543549147605,0.414902995070404,0.743121648003126
"ABCC10",0.303898491660047,0.371639632889946,-0.179805332104722,9.14363075108934,1.82270082683378,0.155108527343137
"ABCC5",0.141506871795147,0.28772862860569,-0.240734407579466,9.20330750980076,2.80118503171678,0.0457824203772282
"ABCC8",0.100000087195222,-0.466682104977747,0.11438062905602,9.10127226724854,0.954503813941956,0.425119364760894
"ABCD2",0.155554604554846,-0.12360400939667,0.32642129388348,9.0796293214175,2.24915694321045,0.104328148079006
"ABCD3",0.00688650354993388,0.244453584667192,0.706362133478316,9.1917823954863,8.96801796348223,4.80966919496817e-05
"ABCD4",0.018132140374918,0.575119513013433,1.17314485098604,9.1014713327664,5.78813345797993,0.00287125352254849
"ABCE1",0.243608705382274,0.204032860961553,-0.200236098927454,9.18645570284899,1.30340023770262,0.2826161782984
"ABCF1",0.163366394032323,-0.203801974049942,-0.342408511944173,9.18951416981583,1.93294681281697,0.135631402364969
"ABCF2",-0.051788533071744,0.400127587934585,-0.193892373829203,9.09025900987323,3.90006556650065e-07,0.999999999655876
"ABCF3",-0.28316616476951,-0.245639459355495,-0.257065451535667,9.21600613515784,2.40860023343155,0.0744048279884335
"ABCG4",-0.00611686005331498,0.183354280297526,-0.123061687510912,9.11587454054483,0.230912347845872,0.874325352886977
"ABHD10",0.07843117988994,0.102929674274465,-0.369012250531147,9.26430548888969,2.47826699365642,0.0675642976205065
"ABHD11",0.170621181339836,0.311389776064544,-0.210467160852099,9.12627623443072,0.706733882548227,0.553242747344657
"ABHD12",-0.0872880581939163,0.332419474283785,-0.0185349318731712,9.44007815553733,1.38829890063072,0.251286004069709
"ABHD13",-0.0089567069486345,0.368662939505734,-0.1762318461159,9.09050579171558,0.227511299846746,0.876578716881437
"ABHD16A",-0.0768725326580964,0.241926935752603,0.0289254277405275,9.32072538370823,0.325466176960613,0.806936163338639
"ABHD17A",-0.226656661271575,-0.421428528318211,-0.187818164198973,9.50657933878342,0.252312935802943,0.859326541991515
"ABHD17B",-0.0785336192464932,0.851238923711914,1.09272139294603,9.16710982606894,0.287129499962347,0.834457055197121
"ABHD2",-0.393899451244677,-0.450668735307622,-0.00820130528226183,9.24368602164771,0.379849627557148,0.76788544909442
"ABHD5",0.127394957993523,0.454005278469605,0.31597135452201,9.10069729916961,0.735446261385968,0.537949876845905
"ABHD6",0.104324248086284,0.290527545462778,-0.0809146104803568,9.22196153328181,0.367524939672317,0.776648547926451
"ABHD8",0.0802174167513593,0.0518770883748407,-0.346158586584658,9.28891522200608,3.58202948769576,0.017447141492536
"ABI1",-0.214494024928739,0.136541305518462,-0.0613676441102997,9.38817441390566,0.973047394867951,0.408979948666335
"ABI2",0.279943266743051,-0.129866064874664,0.0759327122299057,9.81846398878107,3.23776197636306,0.0266509394613179
"ABI3BP",-0.104563322487924,-0.34542692010779,-0.507534367381355,9.05510469988618,0.513655468529639,0.677797066452731
"ABITRAM",-0.198589240082813,-0.111648158350853,-0.220323466449079,9.13838394100351,0.766470671236513,0.518677795595937
"ABL1",0.239700438231526,0.637979914988293,0.0387953191232811,9.08014652885482,2.32330036834077,0.0956084762098219
"ABL2",0.0359261403974596,-0.0724159288521495,-0.067403908920323,9.03009592646232,0.186016300456995,0.903863098062733
"ABLIM1",0.0389819654956314,0.0445582390953323,0.00236242145682423,9.03307170622755,0.0154403293765231,0.997241089843623
"ABLIM3",-0.0292785233281154,0.577494827170408,0.630941059458055,9.17159542124664,5.41506968472815,0.00219203497305826
"ABR",-0.157084917085012,0.41168815488306,-0.403473009196811,9.74531872257362,0.230192862303803,0.874867579297134
"ABRACL",-0.288604626054026,-0.0512201336031107,-0.208608396077886,9.08096847608367,0.661663533815379,0.582284227865855
"ABRAXAS2",0.133367828195157,0.187490305818071,0.0967564808014232,9.11668597390055,0.300397828354239,0.824904192512927
"ABT1",0.0323607726694819,0.572134986797058,-0.0580078720274939,9.12174485890002,0.640629079630245,0.593050462897688
"ABTB1",0.435907046708556,-0.368409423896982,0.0889838656963897,9.22831265687429,4.68873751740697,0.00457668181654616
"ACAA1",-0.148549245080205,0.266383056183644,0.14822702739926,9.19696207868285,0.56652118910718,0.638823881722472
"ACAA2",-0.20067458554398,-0.380364503593863,-0.00428991387270721,9.10892016319877,1.12685879630268,0.350550496510544
"ACACA",0.253425744236221,0.00182220787208232,0.144205756045265,9.15765843315116,0.58433198907546,0.628039575040138
"ACAD10",-0.672762156101913,-1.16978120426783,0.450400490963628,9.26399582806221,0.615069282159509,0.608054971121121
"ACAD8",-0.142939333430644,0.0213264485730241,0.0120185098217148,9.08680316430064,0.212548268643999,0.88688522267202
"ACAD9",-0.0581434203021899,-0.0602833413143538,-0.780015443894048,9.16162574040544,8.58450824989209,9.63543374451745e-05
"ACADM",0.102659154123723,0.320191703565902,0.0506772767076328,9.08890535904095,1.03855258259229,0.388438493099639
"ACADSB",0.0344813307033056,-0.486008812161829,-0.459103618610603,9.16165878891291,2.4760316263051,0.0722898542920286
"ACADVL",-0.0461906952634307,-0.0810605316369711,0.467519224196942,9.23809982467993,3.85639137257565,0.0122719725797128
"ACAP1",-0.207059873798405,-0.287665242612097,0.0451406705270777,9.07956805777383,0.105586374946409,0.956141954567848
"ACAP2",-0.3061617492091,0.255146006393328,0.123459623604291,9.17573732317445,1.89259254649569,0.139250116508142
"ACAP3",0.296149946405689,0.125564595319558,-0.277287542307465,9.30423218833946,1.63826790203619,0.192738730599344
"ACBD3",-0.112580233433637,-0.245949540163304,0.212911767291389,9.14063029034773,2.64020155899513,0.059495295276891
