"","logFC.spline_1.human","logFC.spline_2.human","logFC.spline_3.human","logCPM","F","PValue"
"A1BG",0.244038108766823,0.286535241909256,0.2524270935596,8.93795513521433,1.3530387253998,0.266747002670192
"AACS",-0.388070405552712,-0.241364882497116,-0.039749743463499,8.89874948487329,1.92565720784608,0.131096400949231
"AADAT",-0.399770545461254,-0.369816256936547,-0.361726649576835,8.82261984695813,0.269978443221151,0.846744403120527
"AAGAB",0.0869281634163801,0.361438195705466,0.0443998085677199,8.83750965087706,0.579746458138725,0.630314977885281
"AAK1",0.231119073194848,0.421302215870692,0.0328392521191624,8.97760767775678,0.409946968181336,0.746269093612981
"AAMP",-0.132030756618428,0.0476436157149076,-0.0426381748198629,9.04981339097865,0.615561418435405,0.606453219645191
"AAR2",0.247241683287768,0.318990822096676,0.087297941830192,8.83590995651097,1.14175935824688,0.339233060436218
"AARS1",0.179534022008701,-0.175912770609352,0.0576469489829875,9.05484781061173,2.07563870124459,0.107797512189822
"AASDHPPT",0.109096176173189,0.192131545484175,0.104496606049617,9.52110030881987,0.566460065071781,0.638484332797154
"AATF",-0.21900660558106,-0.496754725589421,-0.041535975497436,8.77912312860983,0.797640251196572,0.502050997728619
"AATK",-0.218337427152123,-0.351020726899149,0.115991069512739,8.88728328333917,1.55076857291048,0.207292297304571
"ABAT",-0.261817081282731,-0.201519770890995,0.191507533365727,9.25788275265213,3.92914784672407,0.0107093294553844
"ABCA2",0.0873098916879246,0.133079427913132,0.0308899994384136,8.87753739195108,0.259261678419191,0.854444398018541
"ABCA3",0.305778264086836,0.394134321782386,0.0809748252498648,9.00687102925149,0.192766896557817,0.900943320757051
"ABCA5",0.197809205729047,-0.079278390182237,-0.115735435803901,8.82989872440493,0.549961062709969,0.650159517934066
"ABCB7",0.0741695331781766,0.296558445650125,0.00638152339949309,8.75791598615111,0.378532351706239,0.769054483446832
"ABCB8",0.0129171696643474,0.193978652068173,0.0227628138442845,8.83325945039958,0.173702302142839,0.913832827761047
"ABCB9",0.0666190377325937,-0.302903696002354,-0.248608090382656,8.78048301063877,0.474406690071294,0.701730812994016
"ABCC10",-0.168493058018712,0.261445428649015,0.214594322838672,8.78992863190312,0.763692394784493,0.519877241046534
"ABCC5",-0.280574083417029,-0.423644608315551,-0.22200039952352,8.8972755839783,2.63357000799414,0.0551039603313097
"ABCC8",0.117516171409472,-0.0510705708264941,0.0603573306584943,8.78512841711715,0.239127826226007,0.868603152231058
"ABCD2",-0.163016373422812,0.237075380333727,0.127474668898516,8.77384474905848,0.831338542590214,0.484481078694046
"ABCD3",-0.239971036867332,-0.132750026233591,0.0870216008276263,8.94484489683764,1.04300347558146,0.377261524167897
"ABCD4",-0.342659642583511,-0.464949860305577,0.0527642807403098,8.79940458216586,1.15046844146833,0.338049243530188
"ABCE1",0.158503649249858,0.26987747324995,-0.0478794111478483,8.86021274013813,1.11280109639237,0.350331363313878
"ABCF1",0.196527644226362,-0.372209474240332,-0.0980907152993551,8.81000539559882,0.596802100725794,0.619766875926306
"ABCF2",0.139286258537864,0.141041827772992,-0.0622542981301018,8.78818979572595,1.39548161309846e-07,0.99999999992684
"ABCF3",-0.139294010095776,-0.211695904769783,-0.117678347841502,8.81114788445587,0.313368349725478,0.815634524751688
"ABCG4",-0.113803817883092,0.297447217576155,0.23088999882658,8.75296198145671,0.520238124886426,0.671475988401452
"ABHD10",-0.150651223546459,-0.286593241402328,-0.0131622716956664,8.92256185823759,0.651148555815068,0.584402029980579
"ABHD11",0.0244199231454118,0.117801012090968,-0.0337565331633162,8.72142946776174,0.157375690242536,0.923705683273789
"ABHD12",-0.0667117224294335,-0.0950802247195254,0.0103753632719658,9.04135912962172,0.0864039923203704,0.967343074111357
"ABHD13",-0.00601618109837816,-0.0979429922080814,-0.150232711448485,8.78212730526723,0.0850229891069521,0.967893832139067
"ABHD16A",-0.210151010601647,-0.272331167442494,-0.0391174277289921,8.84898937440108,0.764004332082492,0.518572402928534
"ABHD17A",-0.0928146229583897,-0.33982192368307,-0.110872115608039,9.06813789667665,0.609478720015692,0.611361724609095
"ABHD17B",0.157014902768491,0.333600515287981,0.0858750908794302,8.81552309642001,0.695928463085832,0.558550552525673
"ABHD2",0.0567029288479871,-0.728913919637275,-0.0899939354320637,8.95448615035457,0.248896044613306,0.861837895313135
"ABHD5",0.223282007639974,0.444189211087803,0.325119043451062,8.79653840847565,1.00901260521367,0.396172736424659
"ABHD6",0.351670181284359,-0.735365975393854,0.203967543855376,8.81841483447907,3.13746126067014,0.0317186800657378
"ABHD8",0.0663638794097976,-0.330341232428541,0.131598294880229,9.02610950824107,2.10211630103713,0.105057288381564
"ABI1",-0.0680069654578594,-0.45394547335288,0.00439125685296497,9.0496099570262,0.976357255357664,0.406915385861107
"ABI2",0.0969645677321539,0.534038400310231,0.124626263210382,9.72321071471771,2.8468951409091,0.0422509180835955
"ABI3BP",0.455288756130749,0.233254795002489,-0.334910591648586,8.78068425360731,0.442251505417877,0.724313432735042
"ABITRAM",-0.275518252980053,-0.0866436448184035,-0.0189107393596421,8.76198055971296,0.856151798271554,0.47354205131547
"ABL1",-0.00629538030041792,0.209603420333171,-0.0141296642832832,8.83963980661262,0.167969313300133,0.917627048904872
"ABL2",-0.363488499142187,-0.395971233147454,0.00363395402955648,8.83735887361339,1.43495541101887,0.242593439714015
"ABLIM1",-0.0993520560599134,0.0422717726556685,0.0685760366281942,9.03926188863654,0.321197028720578,0.810004753959263
"ABLIM3",0.262386019860386,0.492877697956771,0.347473582982788,8.85444981672994,2.64421364668177,0.0547808004959738
"ABR",0.237743130167405,0.358703190638658,0.0992441089745523,9.2261020752002,0.232595968006941,0.873314546363047
"ABRACL",0.171328319750528,0.471824864892863,-0.107822828758007,8.85673204802333,0.721944779848007,0.542266370166906
"ABRAXAS2",0.184500797810958,0.395085459250618,0.143106327808529,8.77248839987252,0.803385349576454,0.499377986960189
"ABT1",-0.21313430842059,-0.445786833744221,0.0210270987902761,8.76082671323076,0.506579101728158,0.680296646037529
"ABTB1",-0.188208928155479,-0.43546378218645,-0.115779637489931,8.8153269234063,1.25486919896995,0.298158701173385
"ACAA1",0.00371002359410445,0.266478073793186,0.155257522776952,8.88351927130101,0.33869909265128,0.797387573436013
"ACAA2",-0.137522531602605,-0.0379027103218171,0.309432261103716,8.79210382030883,1.32219006016615,0.27745748311589
"ACACA",-0.0771925470207469,-0.140572109309648,0.211288739836126,8.95225412404161,0.99456145098448,0.398526199317302
"ACAD10",-0.160722677587759,-0.0257551066482359,0.0135203832698975,8.72400780037755,0.147211463956462,0.930288178222589
"ACAD8",-0.315695043527548,-0.342161871824599,0.0430286687036197,8.79958445777336,1.31573737338278,0.279510763558601
"ACAD9",-0.097653536407551,-0.238702851349231,-0.190853101689252,8.77752465245831,0.399747023925151,0.753876107441674
"ACADM",-0.0546538936509587,-0.100956572738988,0.0746009278368427,8.80020011881803,0.735448901439396,0.535318484048433
"ACADSB",-0.125491421515453,-0.252502840993007,0.0642514802556496,8.77393115866683,0.419495140500215,0.740038005046002
"ACADVL",0.0683752688285839,0.226358647009921,-0.052736098754123,8.93741981094169,0.51867303866936,0.670473153692992
"ACAP1",-0.010172439011822,-0.324948441513838,0.266774662144929,8.80323219573232,1.38800901774271,0.256203177711623
"ACAP2",-0.031730574664534,0.157258867491576,0.0136412663821997,8.84278046135288,0.0574792370217897,0.981763540744672
"ACAP3",0.0778904038325856,0.119699465980909,-0.0858850089985475,8.97138073602958,1.56583601518473,0.20680438129808
"ACBD3",-0.175882027352262,-0.16524928423596,0.098086085544512,8.88082874343215,0.749245851193582,0.525855399973447
"ACBD5",0.081507862622452,0.0274310786246235,0.351806053792079,8.88147219356781,2.62956805991603,0.0550330553640049
"ACBD6",-0.164819804058221,-0.379338802722017,-0.202898207004774,8.96598778172979,1.3198756384674,0.272989310344789
"ACBD7",-0.172436492680695,-0.343280487883835,0.229305966104862,8.72107551688842,0.119008366243231,0.947864078077697
"ACD",-0.278996230972982,-0.438254331013721,-0.313224285275155,8.87434258607781,1.83578256501527,0.148310848440611
"ACE",0.180563171136033,0.26600953959773,0.189951338842413,8.7306686763467,0.450455382542872,0.719494639705027
"ACER3",-0.0484575134074461,-0.454319841980865,0.176732644619123,8.76402184428934,0.249408591794257,0.861257271835304
"ACHE",0.465273182947599,0.152066796830051,0.367021170574943,8.90598007828028,3.37984455758056,0.0224303083143547
"ACIN1",-0.203506430768196,-0.398607589319223,-0.198896707258536,8.87746365931692,0.837539603048254,0.477198404873026
"ACKR1",0.125147218952097,0.385841332304935,-0.366937579659232,8.84845113513935,1.99064951530982,0.126793370268516
"ACLY",0.00957559791576568,-0.11743965940227,-0.114658968643053,8.96201535381783,0.41083880969551,0.745742759992118
"ACO1",0.151647421708949,0.125519643286487,0.061717225100633,8.7888099696454,0.298759937054582,0.826112676231911
"ACO2",0.0345354282910226,-0.252037111411269,0.0573570996137897,9.16089757211915,0.877457242166297,0.455345817508168
"ACOT13",-0.170286098948406,-0.411621308288905,-0.279576279023266,8.82834759092021,1.5192448366853,0.217438687978483
"ACOT7",0.0270469554599128,-0.140757203706692,0.00185510392230586,9.72513373305953,0.193137325854779,0.900792328229605
"ACOT8",0.0448726880076594,-0.139082998728918,-0.172975112294892,8.89805229676095,0.590791655440462,0.622674334205467
"ACOX1",-0.0982958490343361,0.0438218735384856,-0.0484994241311128,8.80297173003487,0.974684045622364,0.411678454434744
"ACP2",0.161922857442204,0.225216166343082,0.0812929527701712,8.77094517857593,0.0740647156142726,0.973585575622876
"ACSBG1",0.107363808944209,-0.468602714819899,0.00275350836673266,8.74516776827261,0.968819696154174,0.421350936194764
"ACSL1",-0.58359342807357,-0.625277639904,-0.353637676639434,8.83186848566412,3.87491118279867,0.0131675029846267
"ACSL3",-0.0925559705683117,-0.118513328257433,0.174438258502798,9.16545523287151,0.774602099899505,0.510809812577606
"ACSL4",-0.227887708930482,0.46123802774113,-0.383251523079715,9.20091425879335,0.409448313552531,0.746834299687993
"ACSS2",0.0291048049576342,-0.525022639551953,-0.278339805566011,8.76956795712783,0.735249183028145,0.537318430101117
"ACTA2",-0.16006655039972,2.48137132287501,0.349168673213252,8.76522061756005,2.57246018612422,0.0767396567838399
"ACTB",0.0581386036661837,-0.00440981957881924,0.0415466515650655,11.7173453823805,0.286153092157366,0.835197531518921
"ACTG1",-0.0840424503491038,0.150012148339835,-0.121096917703986,12.2291395823883,1.57086262991165,0.206345837176835
"ACTL6B",0.0576720670904384,0.0547627500384879,-0.243179830091976,8.9714638724766,0.384321475472154,0.764648964815279
"ACTN1",-0.341748770113055,0.0390637326687509,-0.141247810402364,8.78358315548408,1.12297450618701,0.349817724953262
"ACTN2",0.87388346570384,0.876453417688864,0.761070102596441,9.19946318035981,11.2849492117172,2.44221880804096e-06
"ACTN4",0.0601514746193529,0.181263051415937,0.216979710201778,9.01205594624065,0.487918700827808,0.691473045159904
"ACTR10",-0.0791947549501537,-0.377674152087593,0.0506629748102264,9.31107547260999,1.98760605123796,0.120945656313715
"ACTR1A",-0.100367648706194,-0.192395188884243,0.122480490641762,9.13096484451338,1.22007315049975,0.308001441481429
"ACTR1B",-0.208095798529924,0.0485086470671092,-0.148433564394874,8.9363889829101,1.19788831081597,0.315007447201404
"ACTR3B",0.242362919764461,-0.345533466317703,0.163924123962519,9.44407117628471,2.28763405218892,0.0840144862452585
"ACTR6",0.0381123424022864,-0.152358686616645,-0.0659296346348934,8.91238614027732,0.11138419191842,0.953225681135412
"ACVR1",-0.0297830121977511,0.123307105891561,0.0676212231205097,8.80538851170672,0.0916084222389463,0.964367861094928
"ACVR1B",0.0366952267267915,-0.467212049226745,0.161811519825766,9.07724968053966,3.4998999824757,0.0183741289575682
"ACVR2A",-0.346064722367521,-0.19952661962261,-0.0730325690469876,9.00865183140403,2.33910666017593,0.0784630754133473
"ACYP2",-0.391357268098614,-0.545320181315928,-0.0439990017257613,8.88336693735504,0.161401817366964,0.921930061789652
"ADAM10",0.0222196725005989,0.184546029368462,-0.0414083510662898,8.99675081559913,0.281687536286791,0.838510750874486
"ADAM11",-0.0424277123995046,0.0890383355201772,0.312830674037599,8.91645158909574,2.93341516394746,0.0375351490812323
"ADAM15",0.263787330016665,0.431523853762387,-0.140245217281446,8.79155007719543,1.15361515997901,0.337332601395769
"ADAM17",0.0898717343561383,-0.316504406119659,-0.232773902701328,8.79213732027709,0.417707237725004,0.74106249512466
"ADAM19",-0.172403198730762,-0.766946652533758,-0.0224005682032926,8.7885234838284,0.732018285094978,0.538036421898304
"ADAM22",0.136760884571865,0.490407638914739,-0.332016870622459,8.95648979669227,0.883484197575271,0.454810656404033
"ADAM23",-0.188150600704893,-0.562771120913648,-0.428117972992822,8.99013447436762,4.28340470685821,0.00693274850392838
"ADAM9",-0.135963187519048,-0.327093398067056,0.0180319940676296,8.78359164333887,0.403057066469311,0.751473466883743
"ADAMTS10",-0.205237248930434,-0.421677320096829,-0.115114925531211,8.80878550381209,0.086740849678624,0.966984884240532
"ADAMTSL2",0.402091998529459,0.0173260260256209,0.201077433166074,8.76087201858759,3.82452178633703,0.0180152159552448
"ADAR",-0.158700825844637,-0.226595296083682,-0.164119979776563,9.10912668712088,1.2091923827611,0.310052916377817
"ADARB1",0.317008781938576,0.279757608142639,-0.028815498939033,8.81211854208109,0.207092628108011,0.891029264874251
"ADCK1",0.0823239812671215,-0.00156840670982719,0.0324554533652517,8.77206865701568,0.125063594604177,0.944741294131205
"ADCK2",0.202718010603848,0.4081225566126,0.0381433878793286,8.82548109247307,0.0797308969796146,0.970745147870284
"ADCK5",-0.0252266579571134,0.0393364857858839,-0.11404546602063,8.74125773846453,5.08990421655224e-08,0.999999999983727
"ADCY1",1.17538658733771,1.46120636144508,0.969252806557421,10.4393106358417,1.81561877885131e-08,0.999999999996535
"ADCY2",0.0148517006433193,-0.573802656599502,-0.272327537440158,8.86619126301218,0.641808306263419,0.591192530322769
"ADCY3",0.076497469668991,-0.0292526208263424,-0.163140661591446,8.86284897894301,0.570357172771206,0.636188719807953
"ADCY5",-0.145869417639288,0.0781651133101194,0.294806550377589,8.83339024988237,0.587387195407501,0.625566444962582
"ADCY7",0.0255486129931874,-0.234542626916357,-0.0628615706692911,8.81759461180865,0.07482286723882,0.973306966076671
"ADCY8",0.0638760775755629,0.331928873342663,-0.244828849564151,8.77459798533629,0.466430840495956,0.707498513713263
"ADCYAP1R1",-0.297253265184891,-0.91622510930818,0.243953181455548,8.8867786489846,0.345006598409601,0.792854869280077
