"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"A1BG",-0.35062830393962,-0.811411147252681,0.252720005007005,8.82215101805305,0.195660428495905,0.898891772847658
"AACS",0.323992446446897,0.487465125955874,-0.533765597120717,8.91745181767617,5.62828889444307,0.00135478050496678
"AADAT",0.489599370960757,0.0559985056897134,0.456415078549489,8.71661881848365,1.89178505138282,0.143524558317161
"AAGAB",0.254120919224436,-0.718885426847992,-0.310091881406412,8.73562760070985,2.71304547030468,0.0519475020398949
"AAK1",-0.0632107996223584,-0.457648715302945,-0.246560568022355,8.85491208554323,0.57358625817315,0.634216224014831
"AAMP",0.0429680848054394,0.0710785481790676,-0.0518359783760015,8.98126061455648,0.180723049855516,0.909273791302931
"AAR2",-0.165730858302876,-0.15234398379106,0.153358105250755,8.74381244207406,1.77054475670505,0.161266742488941
"AARS1",-0.165394611667898,0.55226063459338,-0.549781760862261,9.09497632656446,12.1326966898479,7.19844652616807e-07
"AASDHPPT",0.0330360628231587,-0.444962788537739,-0.390168365374344,9.48304101614646,2.8796547824912,0.0401394349931069
"AATF",0.206986989528188,0.580508913332377,0.254097175946149,8.6858092761781,1.36587735924529,0.265605698472313
"AATK",0.0839088636996209,1.44144145137581,0.755092829703837,8.86436203761026,7.82523124461861,0.000103730714096325
"ABAT",-0.33447246110225,-0.34216802392039,-0.492007024364944,9.16476154976555,10.4273767864971,4.85245110669556e-06
"ABCA2",-0.0607578708518658,0.954029954546265,0.428787659326272,9.00732229901102,4.09022772877852,0.00883659302026037
"ABCA3",-0.340495833654971,-0.436034251794232,-0.22465952211011,8.8984174541812,0.456746666342125,0.713492521508409
"ABCA5",-0.166418993103531,-0.633653350191761,0.0829762724484769,8.71667127577693,0.143513871929925,0.933381232270797
"ABCB7",0.124880797888475,-0.170972078050278,0.0818992449682311,8.68911095326237,0.37451997222793,0.771758663797276
"ABCB8",-0.312696393862881,-0.135408762894843,0.00709741262396179,8.69930968680036,1.15398669315833,0.336312297814864
"ABCB9",0.0842436056486441,0.311973293864538,0.026562597665684,8.69211208984641,0.222891796144507,0.88001641361572
"ABCC10",0.512813466816511,0.141964724599998,-0.465339991346092,8.72029406727548,5.74774827430812,0.00158926436640037
"ABCC5",0.430516371193648,0.708428428223377,-0.0918632477733996,8.79679597919553,4.80803140571863,0.00392142003030197
"ABCC8",-0.00882709324531655,-0.491147876983437,0.0278213016833641,8.68477161549558,0.790382164887545,0.505763332605295
"ABCD2",0.30577768709012,-0.457677519611324,0.243356614705388,8.63342804419977,2.24433297075065,0.110685600145095
"ABCD3",0.213660409853451,0.32012632961717,0.642532008434673,8.7861044009005,5.33610415527358,0.00220484834986346
