,human,chimp,macaque
AACS,0.001205666470695877,0.014286622776331036,0.31873604586575416
AAGAB,0.7315752645134986,0.6613444077977308,0.024143483105546103
AAK1,0.0006584250558478139,0.6991746529639429,0.06965687944382973
AAMP,0.7626165234323112,0.5303387472501438,0.9475276555383545
AAR2,0.3126228991121391,0.4365710783505229,0.3433706361396034
AARS1,0.08530242623468888,0.07060970863456618,0.3948887068131459
AARS2,0.5457395078588047,0.4528786978503998,0.9498725040035607
AASDH,0.8374860176413983,0.5734976082821671,0.4946404620956484
AASDHPPT,0.025468871108869404,0.2025864291165778,0.03918317521315319
AATF,0.4600780910596779,0.04736401063380102,0.0007003463011153604
AATK,0.0014675526284403826,0.07349671307015077,4.0532369183719193e-07
ABAT,0.0020134599925533216,0.0067722491584072154,0.009436222645804243
ABCB1,0.30025627492457607,0.12957109133643605,0.020847107049912918
ABCB8,0.16941255827319232,0.3107834115981203,0.8207160697175097
ABCB9,0.27877099381879344,0.06330487597519678,0.3222450599639912
ABCC10,0.01071145969825806,0.0742520871974771,0.053280933053282666
ABCC5,0.010657205175389902,0.07638518617839485,0.47956608972969816
ABCC8,0.768662174486127,0.05631689352497448,0.5631059705746106
ABCD3,0.0019996442232035204,0.03277093201765972,0.1423741901310009
ABCD4,0.07103266676618866,0.4993016056481703,0.01215864525833865
ABCE1,0.4702006971751189,0.1504914446523633,0.6755166886993288
ABCF3,0.32169895772471246,0.006012545244237072,0.589004432996689
ABCG4,0.22947654854776248,0.09090120879221288,0.14729152893128908
ABHD10,0.0001752366922822311,0.01151028275137921,0.08634473455428898
ABHD12,0.016935947323651165,0.5033389679693046,0.08671734154201079
ABHD16A,0.013934361190627836,0.08594591914932671,0.24076757370543314
ABHD5,0.4996250301164016,0.23570717974917382,0.42381434190961076
ABHD6,0.0008024932692834268,0.01107127603102487,0.06026337409367253
ABHD8,0.0012282681013174234,0.32671870645153345,0.042234093152195167
ABI1,0.003721291454168234,0.41186806140851884,0.021275107892863757
ABI2,0.08185258721085878,0.3070353469054291,0.30129448449515683
ABLIM3,0.0009238305355989541,0.7388217396033481,0.014123510499585549
ABRAXAS2,0.22854531662069627,0.0890150123890394,0.7951007712933724
ABT1,0.0015956011843912214,0.22077528248872672,0.0906391680930665
ABTB1,0.0443588661130539,0.2059599511371641,0.01062858590325196
ACAA1,0.015222161898426446,0.49154351479083,0.06872476888235263
ACAA2,0.46614442385290644,0.38128131931805964,0.055733801142466836
ACAD8,0.45856572070026735,0.37565823912073565,0.23090508592455775
ACAD9,0.3783045830290651,0.1615193879179319,0.08381270655692417
ACADVL,0.042712443492749004,0.7094162242137378,0.17429026728443237
ACAP2,0.05240089935456167,0.3473407839353128,0.1727211664536231
ACBD3,0.08417119800564704,0.3969130378872004,0.19660684698079098
ACBD5,0.10232993886950315,0.966864884206788,0.40998283749718323
ACBD6,1.1637541573022438e-05,0.025810173736230145,0.002991126551163178
ACD,0.1241816373423303,0.2944620150621826,0.22560853843209955
ACHE,0.02004530918021977,0.5367420580386615,0.12007367531231351
ACIN1,0.07704338381567574,0.5306578600322267,0.9560358317764102
ACKR1,0.40028970948657766,0.9213638363382709,0.017115950728300394
ACO1,0.14247598025509847,0.7180853702625591,0.6271689590348086
ACO2,0.010985317408559113,0.8993384119134734,0.06300961152368645
ACOT13,0.3062053553190986,0.0036038378559826037,0.4377035341147977
ACOT7,0.1813812762224901,0.20446161662661366,0.3732898251207648
ACOT8,0.5294270856172942,0.11992147137563369,0.5739913265173349
ACSBG1,0.009020877840549923,0.4721985844202171,2.077791460123085e-06
ACSL1,0.0074521738105069145,0.053416244762170544,0.0019850090547504752
ACSL3,0.1372376213493843,0.0793601410567933,0.638862699732619
ACSS1,0.0812418140828498,0.17565429452398595,0.21615475492252909
ACSS2,0.7599742506037162,0.04706717964232752,0.6593989832347645
ACTA2,0.15613110535741712,0.0034012810686241666,0.0004433387632362372
ACTB,0.006569580672163006,0.4494982642090182,1.1963483347760156e-05
