,0
GRIK3,0
NEGR1,0
SYT1,0
FAM171B,0
SYNPR,0
SYN2,0
SCUBE1,0
FOXP2,0
GAS7,0
MYO16,0
SSTR2,0
PTPRK,0
SYT6,0
GRK3,0
GRM5,0
SSBP3,0
SERPINI1,0
HS3ST4,0
SERTM1,0
IFI6,0
LSAMP,0
IGFBP2,0
IGSF21,0
KHDRBS3,0
SLC24A2,0
GRM3,0
SLC17A7,0
TENM2,0
CHST2,0
ADCY1,0
ADRA2A,0
ALCAM,0
XKR4,0
BASP1,0
PRICKLE2,0
PPM1L,0
PGM2L1,0
CDH13,0
PEX5L,0
CHST1,0
LRP1B,0
PDZD2,0
PCP4,0
TOX,0
PCDH9,0
OPRK1,0
RGMA,0
RGS4,0
DCLK1,0
DNM3,0
NPY,0
SCD5,0
TRPM3,0
SCG2,1
RFLNB,1
NEUROD2,1
PRSS12,1
DACT1,1
CSRP2,1
CUX2,1
DAB1,1
CDC42EP3,1
CCK,1
EBPL,1
EIF1B,1
ENC1,1
CAMK2N2,1
TAFA2,1
EXOC6,1
STXBP6,1
STK32B,1
SOX11,1
COTL1,1
TOX3,1
UBAP2,2
SESN3,2
SLC7A11,2
RPL12,2
SCRG1,2
SPARCL1,2
TTC3,2
ACTA2,2
NCAM2,2
HEPACAM,2
B3GAT2,2
BPTF,2
COL1A1,2
COL3A1,2
CRH,2
ENTPD2,2
ERBB4,2
FOS,2
GFAP,2
PROX1,2
HIPK2,2
ID2,2
IGF2,2
ZBTB20,2
MAF,2
MAN1A2,2
MBP,2
PRKCA,2
NFIB,2
OGFRL1,2
NKAIN3,2
LHX2,3
PLP1,3
CDH8,3
NRN1,3
RORB,3
NRIP1,3
NPNT,3
FABP7,3
ETFB,3
LPL,3
FJX1,3
SYNE1,3
FOXP1,3
GREM2,3
SSTR1,3
ZBTB18,3
TAFA1,3
PRKCB,3
