,0
MMS19,0
GADD45G,0
SLC25A38,0
NUMA1,0
FBXO9,0
FBLIM1,0
FAM107B,0
TMEM263,0
PCGF2,0
PDE1A,0
PIGT,0
PLAGL1,0
SLC39A10,0
EFNA2,0
SF3B6,0
TOR2A,0
TRMT11,0
TSPO,0
NPEPL1,0
GPR153,0
GPX4,0
NDUFB8,0
SLC9A3R2,0
MARCKS,0
MAU2,0
SMARCD1,0
SND1,0
MAX,0
SNX15,0
MBD1,0
PLXNB2,0
STIP1,0
ISOC2,0
IGFBP6,0
ZNF362,0
MRPL10,0
MRPL13,0
HYI,0
MRPL50,0
NANS,0
SLC37A1,0
DCAF15,0
SH2B3,0
PRPF6,0
BLVRA,0
RRAGC,0
RNF34,0
CAMK1G,0
CARS2,0
RRP9,0
ARVCF,0
APOO,0
RBIS,0
AMFR,0
BET1L,0
RAB22A,0
CDC23,0
AHNAK2,0
UNC119,0
ZEB2,0
ADAM15,0
ADI1,0
CPNE2,0
AFTPH,0
TTC8,0
COTL1,0
PTRH1,0
RAB10,0
PSME2,0
VIPAS39,0
APP,1
ANK2,1
KLHDC8A,1
ZBTB18,1
KLF6,1
YWHAH,1
RNF41,1
ATP1A3,1
KIF21B,1
GNAZ,1
RGS17,1
SEZ6L2,1
SCN3A,1
CPNE6,1
DPYSL5,1
CHN1,1
PHF24,1
EPHB6,1
RASGRP2,1
FAXC,1
FAM3C,1
TMEM108,1
TMED3,1
REEP5,1
LINGO1,1
SLC2A4RG,2
OS9,2
MGP,2
SIPA1L2,2
RPL12,2
SLC2A1,2
PPP2R5C,2
NOL10,2
SLC38A10,2
MRPL51,2
RBM23,2
ID2,2
LAMP5,2
FLNA,2
GAD1,2
TECR,2
CSNK1G3,2
TCEAL4,2
SLC38A3,2
HEPACAM,2
TTYH1,2
HERPUD2,2
CNTNAP4,2
RPL31,2
HIGD2A,2
JAKMIP2,2
TOGARAM1,2
STK17A,2
IFI6,2
CCSER2,2
CCNI,3
CCK,3
VGLL4,3
PRSS12,3
CSRP2,3
TTC3,3
PPP1CC,3
EEF1G,3
EIF1B,3
EIF3F,3
EIF3L,3
RPS3A,3
RPS3,3
TMOD1,3
ETFB,3
PABPC1,3
PGLS,3
FGF9,3
MYCN,3
KHDRBS3,4
IGSF21,4
CD47,4
KLHL1,4
ALCAM,4
PTPRK,4
GNPTAB,4
VAT1L,4
FOXP1,4
FAM171B,4
DCLK1,4
DKK3,4
PCDH9,4
PCP4,4
SYT1,4
ZBTB46,5
YWHAE,5
WWP1,5
TXNDC9,5
STAU2,5
SCD5,5
USP6NL,5
SELENOS,5
SMARCA1,5
SIAE,5
ABHD6,5
RGS6,5
RNF40,5
GRK5,5
GLRB,5
GDE1,5
FBXW11,5
ETS2,5
EPB41L3,5
ENTPD4,5
DUSP22,5
DNAJB2,5
COQ2,5
CHPF,5
CHERP,5
CDK8,5
CD99L2,5
CABIN1,5
BEND6,5
BBOF1,5
ATAD1,5
ASPHD2,5
ASPH,5
ASAH1,5
ADORA1,5
IGFBP2,5
JAM2,5
HENMT1,5
NRXN2,5
OPRK1,5
PLPP7,5
NRXN1,5
NCAM2,5
PPP1CB,5
PSAP,5
PLCH1,5
MAP1LC3B,5
MEF2D,5
RAB3GAP1,5
KLHDC8B,5
KIF1B,5
KCNK1,5
LIN7B,5
PHTF2,5
RSPH9,6
VLDLR,6
RBM24,6
PPFIBP1,6
ABI2,6
SPHKAP,6
TUB,6
JUP,6
DAAM1,6
TSPAN14,6
DOK5,6
LHX2,6
LGI4,6
KIAA0930,6
SYNGAP1,6
SIAH1,6
ZNF706,6
