,0
ADAM15,0
DNM2,0
EIF3F,0
CCSER2,0
FADS2,0
MAU2,0
SND1,0
MARCKS,0
RAB10,0
FAM171B,1
DLC1,1
GRM3,1
ID2,1
NCAM2,1
IGFBP2,1
EEF1G,1
DNPEP,1
IGFBP6,1
JAM2,1
RBM23,1
APLP2,1
TECR,1
SLC38A10,1
SLC38A3,1
SCD5,1
PHACTR3,2
SLC25A29,2
ELOC,2
NOL10,2
EPB41L3,2
AMFR,2
PES1,2
FGF9,2
ASAH1,2
GDE1,2
ZBTB46,3
ZBTB18,3
RSPH9,3
ZMYND8,3
SIAH1,3
PPP2R2C,3
KIF21B,3
NRXN2,3
OTUD4,3
LPL,3
TMED3,3
ZNF706,3
AKT3,3
GNAZ,3
FOXP1,3
CNKSR2,3
CPNE6,4
CADM3,4
CD99L2,4
SEZ6L2,4
SNRPD2,4
SYNGAP1,4
RAB3GAP1,4
SLC39A10,4
DYNLL2,4
TMOD1,4
LINGO1,4
NRXN1,4
PCGF2,5
FBXO9,5
SMARCA1,5
COTL1,5
ETFB,5
BLVRA,5
CPNE2,5
ENC1,5
SLC9A3R2,5
ASAP2,5
OCIAD2,5
EIF1B,5
PDE1A,5
DAAM1,5
VAT1L,6
WDR7,6
ATAD1,6
TMEM108,6
USP6NL,6
ALCAM,6
STAU2,6
IGSF21,6
SCN3B,6
KHDRBS3,6
RNF40,6
RALYL,6
DCLK1,6
PTPRK,6
DKK3,6
DPYSL5,6
PCP4,6
PCDH9,6
EIF4G3,6
GNPTAB,6
KLF6,6
SLC17A7,6
KRT222,6
