,0
SNRPD2,0
SEZ6L2,0
ELOC,0
SLC39A10,0
CD99L2,0
EPB41L3,0
RBM23,0
NOL10,0
ASAP2,0
FGF9,0
DYNLL2,0
PES1,0
WDR7,0
FBXO9,0
DNM2,1
RAB10,1
ADAM15,1
MAU2,1
FADS2,1
CCSER2,1
SND1,1
TECR,1
MARCKS,1
SCD5,1
EIF3F,1
PCDH9,2
KLF6,2
RALYL,2
PDE1A,2
PTPRK,2
KHDRBS3,2
RNF40,2
SCN3B,2
SLC17A7,2
STAU2,2
TMEM108,2
USP6NL,2
VAT1L,2
PCP4,2
IGSF21,2
KRT222,2
CNKSR2,2
DPYSL5,2
DCLK1,2
EIF4G3,2
ALCAM,2
DKK3,2
AKT3,2
GNPTAB,2
KIF21B,3
CADM3,3
ZBTB46,3
PPP2R2C,3
PHACTR3,3
ZBTB18,3
ATAD1,3
SYNGAP1,3
ASAH1,3
RSPH9,3
TMED3,3
NRXN2,3
NRXN1,3
RAB3GAP1,3
CPNE6,3
FOXP1,3
LPL,3
LINGO1,3
ZMYND8,3
GDE1,3
GNAZ,3
OTUD4,3
ID2,4
BLVRA,4
SLC38A3,4
APLP2,4
AMFR,4
SLC9A3R2,4
SLC38A10,4
DLC1,4
IGFBP2,4
IGFBP6,4
JAM2,4
GRM3,4
FAM171B,4
DNPEP,4
EEF1G,4
NCAM2,4
PCGF2,4
SLC25A29,5
TMOD1,5
ETFB,5
ENC1,5
COTL1,5
EIF1B,5
SMARCA1,5
DAAM1,5
CPNE2,5
SIAH1,5
OCIAD2,5
ZNF706,5
