,0
IGFBP6,0
EEF1G,0
TMED3,0
PPP1CC,0
ETFB,0
COTL1,0
SEPTIN6,1
GDE1,1
GNAI1,1
ST3GAL5,1
CX3CL1,1
FBXO9,1
PPA1,1
ASAH1,1
MAP1LC3B,1
KLHL2,1
OLA1,1
ID2,2
PDE1A,2
MACF1,2
NUAK1,2
AMZ2,2
SULF2,2
CALR,2
ERC1,2
EIF3L,3
MAZ,3
TRIR,3
PES1,3
CAMLG,3
RBIS,3
ECSIT,3
EIF1B,3
CHST10,3
ZNF706,3
PTPRK,4
VAT1L,4
SCN3B,4
PCP4,4
ALCAM,4
ATP1A3,4
CD47,4
CLSTN1,4
IGSF21,4
NRXN2,5
ZBTB18,5
SYNGAP1,5
DLGAP4,5
NRXN1,5
RGS2,5
LPL,5
KIF21B,5
LHX2,5
ZBTB46,5
IGFBP2,5
PSMB7,6
GAD1,6
LDHB,6
TCEAL4,6
MRPL51,6
NDUFB10,6
UBE2V1,6
ASAP2,6
NDUFB7,6
GPX4,6
