,0
ISOC1,0
CDK2AP1,0
PPP1R17,0
FAXDC2,0
CDK16,0
FBLN1,0
CDH4,0
PDE9A,0
FBXO2,0
SDC2,0
CDH11,0
SCRN1,0
SCPEP1,0
PPP1R18,0
SCN4B,0
LGALS3,0
TMEM201,0
TMEM219,0
FGFR1,0
PCSK1N,0
PPP1R1B,0
SCAPER,0
LFNG,0
CD151,0
PDHB,0
CD164,0
FEM1C,0
FDX1,0
SCG3,0
TMEM248,0
CD59,0
CD63,0
FERMT2,0
CCNI,0
CDK4,0
TMEM100,0
SERPINH1,0
SERPING1,0
CIB1,0
FAM107A,0
MGLL,0
MGMT,0
CHST7,0
MGP,0
CHRDL1,0
CHPT1,0
SEPTIN9,0
CHP1,0
TIA1,0
PEBP1,0
SEPTIN2,0
LMNA,0
FAM171A2,0
PDLIM5,0
TMED3,0
TMBIM6,0
TMBIM4,0
SELENBP1,0
CEMIP,0
LGI4,0
TLK1,0
FAM234B,0
FAM234A,0
SEMA3C,0
PPM1J,0
MIEN1,0
PDXK,0
SELENOK,0
MRC2,0
FGFR3,0
CCND1,0
KRCC1,0
RPS4X,0
RPS3,0
RPS27A,0
GANAB,0
RPS20,0
GAPVD1,0
GAR1,0
TRIM47,0
GAS1,0
RPS2,0
GATM,0
TRPM4,0
RPS12,0
GCN1,0
RPN2,0
C1QB,0
BRD2,0
GJB6,0
RPL12,0
RPL18,0
RPL22L1,0
RPL28,0
PBXIP1,0
TSPAN4,0
MT1M,0
MT1E,0
BTG2,0
GDI2,0
BTN2A2,0
PARVA,0
MT1X,0
TPP1,0
GABRG1,0
TPM4,0
CBX6,0
PPP1R3C,0
PCDH18,0
TOB1,0
FN1,0
S100A10,0
LAPTM5,0
LBH,0
FLNA,0
S100A16,0
S100A6,0
TNFRSF1A,0
CCN3,0
SAT2,0
S100A13,0
TFPI,0
RWDD1,0
CAVIN1,0
TPM2,0
GABBR1,0
CAMTA1,0
FXYD6,0
TPD52L1,0
MAN1A2,0
PPP1R9B,0
PC,0
CARHSP1,0
TOR3A,0
FSTL1,0
LAMB2,0
FRZB,0
FRY,0
PCBD1,0
KLF2,0
CKB,0
SFRP2,0
SRRM2,0
SLC9A3R1,0
EDNRB,0
EEF1A1,0
SSR3,0
DACT1,0
DAAM2,0
DAAM1,0
SLC7A10,0
EEF1D,0
EEF2,0
EFEMP1,0
EFEMP2,0
CYB5R3,0
SLC6A12,0
SLC6A11,0
CXCL14,0
SLC32A1,0
CSK,0
CSPG5,0
CSPP1,0
LRRC8A,0
SLC38A2,0
DCHS1,0
CTNNA1,0
CTSC,0
CTSO,0
CUEDC1,0
PNP,0
SLC3A2,0
SLC6A1,0
SLC39A1,0
LRRC41,0
DCN,0
SREBF1,0
PLSCR4,0
MAN1C1,0
SNRK,0
PLTP,0
PLPP3,0
MAGED2,0
SNAP23,0
PLIN3,0
SORBS3,0
PLXND1,0
MACROD1,0
SMTNL2,0
SOX9,0
SPAG9,0
DPY19L3,0
DPYSL4,0
LYPD6B,0
DDAH1,0
DDAH2,0
MAPK12,0
DDIT4,0
DDX3X,0
SPTBN1,0
SLCO2B1,0
SMARCD3,0
SPOCK3,0
DESI2,0
SPG21,0
DUSP1,0
PMP22,0
SMC3,0
DVL1,0
PHKB,0
CRTAP,0
SLC27A1,0
PFKL,0
COLGALT2,0
TAGLN,0
COL6A2,0
COL4A2,0
COL1A2,0
COL1A1,0
ERP29,0
LPL,0
SHF,0
ETFRF1,0
MEST,0
TAX1BP3,0
TBC1D10A,0
TBC1D14,0
METRN,0
CNN3,0
F3,0
CLIC1,0
SGK1,0
MFGE8,0
EZR,0
LONRF1,0
POMGNT1,0
PON2,0
METTL7A,0
SH3BGRL,0
CLU,0
CMBL,0
CMTM6,0
ETNPPL,0
TCF12,0
COMT,0
TAC3,0
ERBIN,0
CPNE2,0
CPNE3,0
EML2,0
SYAP1,0
EMID1,0
CPPED1,0
MED21,0
LRRC3B,0
SLC25A29,0
ELOVL5,0
PHF3,0
PHGDH,0
ELN,0
STYXL1,0
PGD,0
FABP7,0
EMP3,0
CPE,0
EPS8,0
SLC12A4,0
SLC1A3,0
COQ10A,0
SYT13,0
SLC1A4,0
CPEB1,0
EPHA4,0
EPAS1,0
COX7A1,0
PNRC2,0
SLC25A18,0
ENAH,0
EMX2,0
LRP1,0
RNPEP,0
DNER,0
RNF216,0
HNRNPH2,0
KAT2B,0
WSCD1,0
WTIP,0
AP3B1,0
YBX3,0
HS3ST5,0
AP1B1,0
JAM2,0
ANXA5,0
ANXA2,0
ANOS1,0
NUDT3,0
HSPA13,0
NUCB2,0
RAB31,0
NECTIN2,0
HSPB1,0
NUCB1,0
AMY2B,0
ZCCHC12,0
NTN4,0
ZCCHC24,0
HSPD1,0
ALPL,0
NT5E,0
ALG2,0
IVD,0
ALG12,0
HNRNPF,0
ALDH4A1,0
WFDC1,0
RNF40,0
VAMP3,0
ATP1A2,0
VEGFA,0
GUCY1A1,0
ATG2A,0
VGLL4,0
H2AZ2,0
PRSS53,0
VIM,0
ASIC4,0
RBM26,0
ASH1L,0
ASF1A,0
HAPLN1,0
PSAT1,0
HCFC1,0
ARMCX6,0
VSIR,0
KCNIP1,0
HEXB,0
RAVER2,0
WAC,0
ODF2,0
HIP1,0
WASF3,0
HIPK1,0
NDRG2,0
RASSF2,0
RASGRP2,0
APOE,0
ATP1B2,0
ALDH3A2,0
ALDH1A1,0
PTPRO,0
PTPRM,0
ZNF358,0
ACTA2,0
IL13RA1,0
ACSBG1,0
IL6ST,0
ITM2B,0
ACO1,0
ACBD7,0
ACAP2,0
ZNF385A,0
ITIH5,0
ACAD10,0
ZNF483,0
PTN,0
ABHD3,0
ABHD2,0
ZNF536,0
ABHD17A,0
ITGB1,0
NOTCH1,0
PTGDS,0
ITGA7,0
ABAT,0
ITGA6,0
AASS,0
IQGAP1,0
ZNF768,0
NR2F2,0
HTRA1,0
ZNF277,0
IGFBP6,0
NT5DC2,0
ID2,0
AKAP12,0
ID4,0
QDPR,0
ZIC2,0
AIFM3,0
AIF1L,0
IDS,0
NRP2,0
AHCYL2,0
PZP,0
NFE2L2,0
IFI16,0
NFIX,0
IFI27,0
NFKBIA,0
PYGM,0
NINJ1,0
ITPR2,0
PTTG1IP,0
ZNF22,0
IGFBP2,0
ADGRB1,0
IGFBP4,0
ADCYAP1R1,0
ADCY2,0
ADAMTS8,0
PTPRZ1,0
IGFBP7,0
ATP1B3,0
HMGN3,0
GSTM4,0
RNF182,0
B2M,0
MYO6,0
RMND5A,0
RNF181,0
RNASE1,0
MYL6,0
GNA13,0
BGN,0
BEX5,0
GPR153,0
GNAI3,0
RGCC,0
MTSS2,0
UACA,0
GNAL,0
GPR37L1,0
ATP6V0E1,0
PAQR8,0
RGS12,0
RNASET2,0
RNF103,0
RND3,0
GPT2,0
PALM,0
RGMA,0
RGMB,0
GPAA1,0
GRIN2C,0
GPM6B,0
MYORG,0
PROM1,0
RGS9,0
GSAP,0
GLT8D2,0
GLT8D1,0
RELN,0
BLVRA,0
GLUD1,0
GSTM3,0
GRM3,0
BAALC,0
GLUL,0
GRIN3A,0
EGR4,1
EGR3,1
EGR2,1
EHBP1,1
PSMB7,1
KRTCAP2,1
GABRA1,1
KIFC3,1
GALNT2,1
R3HDM1,1
RAB11FIP2,1
IAH1,1
EML1,1
PTS,1
HYPK,1
SLC41A3,1
GALNT18,1
IFI27L2,1
SLC39A10,1
GABRD,1
GABRA4,1
SLC29A4,1
GNPTG,1
SLC30A3,1
IDH2,1
EIPR1,1
GABRG2,1
EIF4G1,1
ELOA,1
EFTUD2,1
GAD1,1
LRRC73,1
PSMB5,1
KMT5A,1
RIMS3,1
EIF4A1,1
ELOB,1
R3HCC1,1
EIF3K,1
LRRC8B,1
ELP3,1
GALNT11,1
PRKACB,1
ELMOD1,1
KIFC2,1
RPS26,1
KLHL8,1
IGFBP3,1
ING2,1
DTNBP1,1
INKA1,1
RPL4,1
RPL36AL,1
PTK2B,1
LYPLA1,1
GET1,1
LYSMD2,1
GLYR1,1
PTGS2,1
GFRA2,1
KITLG,1
PLXNA2,1
DPCD,1
SMYD2,1
DOK5,1
GGPS1,1
MAMLD1,1
SNN,1
MAN1A1,1
PREP,1
SNRPB,1
SNRPB2,1
DNLZ,1
PSRC1,1
PRDM8,1
ITGB1BP1,1
DUSP14,1
PNCK,1
DUSP23,1
SLC6A7,1
GNB5,1
PNMA3,1
PPP3CA,1
RNF139,1
GABARAPL2,1
GBA2,1
KLHL25,1
EDF1,1
SLCO1C1,1
IGSF3,1
PTPRF,1
ECI1,1
SLC6A17,1
GNAI2,1
KIRREL3,1
PPT1,1
PRADC1,1
GDF10,1
LSM5,1
LSM6,1
SMAP2,1
SMARCA2,1
GMFB,1
PTPN18,1
DUSP6,1
DUSP4,1
DUSP26,1
SLIRP,1
RIMBP2,1
RGS4,1
RSPO2,1
FAM219A,1
PSMA3,1
KCNIP2,1
PPM1F,1
GRIN2A,1
PPIL2,1
GRIK1,1
FAM174C,1
PPFIBP1,1
PRMT8,1
FHL2,1
FAM163B,1
RBBP4,1
LMO4,1
FHL3,1
FAM131A,1
FIG4,1
SEPTIN5,1
FKBP1A,1
HINT2,1
HINT3,1
POP5,1
GRIA2,1
PPP1R2,1
LDB2,1
HIRA,1
KCNG1,1
NPPA,1
LMTK2,1
PPM1K,1
LINGO1,1
HEBP1,1
HDHD2,1
GTF2H5,1
SCHIP1,1
GTF3A,1
RFK,1
FBXO34,1
PRPS2,1
GUCY1B1,1
RFTN1,1
GUK1,1
GULP1,1
LGI2,1
RDH5,1
KDM2B,1
GRM2,1
GREM2,1
RBSN,1
FGF13,1
FGFR1OP2,1
LHFPL6,1
SDHB,1
HAGHL,1
PRNP,1
SEC14L1,1
LDLRAD4,1
LHX6,1
KCNV1,1
RBFOX2,1
PPP1R14C,1
PSENEN,1
PSMA1,1
PRPF31,1
RGL1,1
HMGB1,1
KCNAB2,1
FOXRED1,1
RAB3GAP1,1
SIAH1,1
JAG2,1
SIVA1,1
RGS2,1
HSPA8,1
RTN4RL1,1
LRFN5,1
GPHN,1
RGS3,1
SLC12A5,1
HSPB6,1
HSPBP1,1
HSF2,1
POLR1B,1
SLC1A6,1
POLE4,1
LAMB1,1
RTN4,1
ENTPD4,1
POLDIP2,1
ENSA,1
FURIN,1
REEP5,1
RGS7,1
RHOV,1
LRRC2,1
FXYD5,1
RILPL2,1
FTH1,1
RSPH9,1
RAB6B,1
HSD11B1L,1
RASD2,1
SETD3,1
LNX1,1
SEZ6L,1
RASA3,1
RARB,1
HNMT,1
FLYWCH2,1
GPT,1
PSMA5,1
HOPX,1
HPCAL1,1
POMP,1
LPCAT4,1
SHOC2,1
JPH4,1
FNDC1,1
RAMP1,1
ETNK2,1
HPS4,1
PSMA6,1
PSMB10,1
RGS14,1
GPR22,1
GPR162,1
LAMTOR4,1
LPIN2,1
HSBP1,1
LAMTOR1,1
LRATD1,1
ETS2,1
PPP2R2C,1
SERGEF,1
SNRPD2,1
BMT2,1
BNIP3,1
TUBA8,1
TTYH1,1
BOLA3,1
PARK7,1
PARM1,1
TTC9,1
TSPYL5,1
BRINP1,1
BRK1,1
TXN,1
MTARC2,1
BTBD10,1
BTBD8,1
BTG3,1
TSNAX,1
TSHZ3,1
C11orf95,1
TSC22D1,1
C1QL2,1
MSL1,1
C2CD2L,1
TRIM9,1
TSPAN14,1
CA11,1
BLOC1S6,1
MTRES1,1
AUTS2,1
MZT1,1
B3GNT2,1
B4GALT2,1
PACSIN1,1
B9D1,1
PACSIN3,1
UBL5,1
UBE2S,1
MYLIP,1
UBE2G1,1
MTPN,1
UBE2F,1
UBAC1,1
BCL6,1
PARD6A,1
BDH1,1
TYRO3,1
BEX1,1
BEX2,1
BHLHB9,1
BHLHE40,1
BICDL1,1
TXNL4A,1
BCKDHB,1
UBXN1,1
CA4,1
CABIN1,1
MRPL57,1
MRPL53,1
CAV1,1
CBFA2T2,1
MRPL41,1
CBLN4,1
TOLLIP,1
CBX3,1
CBX4,1
CCAR2,1
TNNI3K,1
TOPORS,1
CCDC184,1
MRPL34,1
MRPL33,1
CCDC85B,1
MRPL32,1
MRPL21,1
PCDH19,1
TNFRSF21,1
MRPL14,1
MRPL11,1
CCK,1
MRI1,1
MRPL35,1
CAB39L,1
CARTPT,1
CARMIL3,1
CACNA1I,1
TRIB2,1
CACNB2,1
CACNB3,1
CACNG3,1
MRPS7,1
CADM3,1
MRPS33,1
CALB1,1
TRAF5,1
CALU,1
CARNMT1,1
TPPP,1
CAMK2N1,1
CAMK4,1
CAMKK1,1
DNAL4,1
MRPS23,1
CAMSAP3,1
TPM1,1
MRPS21,1
TPGS2,1
CAP2,1
TPBG,1
CAMK2A,1
PCDH8,1
NAA38,1
NAA60,1
ZDHHC8,1
NSG2,1
NT5C3B,1
AKTIP,1
ALDH1L1,1
ALG13,1
ANAPC11,1
ZC3H10,1
NECTIN3,1
ANKRD34A,1
NUDT16,1
NSG1,1
ZBTB18,1
YPEL4,1
NDUFB9,1
YJEFN3,1
NDUFB8,1
AP1S1,1
NDUFB4,1
NDUFB2,1
NDUFB11,1
NUMBL,1
WRNIP1,1
WIPF2,1
NDUFS8,1
WIF1,1
ZFAND5,1
AIP,1
AARS1,1
NPPC,1
ZNF581,1
NOL7,1
ABHD8,1
NOL4,1
ABR,1
ACAD9,1
NQO2,1
ACTN1,1
ACTN4,1
NRXN1,1
ACTR3B,1
NR2F6,1
NR4A1,1
ADGRB2,1
ADRB1,1
ZNF189,1
ZNF184,1
NHP2,1
NRGN,1
AGK,1
NRN1,1
ZMAT2,1
ADAM19,1
ATXN10,1
WFDC2,1
NDUFA6,1
UXS1,1
USP2,1
NAT14,1
UROS,1
OSBPL1A,1
OSBPL2,1
ATP5F1C,1
ATP5F1D,1
ATP5F1E,1
ATP5IF1,1
ATP5MC1,1
ATP1A1,1
ATP5MC2,1
ATP5MG,1
ATP5MPL,1
ATP5PB,1
ATP5PD,1
ATP5PO,1
OSBPL5,1
UQCC2,1
NANOS3,1
